,Total Population,White Male,White Male Age 16 Years and over,county,state,6p_total,debtholder_county_count,mean_6p_held,debt_per_capita,debt_per_white_male
0,9197,3852,1904,Abbeville County,SC,79.68,2,39.84,0.00866369468304882,0.020685358255451716
1,13959,4474,2297,Accomack County,VA,78.33,1,78.33,0.005611433483773909,0.01750782297720161
2,4809,2351,1068,Allegany County,MD,755.55,1,755.55,0.15711166562694945,0.32137388345384943
3,22598,5992,3142,Anne Arundel County,MD,599444.3399999999,183,3275.6521311475403,26.52643331268253,100.04077770360477
4,25434,9852,5184,Baltimore County,MD,46389.355733000026,68,682.1964078382357,1.8239111320673125,4.708623196609828
5,17342,8293,4200,Barnstable County,MA,99.09,1,99.09,0.005713873832314612,0.01194863137585916
6,5405,1834,910,Beaufort County,NC,254.73,1,254.73,0.04712858464384829,0.13889312977099236
7,18753,2321,1266,Beaufort County,SC,316.02,3,105.33999999999999,0.016851703727403616,0.1361568289530375
8,30263,15146,7356,Berkshire County,MA,1349.5,3,449.8333333333333,0.04459240656907775,0.08909943219331837
9,31696,14895,7956,Bristol County,MA,14233.800000000001,30,474.46000000000004,0.4490724381625442,0.9556092648539779
10,3211,1455,778,Bristol County,RI,8728.4,30,290.94666666666666,2.7182809093740268,5.998900343642611
11,18095,8789,4625,Burlington County,NJ,190.71,1,190.71,0.010539375518098923,0.02169871430196837
12,8652,2200,1091,Calvert County,MD,9468.98,4,2367.245,1.0944267221451687,4.304081818181818
13,2571,1240,631,Cape May County,NJ,62.89,2,31.445,0.024461299105406457,0.050717741935483875
14,9506,3539,1812,Caroline County,MD,413.05,2,206.525,0.04345150431306544,0.11671376094942075
15,13625,5224,2847,Cecil County,MD,65354.26000000001,13,5027.25076923077,4.7966429357798175,12.510386676875958
16,20613,4964,2565,Charles County,MD,6991.2300000000005,10,699.123,0.33916606025323826,1.4083863819500404
17,66985,8237,5060,Charleston County,SC,134231.66866600007,279,481.1170919928318,2.0039063770396366,16.296184128444832
18,10769,1326,846,Chatham County,GA,73.782729,10,7.378272900000001,0.006851400222861919,0.05564308371040724
19,28753,14575,7008,Cheshire County,NH,1252.02,6,208.67,0.043543978019684904,0.08590188679245282
20,4988,1189,638,Chowan County,NC,5513.570000000001,11,501.23363636363644,1.105366880513232,4.637148864592095
21,2392,960,444,Clarendon County,SC,218.68,2,109.34,0.09142140468227425,0.22779166666666667
22,10474,3248,1710,Craven County,NC,5639.79,10,563.979,0.5384561772006874,1.7363885467980296
23,8730,3413,1852,Cumberland County,NC,81.8,1,81.8,0.009369988545246276,0.02396718429534134
24,5220,2042,1018,Currituck County,NC,38.67,1,38.67,0.0074080459770114945,0.018937316356513224
25,15875,4971,2541,Dorchester County,MD,27875.870000000003,12,2322.9891666666667,1.75596031496063,5.60769865218266
26,10265,3541,1663,Edgecombe County,NC,1788.7,2,894.35,0.1742523136872869,0.505139791019486
27,2424,963,627,Effingham County,GA,68.851733,2,34.4258665,0.02840418028052805,0.07149712668743509
28,57879,26825,14258,Essex County,MA,13804.159999999998,35,394.4045714285714,0.2385003196323364,0.5146005591798695
29,12320,4010,2138,Fairfax County,VA,711.12,2,355.56,0.05772077922077922,0.17733665835411472
30,36290,17543,9149,Fairfield County,CT,34659.380000000005,79,438.7263291139241,0.9550669605952055,1.9756814683919515
31,30791,14026,7010,Frederick County,MD,17918.83,40,447.97075000000007,0.58195024520152,1.2775438471410239
32,22122,4823,2356,Georgetown County,SC,10594.976666666667,15,706.3317777777778,0.4789339420787753,2.196760660722925
33,13468,7079,3768,Grafton County,NH,3370.24,7,481.4628571428571,0.2502405702405702,0.4760898431981918
34,6015,3037,1463,Greenbrier County,VA,46.02,1,46.02,0.007650872817955113,0.01515311162331248
35,14310,3699,1873,Halifax County,NC,169.49,3,56.49666666666667,0.011844164919636618,0.04582049202487159
36,59656,30118,15109,Hampshire County,MA,3357.6599999999994,8,419.7074999999999,0.05628369317419873,0.11148349824025498
37,7346,3618,1662,Hampshire County,VA,2693.4900000000002,2,1346.7450000000001,0.36666076776476997,0.744469320066335
38,14976,5684,2872,Harford County,MD,5934.12,16,370.8825,0.39624198717948717,1.0440042223786066
39,38149,18652,9808,Hartford County,CT,97163.27999999998,272,357.2179411764705,2.5469417284856743,5.209268711130173
40,12000,2993,1823,Henrico County,VA,599.81,3,199.93666666666664,0.04998416666666666,0.20040427664550617
41,5949,1637,813,Hertford County,NC,71.11,1,71.11,0.011953269457051606,0.04343921808185706
42,32883,16537,8145,Hillsborough County,NH,6914.839999999999,10,691.4839999999999,0.21028616610406592,0.41814355687246774
43,20153,9345,4966,Hunterdon County,NJ,1115.95,2,557.975,0.055373889743462516,0.11941680042803639
44,4070,754,395,James City County,VA,76.76,1,76.76,0.01885995085995086,0.10180371352785146
45,18920,7172,3705,Kent County,DE,1731.41,1,1731.41,0.09151215644820296,0.24141243725599554
46,12836,3423,1876,Kent County,MD,158.2,1,158.2,0.012324711748208164,0.046216768916155414
47,8851,4286,2158,Kent County,RI,10284.750000000002,35,293.8500000000001,1.161987346062592,2.399615025664956
48,7366,1538,757,King George County,VA,319.17,1,319.17,0.043330165625848495,0.20752275682704813
49,6302,2790,1253,Lancaster County,SC,5258.296666666667,4,1314.5741666666668,0.8343853803025495,1.8846941457586621
50,9337,4239,1969,Laurens County,SC,19.73,1,19.73,0.002113098425618507,0.004654399622552489
51,38635,19372,10135,Litchfield County,CT,31067.140000000003,43,722.4916279069768,0.804119063025754,1.6037136072682223
52,18962,7669,3677,Loudoun County,VA,109.5,1,109.5,0.005774707309355553,0.014278263137306037
53,11360,4927,2364,Mecklenburg County,NC,21.04,1,21.04,0.001852112676056338,0.00427034706718084
54,18828,8870,4730,Middlesex County,CT,43352.20000000002,80,541.9025000000003,2.302538772041641,4.887508455467871
55,42769,20691,11071,Middlesex County,MA,2715.59,6,452.59833333333336,0.06349435338679885,0.1312449857425934
56,15956,7370,3995,Middlesex County,NJ,2588.89,4,647.2225,0.16225181749811982,0.35127408412483035
57,16918,7521,3843,Monmouth County,NJ,235.01,1,235.01,0.013891121882019151,0.031247174577848688
