,Last Name,First Name,Position,State,County / Town,Vote,full name 1,name duplication,state-name duplication
0,Stevens,John,President,NJ,Hunterdon,yes,John Stevens,True,False
1,Fell,John,,NJ,Bergen,yes,John Fell,False,False
2,Zabriskie,Peter,,NJ,Bergen,yes,Peter Zabriskie,False,False
3,Hennion,Cornelius,,NJ,Bergen,yes,Cornelius Hennion,False,False
4,Chetwood,John,,NJ,Essex,yes,John Chetwood,False,False
5,Hay,Samuel,,NJ,Essex,yes,Samuel Hay,False,False
6,Crane ,David,,NJ,Essex,yes,David Crane ,False,False
7,Neilson,John,,NJ,Middlesex,yes,John Neilson,False,False
8,Beatty,John,,NJ,Middlesex,yes,John Beatty,False,False
9,Manning ,Benjamin,,NJ,Middlesex,yes,Benjamin Manning ,False,False
10,Lawrence,Elisha,,NJ,Monmouth,yes,Elisha Lawrence,False,False
11,Breese,Samuel,,NJ,Monmouth,yes,Samuel Breese,False,False
12,Crawford ,William,,NJ,Monmouth,yes,William Crawford ,False,False
13,Witherspoon,Jno,,NJ,Somerset,yes,Jno Witherspoon,False,False
14,Hardenbergh,Jacob,,NJ,Somerset,yes,Jacob Hardenbergh,False,False
15,Frelinghuysen ,Theo,,NJ,Somerset,yes,Theo Frelinghuysen ,False,False
16,Reynolds,Thomas,,NJ,Burlington,yes,Thomas Reynolds,False,False
17,Anderson,Geo,,NJ,Burlington,yes,Geo Anderson,False,False
18,Wallace ,Joshua M.,,NJ,Burlington,yes,Joshua M. Wallace ,False,False
19,Howell,R,,NJ,Gloucester,yes,R Howell,False,False
20,Hunter,And,,NJ,Gloucester,yes,And Hunter,False,False
21,Whitall ,Benjamin,,NJ,Gloucester,yes,Benjamin Whitall ,False,False
22,Cripps,Whitton,,NJ,Salem,yes,Whitton Cripps,False,False
23,Wetherby ,Edmund,,NJ,Salem,yes,Edmund Wetherby ,False,False
24,Hand,Jesse,,NJ,Cape May,yes,Jesse Hand,False,False
25,Eldredge,Jeremiah,,NJ,Cape May,yes,Jeremiah Eldredge,False,False
26,Whilldin ,Matthew,,NJ,Cape May,yes,Matthew Whilldin ,False,False
27,Brearley,David,,NJ,Hunterdon,yes,David Brearley,False,False
28,Corshon ,Joshua,,NJ,Hunterdon,yes,Joshua Corshon ,False,False
29,Windes,William,,NJ,Morris,yes,William Windes,False,False
30,Woodhull,William,,NJ,Morris,yes,William Woodhull,False,False
31,Faesch ,John Jacob,,NJ,Morris,yes,John Jacob Faesch ,False,False
32,Potter,David,,NJ,Cumberland,yes,David Potter,False,False
33,Bowen,Jonathan,,NJ,Cumberland,yes,Jonathan Bowen,False,False
34,Elmer,Eli,,NJ,Cumberland,yes,Eli Elmer,False,False
35,Ogden,Robert,,NJ,Sussex,yes,Robert Ogden,False,False
36,Anderson,Thomas,,NJ,Sussex,yes,Thomas Anderson,False,False
37,Hoops,Robert,,NJ,Sussex,yes,Robert Hoops,False,False
38,Stockton,Samuel W.,Secretary,NJ,,did not vote,Samuel W. Stockton,False,False
39,Collins,Thomas ,President,DE,,yes,Thomas  Collins,False,False
