,Search Names,Search Name,Original Names,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url
31,['James Greenleaf' 'James Watson'],James Greenleaf,['Watson and Greenleaf'],17,0.0,0.0,147636.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Greenleaf&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
44,['Leonard Bleecker' 'Samuel Marsh'],Samuel Marsh,"['Leonard Bleecker', 'Samuel March']",16,0.0,0.0,79719.0,"Whites, Montgomery, New York",6.0,,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_March&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
23,['Herman LeRoy' 'William Bayard'],Herman LeRoy,['Le Roy and Bayard'],14,0.0,0.0,67012.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Herman_LeRoy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
0,"[""H and S Johnson '"" 'William I Johnston']",H and S Johnson ',['H and S Johnson and Co'],32,0.0,0.0,59338.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S Johnson_'&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
19,['John Atkenson' 'Francis Atkinson'],Francis Atkinson,['John and Francis Atkinson'],17,9169.0,4637.0,25777.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
13,['Charles John Michael De Wolf' 'Henry van der Borcht'],Charles John Michael De Wolf,['Charles and Vanderborcht and DeWolf'],1,0.0,0.0,11700.0,,,,No Match,Too Many Potential Matches Found (7),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles John Michael De_Wolf&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
18,['George Morewood' 'Edmund Moorewood'],George Morewood,['George and Edm Morewood'],3,0.0,0.0,10039.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Morewood&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
29,['James Constable' 'William Constable'],James Constable,"['William and James Constable', 'William Constable']",2,0.0,0.0,8907.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Constable&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
6,['Alexander Mowatt' 'John Mowatt'],Alexander Mowatt,"['John and Alexander Mowatt', 'John Mowatt']",5,0.0,0.0,6419.0,,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alexander_Mowatt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
58,['Walter Livingston' 'Walter  Livingston'],Walter  Livingston,"['Walter Livingston', 'Walter  Livingston']",1,0.0,6554.0,5943.0,,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Walter _Livingston&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
