,6p_Dollar,6p_Cents,6p_def_Dollar,6p_def_Cents,3p_Dollar,3p_Cents,town,state,occupation,county,name_type,6p_total
0,1064.0,75.0,532.0,37.0,508.0,51.0,Hartford,CT,Merchant,Hartford County,town,1064.75
1,449.0,96.0,224.0,97.0,232.0,10.0,Bolton,CT,Farmer,Tolland County,town,449.96
2,154.0,20.0,77.0,10.0,192.0,,Rhode Island,RI,Farmer,,state,154.2
3,196.0,75.0,98.0,37.0,172.0,24.0,Hartford,CT,Merchant,Hartford County,town,196.75
4,53.0,58.0,26.0,79.0,67.0,6.0,Hartford,CT,Merchant,Hartford County,town,53.58
5,345.0,50.0,172.0,75.0,248.0,76.0,Wethersfield,CT,,Hartford County,town,345.5
6,121.0,22.0,60.0,61.0,32.0,72.0,Lyme,CT,Farmer,New London County,town,121.22
7,121.0,22.0,60.0,61.0,32.0,72.0,Lyme,CT,Farmer,New London County,town,121.22
8,114.0,18.0,57.0,9.0,,,New Haven,CT,Mariner,New Haven County,town,114.18
9,66.0,66.0,33.0,34.0,48.0,,Farmington,CT,Farmer,Hartford County,town,66.66
10,22452.0,81.0,11226.0,40.0,30160.0,57.0,New London,CT,Merchant,New London County,town,22452.81
11,26.0,27.0,13.0,13.0,18.0,91.0,New London,CT,Merchant,New London County,town,26.27
12,1000.0,17.0,500.0,9.0,1500.0,32.0,Hartford,CT,Merchant,Hartford County,town,1000.17
13,115.0,85.0,57.0,92.0,,,New London,CT,Merchant,New London County,town,115.85
14,2967.0,49.0,1483.0,75.0,846.0,,Cornwall,CT,Farmer,Litchfield County,town,2967.49
15,1739.0,64.0,869.0,82.0,1248.0,,New London,CT,,New London County,town,1739.64
16,611.0,7.0,305.0,53.0,439.0,96.0,New London,CT,Mariner,New London County,town,611.07
17,35.0,52.0,17.0,76.0,,,New London,CT,,New London County,town,35.52
18,2195.0,36.0,1097.0,68.0,1371.0,38.0,Stamford,CT,,Fairfield County,town,2195.36
19,54.0,77.0,27.0,39.0,57.0,45.0,Farmington,CT,,Hartford County,town,54.77
20,62.0,67.0,31.0,34.0,22.0,88.0,East Hartford,CT,Farmer,Hartford County,town,62.67
21,546.0,20.0,273.0,10.0,466.0,40.0,Stamford,CT,Attorney at Law,Fairfield County,town,546.2
22,210.0,1.0,105.0,1.0,67.0,13.0,Bristol,CT,Farmer,Hartford County,town,210.01
23,2570.0,67.0,1285.0,33.0,2880.0,,Hartford,CT,Merchant,Hartford County,town,2570.67
24,7227.0,34.0,3613.0,66.0,1951.0,37.0,Lebanon,CT,Esquire,New London County,town,7227.34
25,108.0,73.0,54.0,37.0,123.0,70.0,Windsor,CT,Farmer,Hartford County,town,108.73
26,25.0,18.0,12.0,59.0,18.0,13.0,Southhampton,CT,Mariner,Windham County,town,25.18
27,296.0,43.0,148.0,22.0,206.0,4.0,Suffield,CT,Merchant,Hartford County,town,296.43
28,1573.0,33.0,786.0,67.0,424.0,80.0,New London,CT,,New London County,town,1573.33
29,184.0,60.0,92.0,30.0,71.0,52.0,New London,CT,Printer,New London County,town,184.6
30,102.0,28.0,51.0,14.0,66.0,22.0,Chatham,CT,Farmer,Middlesex County,town,102.28
31,61.0,57.0,30.0,79.0,27.0,88.0,Chatham,CT,Farmer,Middlesex County,town,61.57
32,617.0,1.0,308.0,50.0,216.0,,Berlin,CT,Farmer,Hartford County,town,617.01
33,9756.0,63.0,4878.0,32.0,8176.0,26.0,Glastonbury,CT,,Hartford County,town,9756.63
34,285.0,15.0,142.0,57.0,173.0,57.0,Hartford,CT,Merchant,Hartford County,town,285.15
35,512.0,68.0,256.0,34.0,646.0,61.0,Saybrook,CT,Farmer,Middlesex County,town,512.68
36,60.0,37.0,30.0,18.0,63.0,83.0,Rhode Island,RI,,,state,60.37
37,288.0,97.0,144.0,49.0,373.0,79.0,Stafford,CT,,Tolland County,town,288.97
38,53.0,33.0,26.0,67.0,30.0,32.0,Glastonbury,CT,Joiner,Hartford County,town,53.33
39,402.0,21.0,201.0,11.0,289.0,60.0,Lebanon,CT,Farmer,New London County,town,402.21
40,1120.0,74.0,560.0,37.0,806.0,93.0,Hebron,CT,Farmer,Tolland County,town,1120.74
41,3144.0,80.0,1572.0,40.0,2445.0,11.0,Middletown,CT,,Middlesex County,town,3144.8
42,337.0,16.0,168.0,58.0,436.0,79.0,,CT,,,state,337.16
43,4040.0,10.0,2020.0,5.0,3468.0,72.0,Middletown,CT,Merchant,Middlesex County,town,4040.1
44,2144.0,47.0,1072.0,24.0,1799.0,12.0,New Haven,CT,,New Haven County,town,2144.47
45,43.0,24.0,21.0,62.0,,,Hartford,CT,Merchant,Hartford County,town,43.24
46,26.0,95.0,13.0,47.0,,,East Windsor,CT,Esquire,Hartford County,town,26.95
47,78.0,,39.0,,56.0,15.0,East Hartford,CT,Farmer,Hartford County,town,
48,666.0,67.0,333.0,33.0,180.0,,Hartford,CT,Farmer,Hartford County,town,666.67
49,19.0,29.0,9.0,65.0,36.0,64.0,New London,CT,,New London County,town,19.29
50,816.0,21.0,408.0,10.0,696.0,33.0,Boston,MA,Broker,Suffolk County,town,816.21
51,459.0,86.0,229.0,93.0,370.0,,Hartford,CT,Merchant,Hartford County,town,459.86
52,16405.0,29.0,8202.0,64.0,11988.0,66.0,Norwich,CT,,New London County,town,16405.29
53,1228.0,39.0,614.0,20.0,935.0,98.0,Norwich,CT,,New London County,town,1228.39
54,2403.0,33.0,1201.0,67.0,866.0,61.0,Springfield,MA,Merchant,Hampshire County,town,2403.33
55,1408.0,67.0,704.0,33.0,380.0,33.0,Hartford,CT,Merchant,Hartford County,town,1408.67
56,2109.0,41.0,1054.0,71.0,1326.0,22.0,Hartford,CT,Merchant,Hartford County,town,2109.41
57,178.0,50.0,89.0,25.0,94.0,64.0,New Haven,CT,,New Haven County,town,178.5
58,64.0,48.0,32.0,24.0,23.0,22.0,Wethersfield,CT,Farmer,Hartford County,town,64.48
59,209.0,44.0,104.0,73.0,967.0,49.0,Middletown,CT,,Middlesex County,town,209.44
60,4000.0,,2000.0,,2930.0,,Preston,CT,,New London County,town,
61,3333.0,5.0,1666.0,52.0,2785.0,25.0,Hartford,CT,,Hartford County,town,3333.05
62,145.0,64.0,72.0,82.0,98.0,13.0,Sharon,CT,Farmer,Litchfield County,town,145.64
63,811.0,84.0,405.0,92.0,219.0,20.0,Lebanon,CT,Farmer,New London County,town,811.84
64,40.0,67.0,20.0,34.0,29.0,33.0,Somers,CT,Farmer,Tolland County,town,40.67
65,1779.0,35.0,889.0,68.0,1249.0,26.0,Wethersfield,CT,,Hartford County,town,1779.35
66,20.0,0.0,10.0,,,,East Windsor,CT,Esquire,Hartford County,town,20.0
67,62.0,93.0,31.0,47.0,22.0,66.0,Goshen,CT,Farmer,Litchfield County,town,62.93
68,321.0,68.0,160.0,84.0,115.0,51.0,Farmington,CT,,Hartford County,town,321.68
69,623.0,20.0,311.0,60.0,466.0,31.0,Torrington,CT,Farmer,Litchfield County,town,623.2
70,2400.0,,1200.0,,2010.0,,Boston,MA,Merchant,Suffolk County,town,
71,6454.0,4.0,3227.0,2.0,1857.0,57.0,Lebanon,CT,,New London County,town,6454.04
72,533.0,33.0,266.0,67.0,144.0,,Watertown,CT,,Litchfield County,town,533.33
73,53.0,38.0,26.0,69.0,308.0,72.0,Norwich,CT,,New London County,town,53.38
74,510.0,37.0,255.0,18.0,151.0,72.0,Norwich,CT,,New London County,town,510.37
75,1336.0,5.0,668.0,2.0,959.0,93.0,Hartford,CT,Merchant,Hartford County,town,1336.05
76,917.0,18.0,458.0,59.0,360.0,,Farmington,CT,,Hartford County,town,917.18
77,61.0,30.0,30.0,66.0,16.0,5.0,Hartford,CT,Adminastrator to the Estate of Epaphras Bull of Hartford Deceased,Hartford County,town,61.3
78,829.0,33.0,414.0,67.0,743.0,5.0,Stonington,CT,,New London County,town,829.33
79,1530.0,30.0,765.0,15.0,413.0,17.0,Colchester,CT,,New London County,town,1530.3
80,105.0,88.0,52.0,94.0,76.0,25.0,Colchester,CT,,New London County,town,105.88
81,1909.0,66.0,954.0,84.0,693.0,31.0,Hartford,CT,Attorney at Law,Hartford County,town,1909.66
82,894.0,30.0,447.0,15.0,864.0,,Wethersfield,CT,,Hartford County,town,894.3
83,60.0,38.0,30.0,19.0,67.0,16.0,Wethersfield,CT,,Hartford County,town,60.38
84,674.0,68.0,337.0,34.0,558.0,33.0,Wethersfield,CT,,Hartford County,town,674.68
85,1093.0,15.0,546.0,58.0,295.0,16.0,Fairfield,CT,,Fairfield County,town,1093.15
86,200.0,,100.0,,144.0,,Bolton,CT,,Tolland County,town,
87,75.0,26.0,37.0,64.0,54.0,20.0,Guilford,CT,,New Haven County,town,75.26
