,Delegates,Loan Matches,Scores
19946,A. Fisher,John A Fisher,95.0
3145,Aaron Austin,Aaron Austin,100.0
38363,Aaron Hall,Aaron Hall,100.0
17386,Aaron Wood,Aaron Wood,100.0
361,Abraham Baldwin,Abraham Baldwine,96.7741935483871
6488,Abraham Faw,Abraham Faw,100.0
18988,Abraham Holmes,Abraham Holmes,100.0
19947,Abraham Smith,Abraham Smith,100.0
15378,Abraham Stout,Abraham Stout,100.0
19334,Abraham White,Abraham White,100.0
14912,Albert Baker,Albert Baker,100.0
638,Alexander Hamilton,Alexander Hamilton,100.0
5687,Alexander King,Alexander King,100.0
1174,Alexander Martin,Alexander Martin,100.0
10454,Alexander Robertson,Alexander Robertson,100.0
36278,Alexander Watson,Alexander Watson,100.0
10023,Alexander White,Alexander White,100.0
747,Allen McLane,Allen McClane,96.0
28757,Allen Samuel,Samuel Allen,95.0
30918,Allen Samuel,Samuel G Allen,95.0
30920,Allen Samuel,Samuel Green Allen,85.5
28741,Allen Thomas,Thomas Allen,95.0
19902,Amos Singletary,Amos Singletary,100.0
3836,Andrew Lee,Andrew Lee,100.0
29405,Andrew Love,Andrew Love,100.0
12295,Andrew Moore,Andrew Moore,100.0
9393,Andrew Woodrow,Andrew Woodrow,100.0
12211,Anthony Ten Eyck,Anthony J. Ten Eyck,95.0
12210,Anthony Ten Eyck,Anthony Ten Eyck,100.0
15435,Anthony Wayne,Anthony Wayne,100.0
16526,Anthony Wibird,Anthony Wibird,100.0
38797,Archelaus Temple,Archelus Temple,96.7741935483871
3420,Arnold Benjamin,Benjamin Arnold,95.0
412,Asa Witter,Asa Witter,100.0
461,Asher Miller,Asher Miller,100.0
16977,Azor Orne,Azor Orne,100.0
3469,Barker Joshua,Joshua Barker,95.0
29961,Barker Peter,Peter Baker,90.86956521739131
3416,Barker Peter,Peter Barker,95.0
27780,Barton William,William Barton,95.0
19099,Benjamin Adams,Benjamin Adams,100.0
36188,Benjamin Bellows,Benjamin Bellow,96.7741935483871
36187,Benjamin Bellows,Benjamin Bellows,100.0
17630,Benjamin Blaney,Benjamin Blaney,100.0
17519,Benjamin Browne,Benjamin Brown,96.55172413793103
17518,Benjamin Browne,Benjamin Browne,100.0
39475,Benjamin Clough,BenJamin Clough,100.0
4526,Benjamin Dow,Benjamin Dow,100.0
7488,Benjamin Edwards,Benjamin Edwards,100.0
15217,Benjamin Elliott,Benjamin Eliott,96.7741935483871
15218,Benjamin Elliott,Benjamin Elliot,96.7741935483871
7821,Benjamin Elliott,Benjamin Elliott,100.0
17960,Benjamin Ely,Benjamin Ely,100.0
1195,Benjamin Franklin,Benjamin Franklin,100.0
16854,Benjamin Greenleaf,Benjamin Greenleaf,100.0
5924,Benjamin Hall,Benjamin Hall,100.0
8519,Benjamin Harrison,Benjamin Harrison,100.0
9442,Benjamin Harrison V,Benjamin Harrison,95.0
37479,Benjamin Hawkins,Benjamin Hawkins,100.0
27566,Benjamin Hicks,Benjamin Hicks,100.0
3163,Benjamin Hinma,Benjamin Hinman,96.55172413793103
35368,Benjamin Jones,Benjamin Jones,100.0
7372,Benjamin Jones,Benjamin Jones ,100.0
37846,Benjamin Jones,Jones Benjamin,95.0
16514,Benjamin Lincoln,Benjamin Lincoln,100.0
178,Benjamin Manning ,Benjamin Manning,100.0
18828,Benjamin Morse,Benjamin Morse,100.0
35977,Benjamin Perry,Benjamin Perry,100.0
17717,Benjamin Randall,Benjamin Randall,100.0
14089,Benjamin Rush,Benjamin Rush,100.0
4087,Benjamin Sheldon,Benjamin Sheldon,100.0
24877,Benjamin Smith,Benjamin 1st Smith,95.0
24878,Benjamin Smith,Benjamin 2d Smith,95.0
22827,Benjamin Smith,Benjamin Smith,100.0
39494,Benjamin Stone,Benjamin Stone,100.0
10969,Benjamin Temple,Benjamin Temple,100.0
20275,Benjamin Thomas,Benjamin Thomas,100.0
39011,Benjamin Thurston,Benjamin Thurston,100.0
36702,Benjamin West,Benjamin West,100.0
11241,Benjamin Wilson,Benjamin Willson,96.7741935483871
29867,Bourne Benjamin,Benjamin Bourn,91.72413793103448
3407,Bourne Benjamin,Benjamin Bourne,95.0
29866,Bowen Jabez,Jabez Bowen,95.0
28272,Bradford William,William Bradford,95.0
28271,Bradford William,William C Bradford,95.0
28739,Brown Elisha,Elisha Brown,95.0
30690,Brown John,John 2d Brown,95.0
30691,Brown John,John A Brown,95.0
28576,Brown John,John Brown,95.0
