,Delegates,Loan Matches,Scores
66,Abraham Baldwin,Abraham Baldwin,100.0
2219,Adam Crain Jones,Adam Crain Jones,100.0
112,Alexander Hamilton,Alexander Hamilton,100.0
2564,Alexander Robertson,Alexander Robertson,100.0
3292,Alexander Tweed,Alexander Tweed,100.0
1292,Alexander White,Alexander White,100.0
2479,Allen Samuel,Samuel Allen Otis,95.0
3154,Allen Thomas,Thomas Allen,95.0
219,Amasa Learned,Amasa Learned,100.0
2013,Amos Moody,Amos Moody,100.0
3448,Andrew Baskins,Andrew Baskins,100.0
472,Andrew Lee,Andrew Lee,100.0
2919,Anthony Ten Eyck,Anthony Ten Eyck,100.0
3029,Anthony Toomer,Anthony Toomer,100.0
1601,Archibald Woods,Archibald Woods,100.0
3072,Arnoldus Vanderhorst,Arnoldus  Vanderhorst,97.5609756097561
3071,Arnoldus Vanderhorst,Arnoldus Vanderhorst,100.0
540,Asaph Hall,Asaph Hall,100.0
2130,Barker Abraham,Abraham Barker,95.0
2081,Barton William,William Barton,95.0
981,Benjamin Browne,Benjamin Brown,96.55172413793103
384,Benjamin Hall,Benjamin Hall,100.0
1069,Benjamin Harrison,Benjamin Harrison,100.0
1150,Benjamin Harrison V,Benjamin Harrison,95.0
7217,Benjamin Hicks,Benjamin Hicks,100.0
311,Benjamin Hinma,Benjamin Hinman,96.55172413793103
9334,Benjamin Jones,Benjamin Jones and Co,90.0
2064,Benjamin Sheldon,Benjamin Sheldon,100.0
2792,Benjamin Smith,Benjamin Smith,100.0
1481,Benjamin Temple,Benjamin Temple,100.0
2945,Benjamin Thomas,Thomas and Benjamin Harwood,85.5
9053,Benjamin West,Benjamin F West,95.0
1711,Bosworth Benjamin,Benjamin Bosworth,95.0
2080,Bourne Benjamin,Benjamin Bourne,95.0
1659,Bowen Jabez,Jabez Bowen,95.0
1705,Bradford William,William Bradford,95.0
1729,Brown Elisha,Elisha Brown,95.0
1992,Brown John,John Brown,95.0
599,Caleb Holt,Caleb Holt,100.0
2369,Calvin Spencer,Calvin Spencer,100.0
1655,Champlin George,George Champlin,95.0
721,Charles Chilton,Charles Chilton,100.0
374,Charles Phelps,Charles Phelps,100.0
166,Charles Pinckney,Charles C Pinckney,95.0
129,Charles Pinckney,Charles Coteaworth  Pinckney,85.5
1187,Charles Simms,Charles Simms,100.0
1516,Christopher Mason,Christopher Mason,100.0
2137,Christopher Toppan,Christopher  Toppan,97.29729729729729
2031,Christopher Toppan,Christopher Toppan,100.0
4220,Clark John I,John Clark,95.0
2076,Clarke Peleg,Peleg Clarke,95.0
1945,Daniel Cannon,Daniel Cannon,100.0
136,Daniel Carroll,Daniel Carroll,100.0
77,Daniel Carroll,Daniel Carroll Brent,95.0
1877,Daniel DeSaussure,Daniel  DeSaussure,97.14285714285714
2911,Daniel DeSaussure,Daniel Desaussure,100.0
1058,Daniel Fisher,Daniel Fisher,100.0
386,Daniel Foot,Daniel Foot,100.0
409,Daniel Hall,Daniel Hall,100.0
2068,Daniel Rodgers,Daniel Denison Rogers,85.5
2978,Daniel Smith,Daniel Smith,100.0
1059,Daniel Whitney,Daniel Whitney,100.0
52,Daniel of St. Thomas Jenifer,Daniel Jenifer,85.5
2415,David Brown,David Brown,100.0
5264,David Caldwell,David Caldwell,100.0
70,David Crane ,David Crane,100.0
4357,David Jameson,David Jameson,100.0
2890,David Ramsay,David Ramsay,100.0
1162,David Smith,David  Smith,95.65217391304348
1163,David Smith,David  Smith and Co,85.5
618,David Smith,David Smith,100.0
1145,David Stuart,David Steuart,96.0
955,David Stuart,David Stuart,100.0
5256,David Wilson,David Wilson,100.0
3123,Davis John,John Davis,95.0
2136,Dexter John S,John S Dexter,95.0
273,Edmund J. Randolph,Edmund Randolph,95.0
1430,Edmund Randolph,Edmund Randolph,100.0
4724,Edmund Taylor Jr.,Edmund Taylor,95.0
1868,Edward Blake,Edward Blake,100.0
1863,Edward Darrell,Edward Darrell,100.0
1966,Edward Lightwood,Edward Lightwood,100.0
2888,Edward Rutledge,Edward Rutledge,100.0
8371,Edward Williams,Edward Williams,100.0
5173,Edward Williams,William Edwards,88.66666666666666
153,Elbridge Gerry,Elbridge Gerry,100.0
640,Elihu Marvin,Elihu Marvin,100.0
507,Eliphalet Dyer,Eliphalet Dyer,100.0
2521,Enoch Edwards,Enoch Edwards,100.0
1701,Enoch Sawyer,Enoch Sawyer,100.0
404,Ephraim Carpenter,Ephraim Carpenter,100.0
590,Ephraim Root,Ephraim Root,100.0
285,Ephraim Root,Ephraim and Phoebe Root,85.5
2015,Ezra Green,Ezra Green,100.0
946,French Strother,French Strother,100.0
1348,Gabriel Jones,Gabriel Jones,100.0
6010,Gabriel Manigault,Gabriel  Manigault,97.14285714285714
6009,Gabriel Manigault,Gabriel Manigault,100.0
1061,George Carrington,George Carrington,100.0
3592,George Clinton,George  Clinton ,96.55172413793103
3411,George Clinton,George Clinton,100.0
243,George Clymer,George Clymer,100.0
349,George Gale,George Gale,100.0
1001,George Gray,George Gray,100.0
3732,George Houser,George House,96.0
1142,George Jackson,George Jackson,100.0
226,George Mason,George Mason,100.0
190,George Matthews,George Mathews,96.55172413793103
249,George Matthews,George Matthews,100.0
630,George Parker,George Parker,100.0
326,George Plater,George Plater,100.0
41,George Read,George Read,100.0
287,George Washington,George Washington,100.0
275,George Wythe,George Wythe,100.0
337,Gideon Buckingham,Gideon Buckingham,100.0
1985,Glen Drayton,Glen Drayton,100.0
2193,Hardy Murfee,Hardy Murfree,96.0
1653,Hazard George,George C Hazard,95.0
2073,Hazard George,George Hazard,95.0
4984,Henry Hill,Henry Hill,100.0
1136,Henry Laurens,Henry Laurens,100.0
1128,Henry Lee,Henry Lee,100.0
1885,Henry Lee III,Henry Lee,95.0
577,Hezekiah Brainard,Hezekiah Brainard,100.0
3030,Hugh Rutledge,Hugh Rutledge,100.0
81,Hugh Williamson,Hugh Williamson,100.0
587,Ichabod Warner,Ichabod Warner,100.0
1109,Isaac Coles,Isaac Cowles,95.65217391304348
3180,Isaac Harleston,Isaac Harleston,100.0
253,Isaac Lee,Isaac Lee,100.0
1864,Isaac Motte,Isaac Motte,100.0
2038,Isaac Parker,Isaac Parker,100.0
734,Isaac Perkins,Isaac Perkins,100.0
3291,Isaac Roosevelt,Isaac Roosevelt,100.0
1140,Isaac Vanmeter,Isaac Vanmeter,100.0
327,Jabez Fitch,Jabez Fitch,100.0
1512,Jacob Brown,Jacob Brown,100.0
3613,James Anderson,James Anderson,100.0
3614,James Anderson,James Sanderson,96.55172413793103
2622,James Campbell,James Campbell,100.0
3598,James Clinton,James Clinton,100.0
4413,James Craig,James Craig,100.0
423,James Davenport,James Davenport,100.0
424,James Davenport,John and James Davenport,90.0
838,James Gordon,James Gordon,100.0
1633,James Gordon,James Gordon Heron,90.0
480,James Gordon Heron,James Gordon,90.0
905,James Gordon Heron,James Gordon Heron,100.0
809,James Gordon Heron,James Heron,85.5
8797,James Gray,James Gray,100.0
2267,James Johnson,James Johnston,96.29629629629629
4152,James Knox,James Knox,100.0
264,James Madison Jr.,James Maddison,86.66666666666667
219,James Madison Jr.,James Madison,95.0
1273,"James Madison, Jun.",James Madison,95.0
1623,James Martin,James Martin,100.0
272,James Maxwell,James Maxwell,100.0
272,James McClurg,James McClurg,100.0
4844,James Moore,James Moore,100.0
2611,James Morris,James Morris,100.0
405,James Potter,Richard and James Potter,90.0
2868,James Stewart,James Stewart,100.0
1139,James Taylor,James Taylor,100.0
7440,James Thomas,James  Thomas,96.0
7014,James Thomas,James Thomas,100.0
4733,James Thompson,James H Thomson,89.65517241379311
4182,James Thompson,James Thompson,100.0
3837,James Watson,James Watson,100.0
2819,James Williams,James  Williams,96.55172413793103
1087,James Williams,James Williams,100.0
250,James Wilson,James Wilson,100.0
2546,Jasper Yeates,Jasper Yeates,100.0
353,Jedediah Huntington,Jedediah Huntington,100.0
2145,Jeremiah Fogg,Jeremiah Fogg,100.0
8611,Jeremiah Frazier,Jeremiah Frazier,100.0
589,Jeremiah Ripley,Jeremiah Ripley,100.0
364,Jeremiah Wadsworth,Jeremiah  Wadsworth,97.29729729729729
279,Jeremiah Wadsworth,Jeremiah Wadsworth,100.0
252,Jesse Root,Jesse Root,100.0
3342,Jesse Woodhull,Jesse Woodhull,100.0
701,John  Allen,John Allen,95.23809523809524
2296,John A. Campbell,John Campbell,95.0
1780,John Allen,John Allen,100.0
2606,John Ashley,John Ashley,100.0
1899,John Baird,John Baird,100.0
7630,John Baker,John Baker,100.0
5005,John Baker,John Barker,95.23809523809524
2523,John Barclay,John Barclay,100.0
253,John Blair,John Blair,100.0
1888,"John Blair, Jun.",John Blair,90.0
3011,John Blake,John Blake,100.0
3506,John Bowie,John Bowie,100.0
3616,John Boyd,John Boyd,100.0
2439,John Brown,John Brown,100.0
558,John Carter Littlepage,John Carter,90.0
2205,John Chesnut,John Chesnut,100.0
943,John Coffin Jones,Coffin Jones,95.0
6823,John Collins,John Collin,95.65217391304348
7227,John Collins,John Collin ,95.65217391304348
4417,John Cook,John Cook,100.0
428,"John Davenport, Jun.",John Davenport,95.0
2175,John Davis,John Davis,100.0
2925,John Davis,John R Davies,86.95652173913044
1472,John Dawson,John Dawson,100.0
3160,John DeWitt,John L DeWitt,95.0
45,John Dickinson,John Dickinson,100.0
3059,John Edwards,John  Edwards,96.0
1702,John Evans,John Evans,100.0
132,John F. Mercer,John Mercer,95.0
22,John Fell,John  Fell ,95.0
16,John Fell,John Fell,100.0
1189,John Fowler,John Fowler,100.0
973,John Francis Mercer,John Francis Mercer,100.0
352,John Gale,John Gale,100.0
4126,John Glover,John Glover,100.0
4949,John H. Bryan,John Bryan,95.0
3223,John Hall,John Hall,100.0
2234,John Hamilton,John Hamilton,100.0
4082,John Hampton,John Hampton,100.0
1834,John Hancock,John Hancock,100.0
2026,John Huger,John Huger,100.0
3457,John Hunn,John L Hunn,95.0
1903,John Hunt,John Hunt,100.0
3897,John Hunter,John Hunter,100.0
2293,John Huske,John Huske,100.0
65,John Ingram,John Ingram,100.0
3330,John Jay,John Jay,100.0
7113,John Johnston,John Johnson,96.0
7555,John Johnston,John Johnson ,96.0
4664,John Johnston,John Johnston,100.0
67,John Jones,John Jones,100.0
3622,John Julius Pringle,John Pringle,85.5
1461,John K. Smith,John Smith,95.0
3226,John Kean,John Kean,100.0
119,John Langdon,John Langdon,100.0
2740,John Lewis Bourquin,John Lewis,90.0
2887,John Lewis Gervias,John Lewis,90.0
3198,John Lloyd,John Lloyd,100.0
4404,John Low,John Low,100.0
1431,John Marshall,John Marshall,100.0
1403,John McPherson,John McPherson,100.0
1683,John Miller,John Miller,100.0
4422,John Moore,John Elias Moore,85.5
2752,John Nesbitt (Nisbet),John Nesbit,90.0
4402,John Nesbitt (Nisbet),John Nisbett,85.5
2363,John Nevill,John Nevill,100.0
4094,John Overton,John Overton,100.0
6239,John Palmer,John Palmer,100.0
1405,John Parker,John Parker,100.0
589,John Phelps,John Phelps,100.0
3254,John Pratt,John Pratt,100.0
4637,John Ramsay,John Ramsay,100.0
3668,John Richards,John Richard,96.0
158,John Rutledge,John Rutledge,100.0
5595,John Scott,John Scott,100.0
969,John Smith,John Smith,100.0
1960,John Smith,John Smith Brookes,90.0
1959,John Smith,Samuel John Smith,90.0
744,John Smith,Samuel and John Smith,90.0
1289,John Steele,John Steel,95.23809523809524
1580,John Steele,John Steele,100.0
0,John Stevens,John Stevens,100.0
717,John Stewart,John Stewart,100.0
1591,John Stringer,John Stringer,100.0
1317,John Stuart,John Stuart,100.0
8953,John Sullivan,John Sullivan,100.0
2519,John Taylor,John M Taylor,95.0
2518,John Taylor,John Taylor,100.0
1187,John Taylor,John Taylor Gilman,90.0
4339,John Taylor Gilman,John Taylor,90.0
1995,John Taylor Gilman,John Taylor Gilman,100.0
3179,John Thomas,John P Thomas,95.0
2954,John Thomas,John Thomas,100.0
7486,John Thompson,John H Thompson,95.0
3338,John Thompson,John Thompson,100.0
4490,John Thompson,John Thompson Mason,95.0
297,John Treadwell,John Treadwell,100.0
969,"John Tyler, Sr.",John Tyler,95.0
4580,John Wallace,John Wallace,100.0
290,John Watson,John Watson,100.0
2769,John Williams,John  Williams ,96.29629629629629
1367,John Williams,John Williams,100.0
1321,John Wilson,John Willson,95.65217391304348
908,John Wilson,John Wilson,100.0
1728,John Wood,John Wood,100.0
4209,Jonathan Clark,Jonathan Clark,100.0
189,Jonathan Dayton,Jonathan  Dayton ,96.7741935483871
188,Jonathan Dayton,Jonathan Dayton,100.0
2163,Jonathan Roberts,Jonathan of Robert Pinkney nan,85.5
3457,Jonathan Smith,Jonathan B Smith,95.0
3456,Jonathan Smith,Jonathan Smith,100.0
315,Jonathan Sturges,Jonathan Sturges,100.0
2182,Joseph Badger,Joseph Badger,100.0
101,Joseph Barker,Joseph Barker,100.0
4465,Joseph Brown,Joseph Brown,100.0
2657,Joseph Heister,Joseph Heister,100.0
1178,Joseph Jones,Joseph Jones,100.0
3593,Joseph Leech,Joseph Leech,100.0
2053,Joseph Martin,Joseph Martin,100.0
347,Joseph Mosely,Joseph Moseley,96.29629629629629
286,Joseph Moss White,Joseph White,95.0
2224,Joseph Palmer,Joseph Palmer,100.0
433,Joseph Wilkinson,Joseph Wilkinson,100.0
4362,Joseph Wood,Joseph Wood,100.0
359,Joseph Woodbridge,Joseph Woodbridge,100.0
2042,Josiah Bartlett,Josiah Bartlett,100.0
1486,Josiah Smith,Josiah Smith,100.0
3148,King William,William King,95.0
1487,Levin Powell,Levin Powell,100.0
1204,Lewis Morris,Lewis Morris,100.0
79,Luther Martin,Luther Martin,100.0
2129,Manchester Isaac,Isaac Manchester,95.0
3070,Matthew Adgate,Matthew Adgate,100.0
248,Matthew Griswold,Matthew Griswold,100.0
1870,Matthew Lock,Mathew Lock,95.65217391304348
1174,Matthew Patterson,Matthew Paterson,96.96969696969697
2006,Matthias Hutchinson,Mathias Hutchinson,97.29729729729729
3183,Melancton Smith,Melancton Smith,100.0
950,Miles King,Miles King,100.0
513,Moses Cleveland,Moses Cleveland,100.0
948,Moses Rawlings,Moses Rawlings,100.0
538,Nathan Hale,Nathan Hale,100.0
1461,Nathaniel Burwell,Nathaniel Burwell,100.0
4766,Nathaniel Leonard,Nathaniel Leonard,100.0
1128,Nathaniel Russell,Nathaniel Russell,100.0
340,Nicholas Carroll,Nicholas Carroll,100.0
46,Nicholas Gilman,Nicholas Gilman,100.0
3426,Nicholas Low,Nicholas  Low,96.0
1909,Nicholas Low,Nicholas Low,100.0
3280,Nicholas Low,Nicholas Low and H and S Johnson and Co,90.0
42,Oliver Ellsworth,Oliver Ellsworth,100.0
196,Oliver Elsworth,Oliver Ellsworth,96.7741935483871
535,Oliver Wolcott,Oliver Wolcott,100.0
1067,Parke Goodall,Parke Goodall,100.0
1149,Paul Carrington,Paul Carrington,100.0
2007,Peter Smith,Peter Smith,100.0
2422,Philemon Hawkins,Philemon Hawkins ( Son of John Jun),90.0
2423,Philemon Hawkins,Philemon Hawkins ( Son of Philemon Jun),90.0
1938,Philemon Hawkins,Philemon Hawkins (son of Philemon),90.0
3435,Philip Livingston,Philip H Livingston,95.0
3615,Philip Livingston,Philip Livingston,100.0
2101,Potter Samuel J,Samuel Potter,95.0
1989,Ralph Izard,Ralph Izard,100.0
766,Richard Downing,Richard Downing  Jennings,90.0
3285,Richard Harison,Richard Harrison,96.7741935483871
1986,Richard Hutson,Richard Hutson,100.0
378,Richard Law,Richard Law,100.0
932,Richard Potts,Richard Potts,100.0
443,Richard Smith,Richard Smith,100.0
952,Richard Thomas,Richard Thomas,100.0
917,Robert Alexander,Alexander M  Robert,95.0
1462,Robert Andrews,Robert Andrews,100.0
3251,Robert Barnwell,Robert Barnwell,100.0
5791,Robert Daniel,Robert Daniel and  Guilian Crommelin,90.0
5111,Robert Montgomery,Robert Montgomery,100.0
