"1710","1720","1730","1740","1750","1760","1770","state"
"78281","57757","114000","180440","231033","339726","447016","Virginia"
"24450","30962","51707","85637","119666","183703","240057","Pennsylvania"
"62390","91008","114116","151613","188000","202600","235308","Massachusetts"
"42741","66133","91113","116093","141073","162267","202599","Maryland"
"15120","21270","30000","51760","72984","110442","197200","North Carolina"
"39450","58830","75530","89580","111280","142470","183881","Connecticut"
"21625","36919","48594","63665","76696","117138","162920","New York"
"10883","17048","30000","45000","64000","94074","124244","South Carolina"
"19872","29818","37510","51373","71393","93813","117431","New Jersey"
"5681","9375","10755","23256","27505","39093","62396","New Hampshire"
"7573","11680","16950","25255","33226","45471","58196","Rhode Island"
"3645","5385","9170","19870","28704","33250","35496","Delaware"
"","","","2021","5200","9578","23375","Georgia"
