,CD name,Loan Office name,state
60,Elizabeth Sherbourne,Elizabeth Sherburne,NH
61,Elizabeth Sherburn,Elizabeth Sherburne,NH
62,Ebenezer Thompson,Ebenzer Thompson,NH
63,John Batcheler,John Batchelder,NH
64,Ebenezer Storer,Ebenzer Storer,NH
65,Phillips White,Phillip White,NH
66,William Hines,William Haines,NH
67,Avery  Hall,Avery Hall,NH
68,John Ward Gilman,John Gilman,NH
69,John T Gilman,John Gilman,NH
70,Jonathan B Smith,Jonathan Smith,NH
71,No 10927 in favour of John Brown ,John Brown,NH
72,John Taylor,John Taylor Gilman,NH
73,John Taylor Gilman,John Gilman,NH
131,Nathaniel Steele,Nathaniel Seele,MA
132,Jacob Treadwell,Jacob Tredwell,MA
133,William Brown,William Browne,MA
134,James Johnston,James Johnson,MA
135,Thomas Browne,Thomas Brown,MA
136,Joseph Clarke,Joseph Clark,MA
137,John Brown,John Browne,MA
138,John Barker,John Baker,MA
139,Nathaniel W Appleton,Nathaniel Appleton,MA
140,Enoch Titcomb,Enoch Titcomb 3rd,MA
141,Jonathan B Smith,Jonathan Smith,MA
142,John R B Rogers,John Rogers,MA
143,Robert R Randall,Robert Randall,MA
144,Samuel K Bradford,Samuel Bradford,MA
145,John S Dexter,John Dexter,MA
146,John P Thomas,John Thomas,MA
147,Thomas Williams,William Thomas,MA
148,No 10927 in favour of John Brown ,John Brown,MA
149,Nicholas Brown transferred,Nicholas Brown,MA
150,Robert Andrews treasuer,Robert Andrews,MA
151,Henry Sherburne transfer from the register of the treasury ,Henry Sherburne,MA
152,John Adams  Trustees of the Sinking Fund,John Adams,MA
153,James Brown Executor Hugh Patton ,James Brown,MA
154,Jonathan Williams in Trust,Jonathan Williams,MA
155,Jonathan Williams in Trust,Jonathan William,MA
156,James Brown in Trust for St George Tuker ,James Brown,MA
157,James Brown in trust,James Brown,MA
158,John Waldo,John Waldo Woods,MA
159,William Vernon transferred from the Register of Treasury ,William Vernon,MA
160,Mary Johnson transfer from Register ,Mary Johnson,MA
161,Samuel Vernon transfer from register ,Samuel Vernon,MA
162,John Rogers Transferred from the Register of the Treasury ,John Rogers,MA
163,Nicholas Brown transfer from register ,Nicholas Brown,MA
164,No 10927 in favour of John Brown ,John Browne,MA
165,Daniel Denison Rogers,Daniel Rogers,MA
166,Matthew Watson from the office of William Imlay Connecticut ,William Watson,MA
478,Jeremiah  Wadsworth,Jeremiah Wadsworth,CT
479,Eliphalet Lester,Eliphalet Leister,CT
480,Willam F Miller,William F Miller,CT
481,Daniel Linsley,Daniel Lindsley,CT
482,Samuel Thacher,Samuel Thatcher,CT
483,John Robinson,John Robbinson,CT
484,Daniel Linsley,Daniel Linsly,CT
485,William Price,William Prince,CT
486,Timothy Green,Timothy Greene,CT
487,Joseph Moseley,Joseph Mosely,CT
488,Joseph Higgins,Joseph Higgns,CT
489,Jared Hinckley,Jared Hinkley,CT
490,Allen Sillman,Allen Stillman,CT
491,William Plumbe,William Plumb,CT
492,Andrew Eliot,Andrew Elliot,CT
493,Thomas Clark,Thomas Clarke,CT
494,Joseph Young,Joseph Youngs,CT
495,Samuel Wells,Samuel Welles,CT
496,Samuel Tracey,Samuel Tracy,CT
497,Jane Olmsted,Jane Olmstead,CT
498,John Williams,John Wiliams,CT
499,John Conklin,John Conkling,CT
500,Thomas Jones,Thomas Johnes,CT
501,John Conklin,John Conkin,CT
502,John Herdman,John Herman,CT
503,John Robbins,John Robins,CT
504,James Clark,James Clarke,CT
505,James Wells,James Welles,CT
506,John Wilson,John Willson,CT
507,John Willson,John Wilson,CT
508,Elisha Mills,Eisha Mills,CT
509,James A Wells,James Wells,CT
510,Samuel K Bradford,Samuel Bradford,CT
511,John E Howard,John Howard,CT
512,Stephen M Mitchell,Stephen Mitchell,CT
513,John P Thomas,John Thomas,CT
514,Henry Champion II,Henry Champion,CT
515,Samuel Adams III,Samuel Adams,CT
516,Samuel J Mills,Samuel Mills,CT
517,Samuel Williams,Samuel W Williams,CT
518,Samuel Gray,Samuel M Gray,CT
519,Saul Alvord,Lay Saul Alvord,CT
520,James Brown in Trust for St George Tuker ,James Brown,CT
521,John Warner transferred from Register ,John Warner,CT
522,James Brown Executor Hugh Patton ,James Brown,CT
523,John Morris,Newton John Morris,CT
524,James Brown in trust,James Brown,CT
525,Willam F Miller,William Miller,CT
526,William H Imlay,Wiliam Imlay,CT
527,James A Wells,James Welles,CT
528,William Larned transfer from Register ,William Learned,CT
529,John Jacob Lansing,John Jacobs,CT
530,John Jacob Beekman,John Jacobs,CT
531,William Williams,William Worthington Gale,CT
532,Matthew Watson from the office of William Imlay Connecticut ,Wiliam Imlay,CT
533,James Johnston John McDowell,John Johnson,CT
566,John Jacob Lansing,John Jacob Lansingh,NY
567,Nicholas Roosevelt,Nicholas Rosevelt,NY
568,John R Livingston,John R. Livingston,NY
569,Mary Brinkerhoff,Mary Brinckerhoff,NY
570,Leonard Bronk,Leonard Bronck,NY
571,Wiliam White,William White,NY
572,John Bleecker,John N. Bleecker,NY
573,John Bleecker,John Jay Bleecker,NY
574,Philip Schuyler,Philip P Schuyler,NY
575,Abraham Lansing,Abraham A. Lansing,NY
576,John Jacob Lansing,Jacob Lansing,NY
577,Robert C Livingston,Robert Livingston,NY
578,Henry Livingston,Henry G Livingston,NY
579,John R Livingston,John Livingston,NY
580,John N Blecker,John N. Bleecker,NY
581,John S Bronk,John S. Bronck,NY
582,Abraham Lansing,Abraham G Lansingh,NY
583,John Jay,John Jay Bleecker,NY
584,Sarah Ward Transferred from the Register ,Sarah Ward,NY
585,Sarah Ward transferred from Register ,Sarah Ward,NY
586,No 10927 in favour of John Brown ,John Brown,NY
587,John S Bronk,John Bronck,NY
588,John Wesson Executor R Price ,John Price,NY
617,Christopher Johnston,Christopher Johnson,NJ
618,Philip Stockton,Phillip Stockton,NJ
619,William Crooke,William Crook,NJ
620,John Bennet,John Bennett,NJ
621,James Henry,Henry James,NJ
622,Richard M Scott,Richard Scott,NJ
623,John R B Rogers,John Rogers,NJ
624,Richard Smith,Smith Richards,NJ
625,John Rogers Transferred from the Register of the Treasury ,John Rogers,NJ
626,James Brown in trust,James Brown,NJ
627,James Brown in Trust for St George Tuker ,James Brown,NJ
628,James Brown Executor Hugh Patton ,James Brown,NJ
629,No 10927 in favour of John Brown ,John Brown,NJ
630,John Lawrence,Gilbert Sutton John Voorhees Lawrence Vandiveer and Jacobus Vandiveer Sutton,NJ
631,Garret John,Garrett John Blauvelt,NJ
967,Elizabeth Roberdeau,Elizabeth Robertdeau,PA
968,Wiliam Alexander,William Alexander,PA
969,Robert McLaughlin,Robert McLauglin,PA
970,Catharine Summers,Cathrine Summers,PA
971,Dietrick Metzner,Detrick Metzner,PA
972,Francis Johnston,Francis Johnson,PA
973,Charles Thomson,Charles Thompson,PA
974,Nicholas Cruger,Nicolas Cruger,PA
975,Conrad Phillip,Conrad Phillips,PA
976,Thomas Thornton,Thomas Thorton,PA
977,William Sherer,William Shearer,PA
978,William Bingham,William Bigham,PA
979,Phillip Gardner,Philip Gardner,PA
980,Robert Johnston,Robert Johnson,PA
981,William Rogers,William Roger,PA
982,Helena Bogart,Helenah Bogart,PA
983,William  Sharp,William Sharp,PA
984,Valetine Hahn,Valentine Hahn,PA
985,Helena Bogart,Helenat Bogart,PA
986,Richard Potter,Richard Poter,PA
987,James Johnston,James Johnson,PA
988,William Brown,William Browne,PA
989,Robert Merns,Robert Mearns,PA
990,John Thompson,John Tompson,PA
991,Matthew Greer,Mathew Greer,PA
992,Thomas Meyers,Thomas Myers,PA
993,Peter Wikoff,Peter Wilkoff,PA
994,John Bleakley,John Blakley,PA
995,Wiliam White,William White,PA
996,Robert Means,Robert Mearns,PA
997,John Thomson,John Thompson,PA
998,James Huston,James Houston,PA
999,John Johnston,John Johnson,PA
1000,John Phillips,John Philips,PA
1001,Thomas Reber,Thomas Reuber,PA
1002,Peter Browne,Peter Brown,PA
1003,John Brooke,John Brooker,PA
1004,John Cropper,John Copper,PA
1005,John Wharton,John Harton,PA
1006,John Coburn,John Coburne,PA
1007,John Reily,John Reilly,PA
1008,John Holmes,John Holms,PA
1009,John Brooke,John Brook,PA
1010,John Miler,John Miller,PA
1011,Mary Porter,Mary Poter,PA
1012,John Barker,John Baker,PA
1013,John P Thomas,John Thomas,PA
1014,Anna Cunningham,Anna Dav Cunningham,PA
1015,John L Hunn,John Hunn,PA
1016,John Thompson Mason,John Thompson,PA
1017,John Smith,John Nic Smith,PA
1018,John Brooke,John Tin. Brooke,PA
1019,John  Cox,John Cox,PA
1020,Thomas Mifflin  Ex,Thomas Mifflin,PA
1021,Samuel Allen Otis,Samuel Allen,PA
1022,George Campbell,George W Campbell,PA
1023,John M Taylor,John Taylor,PA
1024,Robert Correy,Robert L Correy,PA
1025,William Smith,William P Smith,PA
1026,William Smith,William D Smith,PA
1027,William Smith,William O. Smith,PA
1028,John E Howard,John Howard,PA
1029,William  Sharp,William Sharpe,PA
1030,Wiliam Bryan,William Bryant,PA
1031,William Vernon transferred from the Register of Treasury ,William Vernon,PA
1032,No 10927 in favour of John Brown ,John Brown,PA
1033,John Adams  Trustees of the Sinking Fund,John Adams,PA
1034,Nicholas Brown transferred,Nicholas Brown,PA
1035,Distressed Presbyterian Ministers,Corporation for the Relief of Poor and Distressed Presbyterian Ministers ,PA
1036,Distressed Presbyterian Ministers,Corporation for relief of poor and distressed presbyterian ministers ,PA
1037,Joseph Stiles for Society,Joseph Stiles,PA
1038,John Warner transferred from Register ,John Warner,PA
1039,Samuel Vernon transfer from register ,Samuel Vernon,PA
1040,George Clymer,his inlaws george clymer,PA
1041,Corporation for the Relief of Poor,Corporation for the Relief of Poor and Distressed Presbyterian Ministers ,PA
1042,John Maxwell Nesbitt,John Maxwell,PA
1043,William Montgomery Sterrett,William Montgomery,PA
1044,James Johnston John McDowell,James John,PA
1045,James Johnston John McDowell,John McDowell,PA
1046,Robert Buchanan,William Robert Buchanan,PA
1047,Daniel William Coxe,William Coxe,PA
1048,John Warren Transferred from the Register ,John Warren,PA
1049,John Bowen No 11747 ,John Bowen,PA
1050,Mary Johnson transfer from Register ,Mary Johnson,PA
1051,John Jacob Lansing,John Jacob,PA
1052,Nicholas Brown transfer from register ,Nicholas Brown,PA
1053,John Webb,John Webb Cheehley,PA
1054,John Jacob Beekman,John Jacob,PA
1055,William W Morris,William Moris,PA
1056,James Brown in Trust for St George Tuker ,George Tusker,PA
1057,James Brown in Trust for St George Tuker ,George Tucker,PA
1058,John Jacob Beekman,John Jacobs,PA
1059,John Jacob Lansing,John Jacobs,PA
1060,John Chris Hedrick,John Christ,PA
1061,John Jones,John Paul Jones,PA
1062,John Kline,John Isaac Kline,PA
1063,Peter Wikoff,Peter Isaac Wikoff,PA
1064,John Smith,John Nicholas Smith,PA
1071,John Hamilton,John Hammilton,DE
1072,Garret John,John Garret,DE
1073,William W Morris,William Morris,DE
1074,John Thompson Mason,John Thompson,DE
1075,James Ladd Executor of Atkinsons Est ,James Atkinson,DE
1179,Richard Bryant,Richard Bryan,MD
1180,George Mofatt,George Moffatt,MD
1181,David Stuart,David Steuart,MD
1182,John Barker,John Baker,MD
1183,Philip Key,Phillip Key,MD
1184,John P Thomas,John Thomas,MD
1185,Samuel T Wright,Samuel Wright,MD
1186,Charles A Warfield,Charles Warfield,MD
1187,John Thomas,John A Thomas,MD
1188,John R B Rogers,John Rogers,MD
1189,John L Gibson,John Gibson,MD
1190,William Williams,William Williamson,MD
1191,Matthias Shrub,Mathias Shrubb,MD
1192,John Warren Transferred from the Register ,John Warren,MD
1193,Ezekiel John Dorsey,John Dorsey,MD
1194,John Rogers Transferred from the Register of the Treasury ,John Rogers,MD
1195,Philip B Key,Phillip Key,MD
1196,William Williams,William Gillis,MD
1197,James Johnston John McDowell,John Johnson,MD
1198,Philip Barton Key,Phillip Key,MD
1199,John Smith Brookes,John Brooke,MD
1200,Matthew Watson from the office of William Imlay Connecticut ,William Matthews,MD
1258,Benjamin Johnson,Benjamin Johnston,VA
1259,Mathew Pearson,Matthew Pearson,VA
1260,William Harvey,William Harvy,VA
1261,Thomas Colson,Thomas Colston,VA
1262,Samuel Beall,Samuel Bealle,VA
1263,Wiliam Bryan,William Bryan,VA
1264,George Carrington,George Carrington Jr,VA
1265,William W Morris,William Morris,VA
1266,John Carter,John Carter jr,VA
1267,John Thompson Mason,John Thompson,VA
1268,Benjamin Ruffin,Benjamin Ruffin Jr,VA
1269,George Washington,George Washington Esqr,VA
1270,Thomas O Elliott,Thomas Elliott,VA
1271,Richard E Lee,Richard Lee,VA
1272,James Mercer for Samuel Seldens Wars ,James Mercer,VA
1273,George Washington,George Washington Trustees,VA
1274,James Ladd Executor of Atkinsons Est ,James Ladd,VA
1275,Francis Lee,Francis Lightfoot Lee,VA
1276,Richard Taylor,Richard Squire Taylor,VA
