,Delegates,Loan Matches,Scores,state
0,William Patterson,William Patterson,100.0,6.0
3,Elbridge Gerry,Elbridge Gerry,100.0,2.0
4,Elbridge Gerry,Elbridge Gerry,100.0,6.0
6,Thomas Mifflin,Thomas Mifflin,100.0,6.0
9,Robert Morris,Robert Morris,100.0,6.0
12,George Clymer,George Clymer,100.0,6.0
15,William Livingston,William Livingston,100.0,5.0
18,James Wilson,James Wilson,100.0,4.0
19,James Wilson,James Wilson,100.0,6.0
21,Nicholas Gilman,Nicholas Gilman,100.0,2.0
24,John Langdon,John Langdon,100.0,1.0
27,Caleb Strong,Caleb Strong,100.0,2.0
30,George Washington,George Washington,100.0,8.0
33,Benjamin Franklin,Benjamin Franklin,100.0,6.0
36,Luther Martin,Luther Martin,100.0,8.0
39,James McClurg,James McClurg,100.0,9.0
42,Jacob Broom,Jacob Broom,100.0,7.0
45,John Dickinson,John Dickinson,100.0,3.0
48,David Brearley,David Brearley,100.0,5.0
51,George Read,George Read,100.0,7.0
52,George Read,George Read,100.0,9.0
54,Oliver Ellsworth,Oliver Ellsworth,100.0,3.0
57,Roger Sherman,Roger Sherman,100.0,3.0
60,William C. Houston,William C. Huston,97.14285714285714,5.0
63,William Paterson,William Palterson,96.96969696969697,5.0
66,William Paterson,William Patterson,96.96969696969697,6.0
69,Oliver Elsworth,Oliver Ellsworth,96.7741935483871,3.0
72,Nicholas Gilman,Nichols Gilman,96.55172413793103,1.0
75,William Blount,William Blunt,96.29629629629629,9.0
78,David Brearly,David Brearley,96.29629629629629,5.0
81,James Wilson,James Willson,96.0,3.0
82,James Wilson,James Willson,96.0,4.0
83,James Wilson,James Willson,96.0,5.0
84,John F. Mercer,John Mercer,95.0,8.0
87,George Washington,George Washington Esqr,95.0,9.0
90,William L. Pierce,William Pierce,95.0,6.0
93,Gunning Bedford Jr.,Gunning Bedford,95.0,6.0
94,Gunning Bedford Jr.,Gunning Bedford,95.0,7.0
96,William Samuel Johnson,William Johnson,95.0,7.0
97,William Samuel Johnson,William Johnson,95.0,8.0
99,William Samuel Johnson,Samuel Johnson,90.0,5.0
100,William Samuel Johnson,Samuel Johnson,90.0,6.0
102,George Clymer,his inlaws george clymer,90.0,6.0
105,George Washington,George Washington Trustees,90.0,9.0
0,Nicholas Gilman,Nicholas Gilman,100.0,NH
1,Nicholas Gilman,Nicholas Gilman,100.0,NJ
8,James Wilson,James Wilson,100.0,NH
9,James Wilson,James Wilson,100.0,NJ
10,James Wilson,James Wilson,100.0,MA
11,James Wilson,James Wilson,100.0,CT
12,James Wilson,James Wilson,100.0,NY
13,James Wilson,James Wilson,100.0,PA
14,James Wilson,James Wilson,100.0,unspecified
15,James Wilson,James Wilson,100.0,MD
16,Alexander Martin,Alexander Martin,100.0,PA
24,John Blair,John Blair,100.0,MA
25,John Blair,John Blair,100.0,NJ
26,John Blair,John Blair,100.0,PA
27,John Blair,John Blair,100.0,unspecified
28,John Blair,John Blair,100.0,MD
32,Jonathan Dayton,Jonathan Dayton,100.0,MA
33,Jonathan Dayton,Jonathan Dayton,100.0,NJ
34,Jonathan Dayton,Jonathan Dayton,100.0,unspecified
40,William Paterson,William Paterson,100.0,CS
48,Robert Morris,Robert Morris,100.0,NY
56,George Mason,George Mason,100.0,MA
64,William Patterson,William Patterson,100.0,CS
65,William Patterson,William Patterson,100.0,DE
66,William Patterson,William Patterson,100.0,NY
67,William Patterson,William Patterson,100.0,PA
68,William Patterson,William Patterson,100.0,MD
69,William Patterson,William Patterson,100.0,NC
72,Richard Bassett,Richard Bassett,100.0,unspecified
80,George Read,George Read,100.0,CT
88,William Paterson,William Patterson,96.96969696969697,CS
89,William Paterson,William Patterson,96.96969696969697,DE
90,William Paterson,William Patterson,96.96969696969697,NY
91,William Paterson,William Patterson,96.96969696969697,PA
92,William Paterson,William Patterson,96.96969696969697,MD
93,William Paterson,William Patterson,96.96969696969697,NC
96,William Patterson,William Paterson,96.96969696969697,CS
104,Abraham Baldwin,Abraham Baldwine,96.7741935483871,CT
112,James Wilson,James Willson,96.0,MA
113,James Wilson,James Willson,96.0,unspecified
114,James Wilson,James Willson,96.0,NY
115,James Wilson,James Willson,96.0,PA
116,James Wilson,James Willson,96.0,MD
117,James Wilson,James Willson,96.0,NC
120,John Blair,John Blaire,95.23809523809524,NJ
128,Charles Pinckney,Charles C Pinckney,95.0,unspecified
136,William Samuel Johnson,William Johnson,95.0,CT
137,William Samuel Johnson,William Johnson,95.0,unspecified
138,William Samuel Johnson,William Johnson,95.0,MA
139,William Samuel Johnson,William Johnson,95.0,NJ
140,William Samuel Johnson,William Johnson,95.0,NY
141,William Samuel Johnson,William Johnson,95.0,VA
142,William Samuel Johnson,William Johnson,95.0,MD
144,John Lansing Jr.,John Lansing,95.0,unspecified
152,John F. Mercer,John Mercer,95.0,unspecified
160,Luther Martin,Martin Luther,95.0,CT
168,William L. Pierce,William Pierce,95.0,MA
169,William L. Pierce,William Pierce,95.0,CT
170,William L. Pierce,William Pierce,95.0,unspecified
171,William L. Pierce,William Pierce,95.0,NC
176,William Samuel Johnson,Samuel Johnson,90.0,MA
177,William Samuel Johnson,Samuel Johnson,90.0,NJ
178,William Samuel Johnson,Samuel Johnson,90.0,RI
179,William Samuel Johnson,Samuel Johnson,90.0,CS
180,William Samuel Johnson,Samuel Johnson,90.0,NY
181,William Samuel Johnson,Samuel Johnson,90.0,unspecified
184,William C. Houston,William Huston,87.5,PA
192,William R. Davie,William Davies,86.66666666666667,MD
0,William Samuel Johnson,Samuel Johnson,90.0,Marine
35,George Read,George Read,100.0,DE
51,Jacob Broom,Jacob Broom,100.0,DE
116,William Paterson,William Paterson,100.0,DE
191,William Patterson,William Paterson,96.96969696969697,DE
288,John Langdon,John Langdon,100.0,MA
285,Elbridge Gerry,Eldbridge Gerry,96.55172413793103,MA
54,John Langdon,John Langdon,100.0,NH
106,John Dickinson,John Dickinson,100.0,NJ
555,Robert Morris,Robert Morris,100.0,NJ
571,James Wilson,James Willson,96.0,NJ
401,Jonathan Dayton,Jonathan I Dayton,95.0,NJ
720,David Brearley,Honorable David Brearley,90.0,NJ
397,David Brearly,Honorable David Brearley,85.5,NJ
440,John Langdon,John Langdon,100.0,NJ
468,William Livingston,William Livingston,100.0,NJ
696,Alexander Martin,Alexander Martin,100.0,NJ
254,William L. Pierce,William Pierce,95.0,NJ
552,John Lansing Jr.,John Lansing,95.0,NJ
75,John Dickinson,John Dickinson,100.0,PA
103,William Houstoun,William Houston,96.7741935483871,PA
189,William C. Houston,William Houston,95.0,PA
639,Alexander Hamilton,Alexander Hamilton,100.0,PA
782,Robert Morris,Robert Morris,100.0,PA
0,William Samuel Johnson,William Johnson,95.0,PA
121,Gunning Bedford Jr.,Gunning Bedford,95.0,PA
1067,Thomas FitzSimons; Fitzsimmons,Thomas Fitzsimmon,87.27272727272728,PA
147,Luther Martin,Luther Martin,100.0,RI
0,John Stevens,John Stevens,100.0,1.0
1,John Stevens,John Stevens,100.0,5.0
2,John Stevens,John Stevens,100.0,6.0
3,John Stevens,John Stevens,100.0,8.0
6,Joseph Hosmer,Joseph Hosmer,100.0,2.0
12,John Davis,John Davis,100.0,3.0
13,John Davis,John Davis,100.0,6.0
