,Original Name,Matches
0,A. Fisher,John A Fisher
1,Abraham Baldwin,Abraham Baldwine
2,Allen McLane,Allen McClane
3,Allen Samuel,Samuel Allen
4,Allen Samuel,Samuel G Allen
5,Allen Samuel,Samuel Green Allen
6,Allen Thomas,Thomas Allen
7,Anthony Ten Eyck,Anthony J. Ten Eyck
8,Archelaus Temple,Archelus Temple
9,Arnold Benjamin,Benjamin Arnold
10,Barker Joshua,Joshua Barker
11,Barker Peter,Peter Baker
12,Barker Peter,Peter Barker
13,Barton William,William Barton
14,Benjamin Bellows,Benjamin Bellow
15,Benjamin Browne,Benjamin Brown
16,Benjamin Elliott,Benjamin Eliott
17,Benjamin Elliott,Benjamin Elliot
18,Benjamin Harrison V,Benjamin Harrison
19,Benjamin Hinma,Benjamin Hinman
20,Benjamin Jones,Jones Benjamin
21,Benjamin Smith,Benjamin 1st Smith
22,Benjamin Smith,Benjamin 2d Smith
23,Benjamin Wilson,Benjamin Willson
24,Bourne Benjamin,Benjamin Bourn
25,Bourne Benjamin,Benjamin Bourne
26,Bowen Jabez,Jabez Bowen
27,Bradford William,William Bradford
28,Bradford William,William C Bradford
29,Brown Elisha,Elisha Brown
30,Brown John,John 2d Brown
31,Brown John,John A Brown
32,Brown John,John Brown
33,Brown John,John Browne
34,Brown John,John Jr. Brown
35,Brown John,John Sr. Brown
36,Caleb Curtiss,Caleb Curtis
37,Champlin George,George Champlain
38,Charles Barrett,Charles Barret
39,Charles Grahame,Charles Graham
40,Charles Johnson,Charles Johnston
41,Charles Pinckney,Charles C Pinckney
42,Christopher P.  Yates,Christopher P Yates
43,Christopher P.  Yates,Christopher Yates
44,Clark John I,John Clark
45,Clarke Peleg,Peleg Clarke
46,Congdon William,Willam Congdon
47,Cornelius C. Schoonmaker,Cornelius C Schoonmaker
48,Cornelius C. Schoonmaker,Cornelius Schoonmaker
49,Cornelius C. Schoonmaker,Cornelius Shoonmaker
50,Cornelius Higgins,Cornelius Higgns
51,Daniel Adams,Daniel J Adams
52,Daniel Adams,Daniel Jenifer Adams
53,Daniel Cannon,Daniel mc cannon deceased
54,Daniel Rodgers,Daniel D Rogers
55,Daniel Rodgers,Daniel Denison Rogers
56,Daniel Rodgers,Daniel Rogers
57,David Brearley,Honorable David Brearley
58,David Brearly,David Brearley
59,David Brooks,David Brook
60,David Gilmore,David Gillmore
61,David Stuart,David Steuart
62,David Wilson,David Willson
63,Davis John,John Davies
64,Davis John,John Davis
65,Davis John,John G Davis
66,Dexter John S,John Dexter
67,Dexter John S,John S Dexter
68,Durfree Job,Job Durfee
69,E. Brooks,Moses E Brooks
70,Ebenezer Clark,Ebenezer Clarke
71,Ebenezer Cummings,Ebenezer Cummins
72,Ebenezer Smith,Ebenezer Smith Fowle
73,Ebenezer Smith,Ebenezer Smith PLott
74,Edward Williams,William Edward
75,Edward Williams,William Edwards
76,Edward Williams,edward p williams
77,Elbridge Gerry,Eldbridge Gerry
78,Elisha Mills,Eisha Mills
79,Francis Cabot,Francis Cabbot
80,Frederick A. Muhlenberg,Frederick A Muhlenberg
81,Frederick A. Muhlenberg,Frederick Muhlenberg
82,Frederick A. Muhlenberg,Fredrick A Muhlenberg
83,George Carrington,George Carrington Jr
84,George Clinton,George Linton
85,George Clymer,his inlaws george clymer
86,George Digges,George Diggs
87,George H. Berger,George Berger
88,George H. Berger,George H
89,George Houser,George House
90,George Jackson,George H Jackson
91,George Matthews,George Mathews
92,George Mitchell,George Michell
93,George Truitt,George Truit
94,George Washington,George Washington Esqr
95,George Washington,George Washington Trustees
96,Gilbert Livingston,Gilbert K Livingston
97,Gilbert Livingston,Gilbert R Livingston
98,Greene Christopher,Christopher Green
99,Greene Job,Job Greene
100,Gunning Bedford Jr.,Gunning Bedford
101,"Gunning Bedford, Jr.",Gunning Bedford
102,"Gunning Bedford, Sr.",Gunning Bedford
103,Gustavus Richard Brown,Richard Brown
104,Henry Baker,Henry Barker
105,Henry Lee III,Henry Lee
106,Howard Jonathan J,Jonathan Howard
107,Howard William,William Howard
108,Hugh Wilson,Hugh Willson
109,Icabod Weeks,Ichabod Weeks
110,Isaac Clarke,Isaac Clark
111,Isaac Roosevelt,Isaac Rosevelt
112,Jacob Brown,Jacob R Brown
113,Jacob Johnston,Jacob Johnson
114,Jacob Rinker,Jacob Brinker
115,Jacobus Swartwout,Jacobus Swartout
116,James Armstrong,James F Armstrong
117,James Campbell,James Cambell
118,James G. Hunt,James Hunt
119,James Gordon Heron,James Gordon
120,James Gordon Heron,James Herron
121,James Gray,James W Gray
122,James Handley,James Hanley
123,James Johnson,James Johnston
124,James Martin,James Martain
125,James Martin,James Sr. Martin
126,James Moore,James Farncis Moore
127,James Moore,James Mooree
128,James Morris,James Morris Jones
129,James Morris,James Morriss
130,James Taylor,James Tylor
131,James Thomas,James Jr. Thomas
132,James Thomas,James Sr. Thomas
133,James Thomas,Thomas James
134,James Thomas,William Thomas Exos James Ecum
135,James Thompson,James E Thomson
136,James Thompson,James Thomson
137,James White,James white deceased
138,James Williams,James M'Williams
139,James Williams,William James
140,James Wilson,James Willson
141,Jedediah Huntington,Jeddediah Huntington
142,Jeremiah Townley Chase,Jeremiah Chase
143,Jesse Gilbert,Jessee Gilbert
144,John  Allen,John Allen
145,John  Allen,John Alleng
146,John  Fox,John Fox
147,John  Fox,John fox
148,John  Whittlesey,John Whittlesey
149,John A. Campbell,John Cambell
150,John A. Campbell,John Campbel
151,John A. Campbell,John Campbell
152,John Allen,John Allen McClay
153,John Allen,John Alleng
154,John Allen,John Van Allen
155,John Allen,John Van allen
156,John Anderson,John Sanderson
157,John Anderson,John Vanderson
158,John Andre Hanna,John Hanna
159,John Ashley,John Lashley
160,John Baker,John Banker
161,John Baker,John Barker
162,John Baker,John F Baker
163,John Baker,John Frederick Baker
164,John Baptista Ashe,John Baptist
165,John Beatty,Honorable John Beatty
166,John Beatty,John Beaty
167,John Blair,John Blaire
168,"John Blair, Jun.",John Blair
169,John Brooks,John Brook
170,John Brooks,John Brookes
171,John Brown,John 2d Brown
172,John Brown,John A Brown
173,John Brown,John Alex Brown
174,John Brown,John Brown Cutting
175,John Brown,John Browne
176,John Brown,John Jr. Brown
177,John Brown,John Sr. Brown
178,John Budd,John Shivers Budd
179,John Burgess,John Burges
180,John Burnham,John Burham
181,John Burnham,John Burnam
182,John Carter Littlepage,John Carter
183,John Carter Littlepage,John Cartier
184,John Carter Littlepage,John Littlepage
185,John Chester,John Chesters
186,John Chester,John Hester
187,John Cochran,John Cohran
188,John Collins,John Collin
189,John Collins,John Jr. Collins
190,John Cook,John Jr. Cook
191,John Cook,John Sr. Cook
192,John Cook,John Wanton Cook
193,John Coulter,John Colter
194,John Cowan,John M'Cowan
195,John Cragin,John Crain
196,John Curtiss,John Curtis
