,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,
John  Fox,John, Fox,MA,yes,18400.0,32.0,4401.06109,32.0,42.0,2.0,28.0,2.0,0.0,0.0,0.0,0.0,368.03000000000003,11.0
William Abbott,William,Abbott,NH,yes,500.0,2.0,317.71111,2.0,770.0,2.0,0,0.0,0.0,0.0,0.0,0.0,310.71000000000004,6.0
Henry Abbott,Henry,Abbott,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,251.56,4.0
Barker Abraham,Barker,Abraham,RI,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Adam,Robert,Adam,NC,yes,2800.0,4.0,70.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Adams,Daniel,Adams,MA,no,0.0,0.0,0.0,0.0,779.0,4.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Adams,Benjamin,Adams,NH,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Adams,Benjamin,Adams,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.4,1.0
Mark Adams,Mark,Adams,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Adams,Samuel,Adams,MA,yes,500.0,1.0,34.07639,1.0,33.0,1.0,30.0,1.0,0.0,0.0,0.0,0.0,8090.45,35.0
Matthew Adgate,Matthew,Adgate,NY,no,700.0,3.0,166.788922,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Akin,Jonathan,Akin,NY,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Alden,Noah,Alden,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Alexander,Robert,Alexander,VA,no,5000.0,1.0,634.2361,1.0,61.0,1.0,18,1.0,0.0,0.0,0.0,0.0,50.0,1.0
Robert Alexander,Robert,Alexander,NC,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John  Allen,John ,Allen,VA,yes,13900.0,16.0,884.794326,16.0,417.0,11.0,223.0,6.0,0.0,0.0,0.0,0.0,2074.8399999999997,35.0
John Allen,John,Allen,NC,yes,13900.0,16.0,884.794326,16.0,959.0,13.0,285.0,8.0,0.0,0.0,0.0,0.0,2079.2,36.0
Shadrick Allen,Shadrick,Allen,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Allen,Thomas,Allen,VA,no,6000.0,8.0,839.119604,8.0,4.0,3.0,71.0,3.0,0.0,0.0,0.0,0.0,9.05,1.0
Josiah Allis,Josiah,Allis,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Allison,John,Allison,PA,yes,200.0,1.0,9.85,1.0,32.0,2.0,39.0,2.0,0.0,0.0,0.0,0.0,505.0,6.0
John Allison,John,Allison,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Allston,William,Allston,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamuel James Allston,Lamuel James,Allston,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Allston,Thomas,Allston,SC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Almy,William,Almy,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Ames,Moses,Ames,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fisher Ames,Fisher,Ames,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Anderson,John,Anderson,NC,yes,2300.0,4.0,518.63611,4.0,338.0,4.0,165,3.0,0.0,0.0,0.0,0.0,4672.120000000001,33.0
Thomas Anderson,Thomas,Anderson,NJ,yes,1100.0,3.0,89.52222,3.0,402.0,6.0,380.0,6.0,0.0,0.0,0.0,0.0,5101.27,22.0
Geo Anderson,Geo,Anderson,NJ,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Anderson,James,Anderson,NC,yes,1800.0,4.0,98.86945,4.0,120.0,6.0,128.0,4.0,0.0,0.0,0.0,0.0,3096.1200000000003,18.0
Waterman Andrew,Waterman,Andrew,RI,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrews,Robert,Andrews,VA,yes,5000.0,11.0,584.9305699999999,11.0,28.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consider Arms,Consider,Arms,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Armstrong,James,Armstrong,NC,yes,3200.0,4.0,150.904176,4.0,37.0,4.0,132.0,4.0,0.0,0.0,0.0,0.0,9010.48,18.0
John Arndt,John,Arndt,PA,yes,1100.0,3.0,105.52083,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silas W. Arnett,Silas W.,Arnett,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Arthur,Thomas,Arthur,VA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,180.6,2.0
John Ashley,John,Ashley,MA,yes,7600.0,6.0,1231.2000400000002,6.0,62.0,1.0,0,0.0,0.0,0.0,0.0,0.0,337.56,4.0
Samuel Ashmead,Samuel,Ashmead,PA,yes,4800.0,10.0,1219.5166600000002,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burdet Ashton,Burdet,Ashton,VA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Atherton,Joshua,Atherton,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Atwood,Nathaniel,Atwood,CT,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicholas Austin,Nicholas,Austin,NH,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Austin,Aaron,Austin,CT,yes,3700.0,3.0,180.06667,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaac Backus,Isaac,Backus,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Badger,Joseph,Badger,NH,no,7200.0,5.0,1144.64438,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Bailey ,William,Bailey ,NC,yes,9700.0,13.0,1024.4861399999998,13.0,5.0,1.0,56.0,1.0,0.0,0.0,0.0,0.0,3201.1800000000003,15.0
John Baird,John,Baird,PA,no,2600.0,5.0,1605.1027000000001,5.0,70.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hilary Baker,Hilary,Baker,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Baker,Samuel,Baker,MA,yes,5200.0,10.0,1723.2943800000003,10.0,613.0,9.0,220.0,5.0,0.0,0.0,0.0,0.0,1022.29,18.0
John Baker,John,Baker,NC,yes,32700.0,51.0,7787.109810000005,51.0,270.0,7.0,113.0,4.0,0.0,0.0,0.0,0.0,3748.7699999999995,60.0
Henry Baker,Henry,Baker,NC,yes,600.0,1.0,50.00833,1.0,641.0,5.0,195.0,4.0,0.0,0.0,0.0,0.0,1655.8899999999999,5.0
T.M. Baker,T.M.,Baker,MA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Baker,Albert,Baker,NY,no,0.0,0.0,0.0,0.0,28.0,1.0,0,0.0,0.0,0.0,0.0,0.0,53.3,1.0
Abraham Baldwin,Abraham,Baldwin,Constitution,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3746.75,6.0
Stephen Balliott,Stephen,Balliott,PA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Bancker,Abraham,Bancker,NY,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Banks,Thomas,Banks,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Baptista Ashe,John,Baptista Ashe,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,402.43,8.0
John Barclay,John,Barclay,PA,yes,5200.0,4.0,2293.5111399999996,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1912.83,6.0
Richardson Bard,Richardson,Bard,PA,no,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Barker,Joseph,Barker,DE,yes,1300.0,3.0,838.97222,3.0,126.0,9.0,361.0,9.0,0.0,0.0,0.0,0.0,374.42,8.0
Elias Barnes,Elias,Barnes,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.1,1.0
Richard Barnes,Richard,Barnes,MD,yes,6500.0,8.0,2960.55132,8.0,21.0,1.0,50,1.0,0.0,0.0,0.0,0.0,153.9,3.0
