,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents,ASD_6p_Dollar,ASD_6p_Dollar,ASD_6p_Cents,ASD_6p_Cents,ASD_6p_def_Dollar,ASD_6p_def_Dollar,ASD_6p_def_Cents,ASD_6p_def_Cents,ASD_3p_Dollar,ASD_3p_Dollar,ASD_3p_Cents,ASD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,,,,,,,,,,,
John  Fox,John, Fox,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Henry Abbott,Henry,Abbott,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Abbott,William,Abbott,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Barker Abraham,Barker,Abraham,RI,yes,,,,,,,,,,,,,,,,,,,,,,,,
Robert Adam,Robert,Adam,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Adams,Daniel,Adams,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Adams,Samuel,Adams,MA,yes,,,,,,,,,,,,,0.0,0.0,0.0,0.0,231.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0
Benjamin Adams,Benjamin,Adams,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Adams,Benjamin,Adams,NH,yes,,,,,,,,,,,,,,,,,,,,,,,,
Mark Adams,Mark,Adams,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Adgate,Matthew,Adgate,NY,no,,,,,,,,,,,,,129.0,1.0,39.0,1.0,64.0,1.0,69.0,1.0,0.0,0.0,0.0,0.0
Jonathan Akin,Jonathan,Akin,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
Noah Alden,Noah,Alden,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Alexander,Robert,Alexander,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Alexander,Robert,Alexander,NC,no,,,,,,,,,,,,,,,,,,,,,,,,
Shadrick Allen,Shadrick,Allen,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Allen,John,Allen,NC,yes,116.0,1.0,31.0,1.0,58.0,1.0,15.0,1.0,122.0,1.0,2.0,1.0,26.0,1.0,42.0,1.0,13.0,1.0,20.0,1.0,19.0,1.0,81.0,1.0
Thomas Allen,Thomas,Allen,VA,no,357.0,1.0,38.0,1.0,178.0,1.0,69.0,1.0,291.0,1.0,4.0,1.0,12.0,1.0,64.0,1.0,6.0,1.0,32.0,1.0,9.0,1.0,47.0,1.0
John  Allen,John ,Allen,VA,yes,116.0,1.0,31.0,1.0,58.0,1.0,15.0,1.0,122.0,1.0,2.0,1.0,26.0,1.0,42.0,1.0,13.0,1.0,20.0,1.0,19.0,1.0,81.0,1.0
Josiah Allis,Josiah,Allis,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Allison,John,Allison,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Allison,John,Allison,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Allston,William,Allston,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Allston,Thomas,Allston,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Lamuel James Allston,Lamuel James,Allston,SC,yes,,,,,,,,,,,,,,,,,,,,,,,,
William Almy,William,Almy,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Moses Ames,Moses,Ames,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Fisher Ames,Fisher,Ames,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Anderson,Thomas,Anderson,NJ,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,90.0,2.0,,,,,,,,,,,,
John Anderson,John,Anderson,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
James Anderson,James,Anderson,NC,yes,32.0,1.0,48.0,1.0,16.0,1.0,25.0,1.0,878.0,2.0,126.0,2.0,,,,,,,,,,,,
Geo Anderson,Geo,Anderson,NJ,yes,,,,,,,,,,,,,,,,,,,,,,,,
Waterman Andrew,Waterman,Andrew,RI,no,,,,,,,,,,,,,,,,,,,,,,,,
Robert Andrews,Robert,Andrews,VA,yes,4566.0,18.0,600.0,18.0,2280.0,18.0,600.0,18.0,1143.0,18.0,972.0,18.0,74439.0,36.0,1719.0,27.0,35124.0,36.0,2364.0,36.0,52716.0,36.0,540.0,36.0
Consider Arms,Consider,Arms,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
James Armstrong,James,Armstrong,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Arndt,John,Arndt,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Silas W. Arnett,Silas W.,Arnett,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Arthur,Thomas,Arthur,VA,no,,,,,,,,,,,,,,,,,,,,,,,,
John Ashley,John,Ashley,MA,yes,4668.0,4.0,72.0,3.0,2334.0,4.0,42.0,3.0,19629.0,4.0,92.0,4.0,5581.0,8.0,392.0,8.0,18192.0,8.0,199.0,8.0,6367.0,8.0,234.0,8.0
Samuel Ashmead,Samuel,Ashmead,PA,yes,916.0,1.0,11.0,1.0,458.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Burdet Ashton,Burdet,Ashton,VA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Atherton,Joshua,Atherton,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Atwood,Nathaniel,Atwood,CT,no,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Austin,Aaron,Austin,CT,yes,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Austin,Nicholas,Austin,NH,no,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Backus,Isaac,Backus,MA,yes,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Badger,Joseph,Badger,NH,no,763.0,1.0,11.0,1.0,381.0,1.0,55.0,1.0,251.0,1.0,1.0,1.0,239.0,1.0,35.0,1.0,119.0,1.0,67.0,1.0,179.5125,1.0,0.0,0.0
William Bailey ,William,Bailey ,NC,yes,,,,,,,,,,,,,,,,,,,,,,,,
John Baird,John,Baird,PA,no,711.0,1.0,33.0,1.0,355.0,1.0,67.0,1.0,210.0,1.0,3.0,1.0,,,,,,,,,,,,
Hilary Baker,Hilary,Baker,PA,yes,,,,,,,,,,,,,,,,,,,,,,,,
T.M. Baker,T.M.,Baker,MA,no,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Baker,Samuel,Baker,MA,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,3.0,100.0,2.0,,,,,,,,,,,,
Henry Baker,Henry,Baker,NC,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,20.0,1.0,,,,,,,,,,,,
Albert Baker,Albert,Baker,NY,no,,,,,,,,,,,,,,,,,,,,,,,,
John Baker,John,Baker,NC,yes,8.0,1.0,77.0,1.0,4.0,1.0,39.0,1.0,7220.0,2.0,143.0,2.0,,,,,,,,,,,,
