,full name,state,state debt,Same State Loan Office,Different State Loan Office,Same State Liquidated Debt,Different State Liquidated Debt,Pierce Certificates,Total,SSLO Total,DSLO Total,SSLD Total,DSLD Total,PC Total,Debt Total,tot_pre1790_certs
0,"[""Bernard O'Neill""]",MD,MD,"[""Bernard O'Neill""]",,,,,230.31,118.85973000000001,0.0,0.0,0.0,0.0,118.85973000000001,1
1,"[""Francis O'Neill""]",MD,MD,"[""Francis O'Neill""]",['Francis O Neill'],,,,37.96,17.5,151.5125,0.0,0.0,0.0,169.0125,2
2,"[""Henry O'Neale""]",MD,MD,,,,,"[""Henry O'Neal""]",99.77,0.0,0.0,0.0,0.0,23.0,23.0,1
3,"[""James O'Hara""]",PA,PA,,,,,,33.44,0.0,0.0,0.0,0.0,0.0,0.0,0
4,[' Agness ann'],PA,PA,,,,,,883.63,0.0,0.0,0.0,0.0,0.0,0.0,0
5,[' Anne Maria'],PA,PA,,,,,,255.77,0.0,0.0,0.0,0.0,0.0,0.0,0
6,[' Charles Godfreid'],PA,PA,,,,,,3260.83,0.0,0.0,0.0,0.0,0.0,0.0,0
7,[' Daniel W '],PA,PA,,,,,,269.57,0.0,0.0,0.0,0.0,0.0,0.0,0
8,[' Ernst L'],PA,PA,,,,,,978.91,0.0,0.0,0.0,0.0,0.0,0.0,0
9,[' Jacob C'],PA,PA,,,,,,193.33,0.0,0.0,0.0,0.0,0.0,0.0,0
10,[' Jacob Lawer'],PA,PA,,,,,,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,[' Jacob Sawer'],PA,PA,,,,,,5076.14,0.0,0.0,0.0,0.0,0.0,0.0,0
12,[' James C'],PA,PA,,,,,,2666.86,0.0,0.0,0.0,0.0,0.0,0.0,0
13,[' John Clement'],PA,PA,,,,,,3643.47,0.0,0.0,0.0,0.0,0.0,0.0,0
14,[' John D'],NJ,PA,,,,,,599.83,0.0,0.0,0.0,0.0,0.0,0.0,0
15,[' John F'],PA,PA,,,,,,5209.35,0.0,0.0,0.0,0.0,0.0,0.0,0
16,[' John M'],PA,PA,,,,,,23300.54,0.0,0.0,0.0,0.0,0.0,0.0,0
17,[' Jonathan B'],PA,PA,,,,,,1372.45,0.0,0.0,0.0,0.0,0.0,0.0,0
18,[' Joseph C'],PA,PA,,,,,,4083.71,0.0,0.0,0.0,0.0,0.0,0.0,0
19,[' Joseph Le'],PA,PA,,,,,,2152.5,0.0,0.0,0.0,0.0,0.0,0.0,0
20,[' Joseph R'],PA,PA,,,,,,284.72,0.0,0.0,0.0,0.0,0.0,0.0,0
21,[' Matthew L'],PA,PA,,,,,,268.44,0.0,0.0,0.0,0.0,0.0,0.0,0
22,[' Michael Morgan'],PA,PA,,,,,,799.27,0.0,0.0,0.0,0.0,0.0,0.0,0
23,[' Pontius D'],NJ,PA,,,,,,1673.94,0.0,0.0,0.0,0.0,0.0,0.0,0
24,[' Robert S'],PA,PA,,,,,,1160.83,0.0,0.0,0.0,0.0,0.0,0.0,0
25,[' Samuel S'],NJ,PA,,,,,,467.98,0.0,0.0,0.0,0.0,0.0,0.0,0
26,[' The Trustees of the second presbyterian Church in philadelphia'],PA,PA,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,[' Thomas L'],PA,PA,,,,,,32170.31,0.0,0.0,0.0,0.0,0.0,0.0,0
28,[' Thomas M'],PA,PA,,,,,,7944.98,0.0,0.0,0.0,0.0,0.0,0.0,0
29,"[' Trustees of 2nd R Church', 'Trustees of the Second Presbyterian ']",PA,PA,,,,,,3372.76,0.0,0.0,0.0,0.0,0.0,0.0,0
30,['Aaron Bourn'],RI,RI,,,,,,309.55,0.0,0.0,0.0,0.0,0.0,0.0,0
31,['Aaron Bull'],CT,CT,,,['Aaron Bull'],['Aaron Bull'],['Aaron Bull'],91.96,0.0,0.0,35.022222222222226,117.02222222222223,2548.56,2700.604444444444,3
32,['Aaron Cadwell II'],CT,CT,,,,,,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0
33,['Aaron Colvin'],RI,RI,,,,,,79.05,0.0,0.0,0.0,0.0,0.0,0.0,0
34,['Aaron Forbes'],CT,CT,,,,,,9230.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,['Aaron Hill'],NH,NH,,,,['Aaron Hill'],,566.17,0.0,0.0,0.0,40.91111111111111,0.0,40.91111111111111,1
36,['Aaron Kelsey'],CT,CT,['Aaron Kelsey'],,,,,95.1,95.10834,0.0,0.0,0.0,0.0,95.10834,1
37,['Aaron Kitchel'],NJ,PA,,,,,,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38,['Aaron Loocock'],SC,SC,,,,,,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,['Aaron Malich'],NJ,PA,,,,,,282.21,0.0,0.0,0.0,0.0,0.0,0.0,0
40,['Aaron Mason'],RI,RI,,,,,,169.97,0.0,0.0,0.0,0.0,0.0,0.0,0
41,['Aaron Ogden'],NJ,PA,['Aaron Ogden'],,['Aaron Ogden'],['Aaron Ogden'],['Aaron Ogden'],1988.53,0.0,0.0,0.0,36.2,0.0,36.2,4
42,['Aaron Olmsted'],CT,CT,,,,,,35.41,0.0,0.0,0.0,0.0,0.0,0.0,0
43,['Abbey Willing'],PA,PA,,,,,,2169.3,0.0,0.0,0.0,0.0,0.0,0.0,0
44,['Abel Hine'],CT,CT,['Abel Hine'],,['Abel Hine'],['Abel Hine'],,1118.47,1102.0055699999998,0.0,1.2555555555555555,1.2555555555555555,0.0,1104.5166811111108,3
45,['Abel Morse'],CT,CT,['Abel Morse'],,,,,1388.83,1388.8693,0.0,0.0,0.0,0.0,1388.8693,1
46,['Abel Patchen'],CT,CT,['Abel Patchen'],,,,,153.96,153.97915999999998,0.0,0.0,0.0,0.0,153.97915999999998,1
47,['Abel Tibbals'],CT,CT,['Abel Tibbals'],,,,,49.16,107.66526999999999,0.0,0.0,0.0,0.0,107.66526999999999,1
48,['Abgail Ellsworth'],CT,CT,,,,,,848.46,0.0,0.0,0.0,0.0,0.0,0.0,0
49,['Abiel Foster'],NH,NH,['Abiel Foster'],,['Abiel Foster'],['Abiel Foster'],,96.03,93.53333,0.0,7.5,7.5,0.0,108.53333,3
50,['Abiel Griswold'],CT,CT,['Abiel Griswold'],,,,,111.87,493.3708,0.0,0.0,0.0,0.0,493.3708,1
51,['Abiel Smith'],RI,RI,,,,,,972.53,0.0,0.0,0.0,0.0,0.0,0.0,0
52,['Abigail Ash'],PA,PA,,,,,,198.66,0.0,0.0,0.0,0.0,0.0,0.0,0
53,['Abigail Ball'],NH,NH,,,,,,149.81,0.0,0.0,0.0,0.0,0.0,0.0,0
54,['Abigail Bulkley'],CT,CT,,,,,,555.93,0.0,0.0,0.0,0.0,0.0,0.0,0
55,['Abigail Keyes'],CT,CT,,,,,,154.44,0.0,0.0,0.0,0.0,0.0,0.0,0
56,['Abigail Prime'],MA,NH,,,,,,108.28,0.0,0.0,0.0,0.0,0.0,0.0,0
57,['Abigail Robbins'],CT,CT,,,,,,93.19,0.0,0.0,0.0,0.0,0.0,0.0,0
58,['Abigail Watson'],CT,CT,,,,,,2065.2,0.0,0.0,0.0,0.0,0.0,0.0,0
59,['Abijah Savage'],CT,CT,,['Habijah Savage'],,,['Abijah Savage'],800.0,0.0,2721.81944,0.0,0.0,2405.75,5127.56944,2
60,['Abner Andruss'],CT,CT,,,,,,59.66,0.0,0.0,0.0,0.0,0.0,0.0,0
61,['Abner Butler'],RI,RI,,,,,,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0
62,['Abner Cole'],CT,CT,,,,,['Abner Cole'],80.0,0.0,0.0,0.0,0.0,1559.13,1559.13,1
63,['Abner Daggatt'],RI,RI,,,,,,140.85,0.0,0.0,0.0,0.0,0.0,0.0,0
64,['Abner Daggett'],RI,RI,,,,,,1384.57,0.0,0.0,0.0,0.0,0.0,0.0,0
65,['Abner Johnson'],CT,CT,,,,,,337.83,0.0,0.0,0.0,0.0,0.0,0.0,0
66,['Abner Sage'],CT,CT,,,,,,39.33,0.0,0.0,0.0,0.0,0.0,0.0,0
67,['Abraham Barker'],RI,RI,,,,,,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0
68,['Abraham Brinsmade'],CT,CT,['Abraham Brinsmade'],,,,,400.0,400.0,0.0,0.0,0.0,0.0,400.0,1
