,Identifier,Identifier,Identifier,Identifier,Identifier,Loan Office Certificates Face Value,State Certificates Dollars,State Certificates 90th,Total Debt Assets
,delegate name,First Name,Last Name,delegate_state,sign,sum,sum,sum,sum
1081,Robert Morris,Robert,Morris,Constitution,yes,405700.0,1053.0,37.0,406790.0
1441,John Stevens,John,Stevens,NJ,yes,399300.0,3463.0,49.0,402812.0
1570,Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,303300.0,22.0,45.0,303367.0
1402,William Smith,William,Smith,SC,yes,212200.0,5927.0,49.0,218176.0
304,Robert Coleman,Robert,Coleman,PA,yes,206200.0,0.0,0.0,206200.0
1377,John Skinner,John,Skinner,NC,yes,203400.0,15.0,45.0,203460.0
378,John Davis,John,Davis,MA,yes,134900.0,2171.0,62.0,137133.0
812,Davis John,Davis,John,RI,yes,134200.0,2171.0,62.0,136433.0
433,John Dunlap,John,Dunlap,MA,yes,112100.0,1135.0,74.0,113309.0
813,Williams John,Williams,John,RI,no,107800.0,1772.0,39.0,109611.0
