,Identifier,Identifier,Identifier,Identifier,Identifier,Loan Office Certificates Face Value,Loan Office Certificates Face Value
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
1081,Robert Morris,Robert,Morris,Constitution,yes,405700.0,309.0
1441,John Stevens,John,Stevens,NJ,yes,399300.0,344.0
1570,Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,303300.0,369.0
1402,William Smith,William,Smith,SC,yes,212200.0,381.0
304,Robert Coleman,Robert,Coleman,PA,yes,206200.0,306.0
1377,John Skinner,John,Skinner,NC,yes,203400.0,313.0
378,John Davis,John,Davis,MA,yes,134900.0,196.0
812,Davis John,Davis,John,RI,yes,134200.0,194.0
433,John Dunlap,John,Dunlap,MA,yes,112100.0,72.0
813,Williams John,Williams,John,RI,no,107800.0,176.0
