,Identifier,Identifier,Identifier,Identifier,Identifier,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
1081,Robert Morris,Robert,Morris,Constitution,yes,67275.16728999997,309.0
1200,William Phillips,William,Phillips,MA,yes,44598.93883000001,170.0
1570,Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,35498.52977999993,369.0
1402,William Smith,William,Smith,SC,yes,29479.097219999985,381.0
1441,John Stevens,John,Stevens,NJ,yes,27727.495403000008,344.0
887,John Langdon,John,Langdon,Constitution,yes,26977.611679999984,112.0
815,Brown John,Brown,John,RI,yes,26084.570880000003,58.0
186,John Brown,John,Brown,NC,no,26084.570880000003,58.0
1071,William Moore,William,Moore,DE,yes,24908.04859999999,90.0
610,Samuel Griffin,Samuel,Griffin,NH,yes,24838.71125,41.0
