,Identifier,Identifier,Identifier,Identifier,Identifier,Marine Certificates Dollars,Marine Certificates Dollars
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
839,William Jones,William,Jones,MA,no,1872.0,5.0
743,George Houser,George,Houser,NC,yes,1047.0,1.0
1402,William Smith,William,Smith,SC,yes,636.0,1.0
1083,William Morris,William,Morris,MD,yes,471.0,3.0
766,John Hunter,John,Hunter,SC,yes,310.0,1.0
186,John Brown,John,Brown,NC,no,262.0,1.0
815,Brown John,Brown,John,RI,yes,262.0,1.0
465,John Elliot,John,Elliot,GA,yes,194.0,1.0
192,Benjamin Browne,Benjamin,Browne,MA,yes,141.0,1.0
100,David Bell,David,Bell,VA,no,108.0,1.0
