,state,ASD Total,CD Total
0,BM,2981.12,1132.4
1,BVI,1634.55,1868.3
2,CT,282429.55,1346300.72
3,FC,210.83,
4,FR,2742.16,6820.77
5,GA,1114.75,8040.45
6,GB,51259.26,401.77
7,KY,131.85,
8,MA,18523.71,135257.04
9,MD,141713.62,1436570.68
10,NC,16102.75,54902.4
11,NH,544.07,272954.78
12,NJ,1607.8,43128.01
13,NY,353945.33,25985.37
14,NY loan office,1408932.24,1926464.36
15,PA,129119.33,2843338.75
16,RI,62807.17,766286.96
17,SC,450130.45,1496534.05
18,VA,685408.11,886516.08
19,VT,135.71,5908.47
20,DE,,12781.59
21,US,,92.25
22,VI,,3679.89
