state,county,town,0
BM,NaN,Bermuda,7
BM,NaN,Somerset Parish Bermuda,1
BVI,NaN,Eustatia,3
BVI,NaN,Martinique,1
BVI,NaN,St Thomas's,2
CT,Fairfield County,Danbury,7
CT,Fairfield County,Fairfield,20
CT,Fairfield County,Greenwich,6
CT,Fairfield County,Huntington,5
CT,Fairfield County,Norwalk,8
CT,Fairfield County,Reading,1
CT,Fairfield County,Ridgefield,1
CT,Fairfield County,Stamford,24
CT,Fairfield County,Stratford,9
CT,Fairfield County,Weston,1
CT,Hartford County,Berlin,4
CT,Hartford County,Bristol,1
CT,Hartford County,East Hartford,10
CT,Hartford County,East Windsor,8
CT,Hartford County,Enfield,2
CT,Hartford County,Farmington,24
CT,Hartford County,Glastonbury,12
CT,Hartford County,Granby,1
CT,Hartford County,Hartford,137
CT,Hartford County,Newington,2
CT,Hartford County,Suffield,13
CT,Hartford County,Symsbury,2
CT,Hartford County,Wethersfield,47
CT,Hartford County,Windsor,28
CT,Litchfield County,Canaan,3
CT,Litchfield County,Cornwall,3
CT,Litchfield County,Goshen,8
CT,Litchfield County,Hartford,2
CT,Litchfield County,Litchfield,2
CT,Litchfield County,New Milford,11
CT,Litchfield County,Norfolk,1
CT,Litchfield County,Roxbury,2
CT,Litchfield County,Salisbury,1
CT,Litchfield County,Sharon,3
CT,Litchfield County,Torrington,4
CT,Litchfield County,Watertown,1
CT,Litchfield County,Woodbury,3
CT,Middlesex County,Chatham,11
CT,Middlesex County,Durham,1
CT,Middlesex County,Haddam,11
CT,Middlesex County,Killingworth,15
CT,Middlesex County,Middletown,31
CT,Middlesex County,Saybrook,13
CT,NaN,Colchester,1
CT,NaN,Franklin,1
CT,NaN,Killingly,1
CT,NaN,Lyme,1
CT,NaN,Middletown,1
CT,NaN,NaN,3
CT,NaN,Vermont,1
CT,NaN,Wethersfield,1
CT,New Haven County,Branford,2
CT,New Haven County,Cheshire,2
CT,New Haven County,Derby,8
CT,New Haven County,East Haven,2
CT,New Haven County,Guilford,11
CT,New Haven County,Milford,11
CT,New Haven County,New Haven,45
CT,New Haven County,North Haven,1
CT,New Haven County,Southbury,1
CT,New Haven County,Wallingford,2
CT,New Haven County,Waterbury,1
CT,New London County,Bozrah,2
CT,New London County,Colchester,17
CT,New London County,Franklin,2
CT,New London County,Groton,12
CT,New London County,Lebanon,24
CT,New London County,Lyme,28
CT,New London County,Montville,5
CT,New London County,New London,38
CT,New London County,Norwich,46
CT,New London County,Preston,9
CT,New London County,Stonington,9
CT,New London County,Volentown,2
CT,Tolland County,Bolton,13
CT,Tolland County,Coventry,9
CT,Tolland County,Ellington,1
CT,Tolland County,Hebron,10
CT,Tolland County,Mansfield,7
CT,Tolland County,Somers,1
CT,Tolland County,Stamford,2
CT,Tolland County,Tolland,4
CT,Tolland County,Willington,2
CT,Windham County,Ashford,6
CT,Windham County,Brooklyn,3
CT,Windham County,Canterbury,4
CT,Windham County,Hampton,3
CT,Windham County,Plainfield,4
CT,Windham County,Pomfret,13
CT,Windham County,Thompson,4
CT,Windham County,Windham,13
CT,Windham County,Woodstock,22
DE,Kent County,NaN,1
DE,NaN,NaN,3
DE,New Castle County,NaN,4
FC,NaN,France,1
GA,Chatham County,Savannah,11
GA,Effingham County,NaN,2
GA,NaN,NaN,3
GA,Richmond County,Augusta,2
GA,Richmond County,NaN,1
GB,NaN,Edinburgh,1
GB,NaN,Great Britain,5
GB,NaN,Ireland,1
GB,NaN,Liverpool,1
GB,NaN,London,16
MA,Barnstable County,Falmouth,1
MA,Berkshire County,Pittsfield,1
MA,Berkshire County,Tyringham,2
MA,Bristol County,Attleborough,10
MA,Bristol County,Dighton,5
MA,Bristol County,Freetown,2
MA,Bristol County,Norton,2
MA,Bristol County,Rehoboth,20
