state,county,town,6p_total
CT,Fairfield,Danbury,3116.56
CT,Fairfield,Fairfield,6505.58
CT,Fairfield,Greenwich,997.06
CT,Fairfield,Huntington,6845.41
CT,Fairfield,Norwalk,1993.3400000000001
CT,Fairfield,Reading,578.36
CT,Fairfield,Ridgefield,110.75
CT,Fairfield,Stamford,9994.88
CT,Fairfield,Stratford,4448.07
CT,Fairfield,Weston,69.37
CT,Hartford,Berlin,920.41
CT,Hartford,Bristol,210.01
CT,Hartford,East Hartford,4049.04
CT,Hartford,East Windsor,1326.9299999999998
CT,Hartford,Enfield,562.06
CT,Hartford,Farmington,5442.13
CT,Hartford,Glastonbury,11805.089999999998
CT,Hartford,Granby,422.38
CT,Hartford,Hartford,49140.48
CT,Hartford,Newington,1922.37
CT,Hartford,Suffield,1866.1
CT,Hartford,Symsbury,35.78
CT,Hartford,Wethersfield,10765.4
CT,Hartford,Windsor,8695.1
CT,Litchfield,Canaan,299.40999999999997
CT,Litchfield,Cornwall,3151.91
CT,Litchfield,Goshen,8842.39
CT,Litchfield,Hartford,615.6999999999999
CT,Litchfield,Litchfield,1150.9
CT,Litchfield,New Milford,1975.34
CT,Litchfield,Norfolk,52.28
CT,Litchfield,Roxbury,10592.61
CT,Litchfield,Salisbury,10.08
CT,Litchfield,Sharon,745.03
CT,Litchfield,Torrington,1965.91
CT,Litchfield,Watertown,533.33
CT,Litchfield,Woodbury,1132.25
CT,Middlesex,Chatham,1208.07
CT,Middlesex,Durham,32.77
CT,Middlesex,Haddam,6597.64
CT,Middlesex,Killingworth,1780.76
CT,Middlesex,Middletown,21997.77
CT,Middlesex,Saybrook,11735.19
CT,New Haven,Branford,127.54
CT,New Haven,Cheshire,794.01
CT,New Haven,Derby,5303.11
CT,New Haven,East Haven,44.33
CT,New Haven,Guilford,971.39
CT,New Haven,Milford,2243.3
CT,New Haven,New Haven,27504.96
CT,New Haven,North Haven,30.56
CT,New Haven,Southbury,350.25
CT,New Haven,Wallingford,1219.03
CT,New Haven,Waterbury,225.22
CT,New London,Bozrah,335.98
CT,New London,Colchester,7403.65
CT,New London,Franklin,67.64
CT,New London,Groton,2735.23
CT,New London,Lebanon,19910.54
CT,New London,Lyme,31431.16
CT,New London,Montville,475.21000000000004
CT,New London,New London,40166.44
CT,New London,Norwich,47732.350000000006
CT,New London,Preston,2965.37
CT,New London,Stonington,7465.2
CT,New London,Voluntown,413.14000000000004
CT,Tolland,Bolton,10453.64
CT,Tolland,Coventry,1335.46
CT,Tolland,Ellington,112.24
CT,Tolland,Hebron,7733.12
CT,Tolland,Mansfield,1507.58
CT,Tolland,Somers,40.67
CT,Tolland,Stamford,288.97
CT,Tolland,Tolland,330.22
CT,Tolland,Willington,216.59
CT,Windham,Ashford,1276.25
CT,Windham,Brooklyn,975.02
CT,Windham,Canterbury,778.27
CT,Windham,Hampton,387.56
CT,Windham,Plainfield,1430.27
CT,Windham,Pomfret,2705.1200000000003
CT,Windham,Thompson,2722.47
CT,Windham,Windham,5490.97
CT,Windham,Woodstock,9823.87
GA,Chatham,Savannah,10582.682729
GA,Richmond,Augusta,139.271033
MA,Barnstable,Falmouth ,99.09
MA,Berkshire,Pittsfield,357.38
MA,Berkshire,Tyringham ,992.1200000000001
MA,Bristol,Attleborough,1268.5
MA,Bristol,Dighton,2712.82
MA,Bristol,Freetown,133.34
MA,Bristol,Norton,266.67
MA,Bristol,Rehoboth,8270.92
MA,Bristol,Somerset,30.45
MA,Bristol,Swansea,1444.53
MA,Bristol,Westport,106.57
MA,Essex,Almsbury,110.59
MA,Essex,Andover,2836.61
MA,Essex,Beverly,1333.33
MA,Essex,Haverhill,1336.8300000000002
MA,Essex,Ipswich,585.76
MA,Essex,Newbury Port,6091.2
MA,Essex,Rowley,72.19
MA,Essex,Salem,1437.65
MA,Hampshire,Chesterfield ,75.34
MA,Hampshire,Granby ,4.18
MA,Hampshire,Hadley ,0.0
MA,Hampshire,Long Meadow ,219.43
MA,Hampshire,Ludlow,0.0
MA,Hampshire,North Hampton,177.85
MA,Hampshire,Springfield,2880.8599999999997
