,Search Names,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,url,origin
19,"['Ann  Willing', 'Wm Bingham', 'William Willink']",Wm Bingham,"['Jan Willink', 'Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,"Water Street East Side, Philadelphia, Pennsylvania",15,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Bingham&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
20,"['Ann  Willing', 'Wm Bingham', 'William Willink']",William Willink,"['Jan Willink', 'Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,Pennsylvania,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Willink&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
167,"['Thos Willing', 'John Swanwick', 'Robert Morris']",John Swanwick,"['Thomas Willing', 'William Morris and Swanwick', 'Willing Morris and Swanwick']","['Merchants', 'Merchant', 'Esquire']",3,9,56290.0,28443.0,22266.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Swanwick&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
168,"['Thos Willing', 'John Swanwick', 'Robert Morris']",Robert Morris,"['Thomas Willing', 'William Morris and Swanwick', 'Willing Morris and Swanwick']","['Merchants', 'Merchant', 'Esquire']",3,9,56290.0,28443.0,22266.0, Philadelphia,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Morris&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
27,"['William W Morris', 'John Delafield']",William W Morris,"['William W Morris', 'John Delafield']",,2,1,33075.0,15419.0,1662.0,,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William W_Morris&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
34,"['Uriah Forrest', 'Benjn Stoddert']",Benjn Stoddert,['Uriah Forrest and Benjamin Stoddert'],['Merchants'],2,2,29980.0,15039.0,51716.0,"Montgomery, Maryland",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Stoddert&name_x=1_1&residence=_cecil-maryland-usa_537&residence_x=1-0_1-1,Aggregated CD debt files
49,"['Charles Wallace', 'John Muir']",John Muir,"['Charles Wallace', 'John Muir']",[],2,18,28789.0,11311.0,18930.0,"Annapolis, Anne Arundel, Maryland",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Muir&name_x=ps_ps&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
14,"['Andrew Clow', 'James Brown', 'Hugh Patton']",James Brown,"['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,Pennsylvania,,,No Match,Too Many Potential Matches Found (26),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Brown&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
15,"['Andrew Clow', 'James Brown', 'Hugh Patton']",Hugh Patton,"['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,"Washington, Pennsylvania",9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hugh_Patton&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
233,"['Thos Willing', 'Thomas Mwilling']",Thomas Mwilling,"['Thomas Willing', 'Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling']",['Esquire'],2,1,9415.0,4707.0,2705.0,"Philadelphia, Philadelphia, Pennsylvania",,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Mwilling&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
