,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
0,,663872.0,339662.0,299449.0,346,Connecticut,1918.71,70.11,69.93,59.7,47.59
27,merchant,52610.0,21266.0,31612.0,29,Connecticut,1814.14,5.56,4.38,6.3,3.99
17,farmer,45953.0,26635.0,34160.0,147,Connecticut,312.61,4.85,5.48,6.81,20.22
48,treasurer,26813.0,14751.0,14585.0,11,Connecticut,2437.55,2.83,3.04,2.91,1.51
12,esquire,25631.0,13430.0,17146.0,13,Connecticut,1971.62,2.71,2.77,3.42,1.79
29,"merchant, esquire",24515.0,12355.0,31289.0,1,Connecticut,24515.0,2.59,2.54,6.24,0.14
19,gentleman,17903.0,9250.0,11077.0,18,Connecticut,994.61,1.89,1.9,2.21,2.48
28,"merchant, administrator",12787.0,6441.0,13750.0,1,Connecticut,12787.0,1.35,1.33,2.74,0.14
3,attorney,12265.0,5986.0,7152.0,13,Connecticut,943.46,1.3,1.23,1.43,1.79
47,trader,10640.0,7295.0,7363.0,33,Connecticut,322.42,1.12,1.5,1.47,4.54
50,widow,8742.0,4929.0,6195.0,25,Connecticut,349.68,0.92,1.01,1.24,3.44
11,doctor,6402.0,1796.0,1790.0,1,Connecticut,6402.0,0.68,0.37,0.36,0.14
15,executor,5436.0,2703.0,3982.0,6,Connecticut,906.0,0.57,0.56,0.79,0.83
26,mariner,4529.0,2760.0,3119.0,11,Connecticut,411.73,0.48,0.57,0.62,1.51
36,sadler,3598.0,1799.0,1351.0,1,Connecticut,3598.0,0.38,0.37,0.27,0.14
37,school master,3448.0,1826.0,1935.0,6,Connecticut,574.67,0.36,0.38,0.39,0.83
44,spinster,2264.0,1326.0,1599.0,6,Connecticut,377.33,0.24,0.27,0.32,0.83
16,"executor, treasurer, inn keeper",1954.0,1078.0,1566.0,1,Connecticut,1954.0,0.21,0.22,0.31,0.14
42,shoemaker,1688.0,943.0,1000.0,6,Connecticut,281.33,0.18,0.19,0.2,0.83
32,physician,1547.0,825.0,874.0,3,Connecticut,515.67,0.16,0.17,0.17,0.41
21,guardian,1381.0,740.0,1060.0,3,Connecticut,460.33,0.15,0.15,0.21,0.41
1,administrator,1259.0,728.0,709.0,6,Connecticut,209.83,0.13,0.15,0.14,0.83
14,"esquire, gentleman",1083.0,643.0,891.0,2,Connecticut,541.5,0.11,0.13,0.18,0.28
4,blacksmith,894.0,595.0,642.0,3,Connecticut,298.0,0.09,0.12,0.13,0.41
33,post master,767.0,383.0,969.0,2,Connecticut,383.5,0.08,0.08,0.19,0.28
40,sheriff,755.0,477.0,640.0,2,Connecticut,377.5,0.08,0.1,0.13,0.28
25,leather dresser,733.0,366.0,180.0,1,Connecticut,733.0,0.08,0.08,0.04,0.14
45,tanner,719.0,410.0,479.0,1,Connecticut,719.0,0.08,0.08,0.1,0.14
49,"treasurer, farmer",634.0,366.0,283.0,1,Connecticut,634.0,0.07,0.08,0.06,0.14
9,committee member,603.0,302.0,263.0,2,Connecticut,301.5,0.06,0.06,0.05,0.28
41,ship wright,566.0,333.0,406.0,1,Connecticut,566.0,0.06,0.07,0.08,0.14
23,inn keeper,479.0,288.0,351.0,2,Connecticut,239.5,0.05,0.06,0.07,0.28
18,"farmer, administrator",477.0,387.0,556.0,1,Connecticut,477.0,0.05,0.08,0.11,0.14
38,"school master, farmer",414.0,257.0,154.0,1,Connecticut,414.0,0.04,0.05,0.03,0.14
35,proprietors,366.0,183.0,171.0,1,Connecticut,366.0,0.04,0.04,0.03,0.14
22,hatter,341.0,171.0,470.0,1,Connecticut,341.0,0.04,0.04,0.09,0.14
6,"broker, cashier",291.0,197.0,616.0,1,Connecticut,291.0,0.03,0.04,0.12,0.14
46,taylor,290.0,194.0,120.0,1,Connecticut,290.0,0.03,0.04,0.02,0.14
34,printer,282.0,141.0,123.0,1,Connecticut,282.0,0.03,0.03,0.02,0.14
13,"esquire, farmer",279.0,190.0,224.0,1,Connecticut,279.0,0.03,0.04,0.04,0.14
31,molster,249.0,174.0,144.0,1,Connecticut,249.0,0.03,0.04,0.03,0.14
7,carpenter,209.0,154.0,75.0,1,Connecticut,209.0,0.02,0.03,0.01,0.14
10,cooper,200.0,100.0,171.0,1,Connecticut,200.0,0.02,0.02,0.03,0.14
51,wife,127.0,113.0,140.0,1,Connecticut,127.0,0.01,0.02,0.03,0.14
43,soldier,126.0,64.0,39.0,1,Connecticut,126.0,0.01,0.01,0.01,0.14
52,yeoman,118.0,158.0,110.0,3,Connecticut,39.33,0.01,0.03,0.02,0.41
30,miller,117.0,59.0,90.0,1,Connecticut,117.0,0.01,0.01,0.02,0.14
39,"school master, treasurer",110.0,106.0,220.0,1,Connecticut,110.0,0.01,0.02,0.04,0.14
5,broker,107.0,53.0,129.0,1,Connecticut,107.0,0.01,0.01,0.03,0.14
20,goldsmith,88.0,45.0,0.0,1,Connecticut,88.0,0.01,0.01,0.0,0.14
24,joiner,86.0,93.0,62.0,1,Connecticut,86.0,0.01,0.02,0.01,0.14
8,clothier,86.0,93.0,78.0,1,Connecticut,86.0,0.01,0.02,0.02,0.14
2,apothecary,79.0,89.0,0.0,1,Connecticut,79.0,0.01,0.02,0.0,0.14
