,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
11,merchant,40746.0,25,Massachusetts,1629.84,27.65,18.25
2,broker,29301.0,6,Massachusetts,4883.5,19.88,4.38
5,esquire,25962.0,25,Massachusetts,1038.48,17.62,18.25
0,,10207.0,20,Massachusetts,510.35,6.93,14.6
19,yeoman,10084.0,19,Massachusetts,530.74,6.84,13.87
12,"merchant, broker",9370.0,3,Massachusetts,3123.33,6.36,2.19
14,physician,3962.0,2,Massachusetts,1981.0,2.69,1.46
13,"merchant, trader",3573.0,6,Massachusetts,595.5,2.42,4.38
18,widow,3506.0,7,Massachusetts,500.86,2.38,5.11
6,"esquire, gentleman",1993.0,5,Massachusetts,398.6,1.35,3.65
17,spinster,1466.0,2,Massachusetts,733.0,0.99,1.46
7,"esquire, trader",1387.0,2,Massachusetts,693.5,0.94,1.46
1,blacksmith,1242.0,2,Massachusetts,621.0,0.84,1.46
8,farmer,1116.0,1,Massachusetts,1116.0,0.76,0.73
16,ship wright,902.0,3,Massachusetts,300.67,0.61,2.19
9,gentleman,886.0,3,Massachusetts,295.33,0.6,2.19
10,mariner,689.0,2,Massachusetts,344.5,0.47,1.46
3,carpenter,390.0,2,Massachusetts,195.0,0.26,1.46
4,cordwainer,364.0,1,Massachusetts,364.0,0.25,0.73
15,reverend,211.0,1,Massachusetts,211.0,0.14,0.73
