,Occupations,6p_Total,6p_def_Total,3p_Total,count,state,Average (6p),6p_Total_pct,6p_def_Total_pct,3p_Total_pct,count_pct
5,esquire,70370.0,36513.0,38759.0,58,New Hampshire,1213.28,37.03,36.96,26.7,43.28
0,,49096.0,24696.0,67098.0,6,New Hampshire,8182.67,25.83,25.0,46.22,4.48
12,merchant,31542.0,16415.0,22394.0,16,New Hampshire,1971.38,16.6,16.62,15.43,11.94
17,widow,9431.0,4914.0,3411.0,8,New Hampshire,1178.88,4.96,4.97,2.35,5.97
14,physician,8045.0,4372.0,3910.0,5,New Hampshire,1609.0,4.23,4.43,2.69,3.73
18,yeoman,4069.0,2281.0,1680.0,11,New Hampshire,369.91,2.14,2.31,1.16,8.21
8,gentleman,3807.0,2052.0,1504.0,6,New Hampshire,634.5,2.0,2.08,1.04,4.48
16,trader,3131.0,1665.0,2076.0,7,New Hampshire,447.29,1.65,1.69,1.43,5.22
3,clerk,2973.0,1635.0,1283.0,5,New Hampshire,594.6,1.56,1.65,0.88,3.73
1,baker,2163.0,1131.0,606.0,1,New Hampshire,2163.0,1.14,1.14,0.42,0.75
11,mariner,1246.0,734.0,718.0,2,New Hampshire,623.0,0.66,0.74,0.49,1.49
10,joiner,1030.0,565.0,407.0,1,New Hampshire,1030.0,0.54,0.57,0.28,0.75
9,goldsmith,903.0,501.0,252.0,1,New Hampshire,903.0,0.48,0.51,0.17,0.75
4,cordwainer,788.0,443.0,382.0,2,New Hampshire,394.0,0.41,0.45,0.26,1.49
7,farmer,782.0,391.0,288.0,1,New Hampshire,782.0,0.41,0.4,0.2,0.75
6,"esquire, treasurer",323.0,261.0,191.0,1,New Hampshire,323.0,0.17,0.26,0.13,0.75
2,blacksmith,142.0,71.0,95.0,1,New Hampshire,142.0,0.07,0.07,0.07,0.75
13,painter,109.0,55.0,81.0,1,New Hampshire,109.0,0.06,0.06,0.06,0.75
15,spinster,102.0,101.0,31.0,1,New Hampshire,102.0,0.05,0.1,0.02,0.75
