,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
40,treasurer,340491.0,11,Rhode Island,30953.73,41.5,1.81
29,merchant,161147.0,102,Rhode Island,1579.87,19.64,16.78
15,esquire,113119.0,127,Rhode Island,890.7,13.79,20.89
0,,82597.0,127,Rhode Island,650.37,10.07,20.89
43,yeoman,27305.0,76,Rhode Island,359.28,3.33,12.5
42,widow,12335.0,22,Rhode Island,560.68,1.5,3.62
27,mariner,10236.0,26,Rhode Island,393.69,1.25,4.28
18,executor,10123.0,4,Rhode Island,2530.75,1.23,0.66
1,administrator,7285.0,13,Rhode Island,560.38,0.89,2.14
33,physician,5732.0,10,Rhode Island,573.2,0.7,1.64
20,gentleman,5483.0,10,Rhode Island,548.3,0.67,1.64
34,reverend,3163.0,1,Rhode Island,3163.0,0.39,0.16
44,"yeoman, esquire",3127.0,4,Rhode Island,781.75,0.38,0.66
30,"merchant, esquire",3050.0,3,Rhode Island,1016.67,0.37,0.49
25,inn keeper,2877.0,8,Rhode Island,359.62,0.35,1.32
10,cooper,2811.0,3,Rhode Island,937.0,0.34,0.49
32,"merchant, widow",2701.0,2,Rhode Island,1350.5,0.33,0.33
19,farmer,2359.0,2,Rhode Island,1179.5,0.29,0.33
38,taylor,2197.0,4,Rhode Island,549.25,0.27,0.66
16,"esquire, treasurer",2079.0,3,Rhode Island,693.0,0.25,0.49
28,mason,2000.0,3,Rhode Island,666.67,0.24,0.49
31,"merchant, treasurer",1635.0,3,Rhode Island,545.0,0.2,0.49
14,"doctor, reverend",1598.0,4,Rhode Island,399.5,0.19,0.66
21,glazier,1525.0,1,Rhode Island,1525.0,0.19,0.16
37,spinster,1378.0,3,Rhode Island,459.33,0.17,0.49
23,hatter,1339.0,2,Rhode Island,669.5,0.16,0.33
39,trader,1329.0,6,Rhode Island,221.5,0.16,0.99
4,blacksmith,1304.0,3,Rhode Island,434.67,0.16,0.49
13,distiller,1132.0,3,Rhode Island,377.33,0.14,0.49
2,auctioneer,1101.0,3,Rhode Island,367.0,0.13,0.49
41,trustee,1054.0,2,Rhode Island,527.0,0.13,0.33
11,cordwainer,747.0,1,Rhode Island,747.0,0.09,0.16
6,broker,578.0,2,Rhode Island,289.0,0.07,0.33
7,butcher,506.0,1,Rhode Island,506.0,0.06,0.16
24,housewright,499.0,1,Rhode Island,499.0,0.06,0.16
35,ship wright,488.0,2,Rhode Island,244.0,0.06,0.33
26,labourer,372.0,2,Rhode Island,186.0,0.05,0.33
3,baker,364.0,1,Rhode Island,364.0,0.04,0.16
36,shoemaker,303.0,1,Rhode Island,303.0,0.04,0.16
22,goldsmith,300.0,1,Rhode Island,300.0,0.04,0.16
8,carpenter,270.0,1,Rhode Island,270.0,0.03,0.16
9,chaise maker,205.0,1,Rhode Island,205.0,0.02,0.16
17,"esquire, trustee",95.0,1,Rhode Island,95.0,0.01,0.16
12,deacon,76.0,1,Rhode Island,76.0,0.01,0.16
5,blockmaker,71.0,1,Rhode Island,71.0,0.01,0.16
