,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,1288428.59,74,South Carolina,17411.2,81.91,18.45
26,merchant,144529.4,155,South Carolina,932.45,9.19,38.65
29,planter,24226.0,30,South Carolina,807.53,1.54,7.48
40,widow,15751.38,15,South Carolina,1050.09,1.0,3.74
18,executor,12507.53,22,South Carolina,568.52,0.8,5.49
28,physician,10770.0,9,South Carolina,1196.67,0.68,2.24
9,blockmaker,8128.0,2,South Carolina,4064.0,0.52,0.5
16,consul,7137.0,4,South Carolina,1784.25,0.45,1.0
11,broker,5528.56,12,South Carolina,460.71,0.35,2.99
4,attorney,5113.23,8,South Carolina,639.15,0.33,2.0
14,"clerk, administrator",4932.0,3,South Carolina,1644.0,0.31,0.75
20,factor,4663.0,3,South Carolina,1554.33,0.3,0.75
19,"executor, physician",4557.0,2,South Carolina,2278.5,0.29,0.5
1,administrator,4551.0,4,South Carolina,1137.75,0.29,1.0
38,trustee,3711.0,1,South Carolina,3711.0,0.24,0.25
24,judges,3462.0,1,South Carolina,3462.0,0.22,0.25
32,sheriff,3397.0,2,South Carolina,1698.5,0.22,0.5
21,gentleman,3247.94,3,South Carolina,1082.65,0.21,0.75
27,"merchant, executor",3077.0,6,South Carolina,512.83,0.2,1.5
8,blacksmith,2256.0,1,South Carolina,2256.0,0.14,0.25
6,"attorney, planter",1373.0,2,South Carolina,686.5,0.09,0.5
13,carpenter,1322.0,5,South Carolina,264.4,0.08,1.25
17,esquire,1238.62,1,South Carolina,1238.62,0.08,0.25
3,"assignee, physician",1161.0,2,South Carolina,580.5,0.07,0.5
25,mariner,1047.71,4,South Carolina,261.93,0.07,1.0
30,"planter, executor",872.0,4,South Carolina,218.0,0.06,1.0
35,spinster,784.0,2,South Carolina,392.0,0.05,0.5
37,"treasurer, executor",782.0,4,South Carolina,195.5,0.05,1.0
34,shopkeeper,780.0,4,South Carolina,195.0,0.05,1.0
36,tanner,689.0,1,South Carolina,689.0,0.04,0.25
2,"administrator, planter",596.0,2,South Carolina,298.0,0.04,0.5
39,vendue master,535.2,2,South Carolina,267.6,0.03,0.5
33,ship wright,360.0,1,South Carolina,360.0,0.02,0.25
31,printer,306.0,2,South Carolina,153.0,0.02,0.5
5,"attorney, executor",300.0,2,South Carolina,150.0,0.02,0.5
15,comtroller,240.0,1,South Carolina,240.0,0.02,0.25
12,cabinet maker,180.0,1,South Carolina,180.0,0.01,0.25
10,bricklayer,158.0,1,South Carolina,158.0,0.01,0.25
7,auctioneer,112.0,1,South Carolina,112.0,0.01,0.25
22,guardian,98.0,1,South Carolina,98.0,0.01,0.25
23,hair dresser,75.0,1,South Carolina,75.0,0.0,0.25
