,occupation,6p_total,# of people,% of total people,average debt per person
0,treasurer,222647.66,13,2.9017857142857144,17126.743076923078
1,merchant,99961.91999999998,98,21.875,1020.0195918367345
2,esq,68401.5,130,29.017857142857146,526.1653846153846
3,farmer,14625.230000000005,80,17.857142857142858,182.81537500000007
4,widow,6182.060000000001,23,5.133928571428571,268.7852173913044
5,mariner,4857.32,25,5.580357142857143,194.2928
6,doctor,3121.6899999999996,8,1.7857142857142856,390.21124999999995
7,gentleman,2396.7,10,2.232142857142857,239.67
8,reverend,2054.38,2,0.4464285714285714,1027.19
9,cooper,1596.15,3,0.6696428571428571,532.0500000000001
10,inn keeper,1430.29,8,1.7857142857142856,178.78625
11,taylor,1297.73,4,0.8928571428571428,324.4325
12,mason,1152.5,3,0.6696428571428571,384.1666666666667
13,glazier,982.35,1,0.2232142857142857,982.35
14,hatter,828.6600000000001,2,0.4464285714285714,414.33000000000004
15,spinster,721.33,3,0.6696428571428571,240.44333333333336
16,blacksmith,540.6800000000001,3,0.6696428571428571,180.2266666666667
17,shoemaker,532.36,2,0.4464285714285714,266.18
18,trader,480.13000000000005,6,1.3392857142857142,80.02166666666668
19,distiller,466.25000000000006,3,0.6696428571428571,155.41666666666669
20,auctioneers,460.77,3,0.6696428571428571,153.59
21,housewright,266.67,1,0.2232142857142857,266.67
22,butcher,235.7,1,0.2232142857142857,235.7
23,baker,206.37,1,0.2232142857142857,206.37
24,broker,171.5,2,0.4464285714285714,85.75
25,extors,124.5,2,0.4464285714285714,62.25
26,shipwright,89.72,2,0.4464285714285714,44.86
27,labourer,67.16,2,0.4464285714285714,33.58
28,proprietors,58.64,1,0.2232142857142857,58.64
29,chaise maker,47.57,1,0.2232142857142857,47.57
30,deacon,16.35,1,0.2232142857142857,16.35
31,blockmaker,4.43,1,0.2232142857142857,4.43
32,carpenter,0.0,1,0.2232142857142857,0.0
33,goldsmith,0.0,1,0.2232142857142857,0.0
34,administratrix,0.0,1,0.2232142857142857,0.0
