,Original Name,Search Names,6p_Total,6p_def_Total,3p_Total,Name Count,Family Size 1,Family Size 2,Location 1,Location 2,Match Reason 1,Match Reason 2,Match Status 1,Match Status 2,Slavecount 1,Slavecount 2,url 1,url 2
0,{'John Delafield'},['John Delafield'],183028.0,82021.0,106683.0,1,13,,"New York City East Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
1,{'Daniel Badcock'},['Daniel Badcock'],76243.0,38175.0,97702.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Badcock&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
2,{'Richard Platt'},['Richard Platt'],71624.0,31776.0,67443.0,1,9,,"New York City Out Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Platt&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
3,{'George Lewis'},['George Lewis'],67721.0,29663.0,86066.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
4,{'Nicholas Low'},['Nicholas Low'],65522.0,43166.0,41553.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Low&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
5,{'Isaac Whippo'},['Isaac Whippo'],54722.0,1499.0,58005.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Whippo&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
6,{'James F Sebor and Co'},['James F Sebor'],40549.0,20484.0,91984.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James F_Sebor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
7,{'George Service'},['George Service'],37822.0,19015.0,27897.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Service&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
8,{'Daniel C Verplanck'},['Daniel C Verplanck'],36235.0,9659.0,8628.0,1,10,,"New York City North Ward, New York, New York",,Full Match,,Match,,3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel C_Verplanck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
9,"{'John Delafield', 'William W Morris'}",['John Delafield' 'William W Morris'],33075.0,15419.0,1662.0,2,13,,"New York City East Ward, New York, New York",,Full Match,Too Many Potential Matches Found,Match,No Match,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William W_Morris&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
10,{'Daniel Ludlow'},['Daniel Ludlow'],27452.0,13780.0,19638.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Ludlow&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
11,{'Jacob Reed'},['Jacob Reed'],26272.0,13287.0,11313.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
12,{'Philip Schuyler'},['Philip Schuyler'],23210.0,11655.0,8086.0,1,,, Albany,,Only Location Found,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Schuyler&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
13,{'Nicholas Cruger'},['Nicholas Cruger'],21471.0,10785.0,6361.0,1,16,,"New York City South Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Cruger&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
14,{'Daniel Crommelin and Sons'},['Daniel Crommelin'],20309.0,10204.0,90989.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
15,{'Berry and Rogers'},['Berry and Rogers'],19607.0,9954.0,20421.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Berry and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
16,{'George Scriba'},['George Scriba'],17525.0,5009.0,49217.0,1,8,,"New York City East Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Scriba&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
17,{'Jonathan Dayton'},['Jonathan Dayton'],17142.0,8570.0,19849.0,1,,,,,No Match Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Dayton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
18,{'William Henderson'},['William Henderson'],15602.0,17282.0,5409.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Henderson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
19,{'Charles Shaw'},['Charles Shaw'],15574.0,7837.0,39572.0,1,5,,"New York City North Ward, New York, New York",,Full Match,,Match,,2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Shaw&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
20,{'Francis Lewis'},['Francis Lewis'],14666.0,7383.0,8763.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
21,{'Daniel Penfield'},['Daniel Penfield'],14505.0,7354.0,49435.0,1,10,,"New York City East Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Penfield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
22,{'John Dewhurst'},['John Dewhurst'],13718.0,1219.0,16785.0,1,4,,"New York City East Ward, New York, New York",,Full Match,,Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dewhurst&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
23,{'Joseph Hardy'},['Joseph Hardy'],12917.0,6226.0,5816.0,1,6,,"New York City Montgomery Ward, New York, New York",,Full Match,,Match,,1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Hardy&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
24,{'Edward Chinn'},['Edward Chinn'],9876.0,4938.0,6148.0,1,6,,"Claverack, Columbia, New York",,Full Match,,Match,,4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Chinn&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
25,{'John Burnett'},['John Burnett'],9351.0,4668.0,7694.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Burnett&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,
26,{'John and Francis Atkinson'},['John Atkinson' 'Francis Atkinson'],9169.0,4637.0,25777.0,2,13,,"New York City East Ward, New York, New York",,Full Match,No Match Found,Match,No Match,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
27,{'Joseph Lewis'},['Joseph Lewis'],9012.0,4555.0,10756.0,1,,,,,Too Many Potential Matches Found,,No Match,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
28,{'Thomas Buchanan'},['Thomas Buchanan'],8754.0,4427.0,5081.0,1,17,,"New York City East Ward, New York, New York",,Full Match,,Match,,6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Buchanan&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,
