,state,ASD Total,CD Total
0,BM,2981.12,1132.4
1,BVI,1634.55,1868.3
2,CT,279868.23,1346300.72
3,FC,210.83,
4,FR,2742.16,6820.77
5,GA,1114.75,7728.41
6,GB,51259.26,401.77
7,KY,131.85,
8,MA,18523.71,135257.04
9,MD,125857.88,1354941.07
10,NC,14861.41,54095.46
11,NH,544.07,272954.78
12,NJ,1607.8,43128.01
13,NY,353945.33,25985.37
14,NY loan office,1408932.24,1926464.36
15,PA,129119.33,2250977.99
16,RI,61959.37,687710.78
17,SC,386593.18,1483792.7
18,VA,10110.65,27251.91
19,VT,135.71,5908.47
20,unspecified,349020.42,1625691.06
21,DE,,12781.59
22,US,,92.25
23,VI,,3679.89
