State key,Loan Office Certificates Specie Value,State Liquidated Debt Dollars,Pierce Certificates Value
PA,3778570.2737344,1819607.6666666665,1147498.52
MA,2387481.079964,457823.48888888885,2217598.9
CT,1275499.479443,135432.22222222222,1137988.73
NY,922005.65814,3649822.5083333333,774934.83
NJ,651204.3591379999,1768007.2444444445,513348.62
MD,404704.964373,,550014.8
NH,300171.069443,13826.444444444445,380285.9
VA,235249.598413,,653914.72
DE,66387.118406,136305.94444444444,130868.22
RI,,183000.4638888889,81210.76
NC,,,329382.65
CS,,,150384.71
GA,,,93226.85
F,,,76532.18
