,state,Loan Office Certificates Specie Value,State Liquidated Debt Dollars,Pierce Certificates Value,pre1790 total,ASD Total,CD Total,post1790 total,pop,pre1790 pct,post1790 pct,total asset dif,total asset dif (adj),total asset pct dif,Loan Office pct,State Liquidated pct,Pierce pct,CD pct,ASD pct,pre1790 total (pop adj),post1790 total (pop adj),pre1790 pct (pop adj),post1790 pct (pop adj),total asset dif (pop adj),total asset pct dif (pop adj)
0,PA,3778570.27,2257929.43,1147498.52,7183998.22,129119.33,2843338.75,2972458.08,319450.0,26.75,20.53,-4211540.14,-1668566.72,-6.21,0.38,0.26,0.14,0.25,0.04,22.49,9.3,16.13,9.76,-13.18,-6.37
1,MA,2387481.08,457823.49,2217598.9,5062903.47,18523.71,135257.04,153780.75,263805.0,18.85,1.06,-4909122.72,-4777561.45,-17.79,0.24,0.05,0.27,0.01,0.01,19.19,0.58,13.76,0.61,-18.61,-13.15
2,CT,1275499.48,135432.22,1137988.73,2548920.43,282429.55,1346300.72,1628730.27,200816.0,9.49,11.25,-920190.16,473208.05,1.76,0.13,0.02,0.14,0.12,0.09,12.69,8.11,9.1,8.51,-4.58,-0.6
3,NY,922005.66,3649822.51,774934.83,5346763.0,1762877.57,1952449.73,3715327.3,189487.0,19.91,25.67,-1631435.7,1547071.21,5.76,0.09,0.42,0.09,0.17,0.55,28.22,19.61,20.23,20.56,-8.61,0.33
4,NJ,651204.36,1768007.24,513348.62,2932560.22,1607.8,43128.01,44735.81,129167.0,10.92,0.31,-2887824.41,-2849552.39,-10.61,0.06,0.21,0.06,0.0,0.0,22.7,0.35,16.28,0.36,-22.36,-15.92
5,MD,404704.96,0.0,550014.8,954719.76,141713.62,1436570.68,1578284.3,164959.0,3.55,10.9,623564.54,1973805.62,7.35,0.04,0.0,0.07,0.13,0.04,5.79,9.57,4.15,10.03,3.78,5.88
6,NH,300171.07,13826.44,380285.9,694283.41,544.07,272954.78,273498.85,87261.0,2.58,1.89,-420784.56,-186803.02,-0.7,0.03,0.0,0.05,0.02,0.0,7.96,3.13,5.71,3.29,-4.82,-2.42
7,VA,235249.6,0.0,653914.72,889164.32,275087.6,886516.08,1161603.68,317422.0,3.31,8.02,272439.36,1266205.19,4.71,0.02,0.0,0.08,0.08,0.09,2.8,3.66,2.01,3.84,0.86,1.83
8,DE,66387.12,136305.94,130868.22,333561.28,0.0,12781.59,12781.59,42389.0,1.24,0.09,-320779.69,-309844.89,-1.15,0.01,0.02,0.02,0.0,0.0,7.87,0.3,5.64,0.32,-7.57,-5.33
9,RI,0.0,183000.46,81210.76,264211.22,62807.17,766286.96,829094.13,50275.0,0.98,5.73,564882.91,1274182.85,4.74,0.0,0.02,0.01,0.07,0.02,5.26,16.49,3.77,17.3,11.24,13.53
10,NC,0.0,0.0,329382.65,329382.65,16102.75,54902.4,71005.15,179133.0,1.23,0.49,-258377.5,-197631.75,-0.74,0.0,0.0,0.04,0.0,0.01,1.84,0.4,1.32,0.42,-1.44,-0.9
11,CS,0.0,0.0,150384.71,150384.71,0.0,0.0,0.0,,0.56,0.0,-150384.71,-150384.71,-0.56,0.0,0.0,0.02,0.0,0.0,,,,,,
12,GA,0.0,0.0,93226.85,93226.85,1114.75,8040.45,9155.2,35240.0,0.35,0.06,-84071.65,-76239.27,-0.28,0.0,0.0,0.01,0.0,0.0,2.65,0.26,1.9,0.27,-2.39,-1.62
13,F,0.0,0.0,76532.18,76532.18,0.0,0.0,0.0,,0.28,0.0,-76532.18,-76532.18,-0.28,0.0,0.0,0.01,0.0,0.0,,,,,,
14,BM,0.0,0.0,0.0,0.0,2981.12,1132.4,4113.52,,0.0,0.03,4113.52,7632.69,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,
15,BVI,0.0,0.0,0.0,0.0,1634.55,1868.3,3502.85,,0.0,0.02,3502.85,,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,
16,FC,0.0,0.0,0.0,0.0,210.83,0.0,210.83,,0.0,0.0,210.83,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
17,FR,0.0,0.0,0.0,0.0,2742.16,6820.77,9562.93,,0.0,0.07,9562.93,,0.07,0.0,0.0,0.0,0.0,0.0,,,,,,
18,GB,0.0,0.0,0.0,0.0,51259.26,401.77,51661.03,,0.0,0.36,51661.03,,0.36,0.0,0.0,0.0,0.0,0.02,,,,,,
19,KY,0.0,0.0,0.0,0.0,131.85,0.0,131.85,37800.0,0.0,0.0,131.85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SC,0.0,0.0,0.0,0.0,450130.45,1496534.05,1946664.5,83000.0,0.0,13.45,1946664.5,,13.45,0.0,0.0,0.0,0.13,0.14,0.0,23.45,0.0,24.6,23.45,24.6
21,US,0.0,0.0,0.0,0.0,0.0,92.25,92.25,,0.0,0.0,92.25,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
22,VI,0.0,0.0,0.0,0.0,0.0,3679.89,3679.89,,0.0,0.03,3679.89,,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,
23,VT,0.0,0.0,0.0,0.0,135.71,5908.47,6044.18,47570.0,0.0,0.04,6044.18,,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13
24,ME,,,,,,,,48675.0,,,,,,,,,,,,,,,,
25,TN,,,,,,,,8500.0,,,,,,,,,,,,,,,,
