,Search Names,Search Name,# debtholders,Original Names,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,notes,url
258,['Gerard Bancker'],Gerard Bancker,1,['Gerard Bancker'],15,0.0,0.0,690351.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gerard_Bancker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
574,['Leonard Bleecker'],Leonard Bleecker,1,['Leonard Bleecker'],43,0.0,0.0,188000.0,"New York City Dock Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Leonard_Bleecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
367,"['James Greenleaf', 'James Watson']",James Watson,2,['Watson and Greenleaf'],17,0.0,0.0,147636.0,,,,No Match,Too Many Potential Matches Found (4),See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Watson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
744,['Samuel Ward'],Samuel Ward,1,['Samuel Ward and Brothers'],27,0.0,0.0,134882.0,,,,No Match,Too Many Potential Matches Found (3),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Ward&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
776,['Theodorius Fowler'],Theodorius Fowler,1,['Theodosius Fowler and Co'],42,5762.0,29354.0,107434.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius_Fowler&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
447,['John Delafield'],John Delafield,1,['John Delafield'],19,183028.0,82021.0,106683.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
144,['Daniel Badcock'],Daniel Badcock,1,['Daniel Badcock'],19,76243.0,38175.0,97702.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Badcock&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
364,['James F Sebor'],James F Sebor,1,['James F Sebor and Co'],23,40549.0,20484.0,91984.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James F_Sebor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
148,['Daniel Crommelin'],Daniel Crommelin,1,['Daniel Crommelin and Sons'],7,20309.0,10204.0,90989.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
245,['George Lewis'],George Lewis,1,['George Lewis'],24,67721.0,29663.0,86066.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
573,"['Leonard Bleecker', 'Samuel Marsh']",Leonard Bleecker,2,"['Leonard Bleecker', 'Samuel March']",16,0.0,0.0,79719.0,"New York City Dock Ward, New York, New York",8.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Leonard_Bleecker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
851,['William I Johnston'],William I Johnston,1,['H and S Johnson and Co'],34,0.0,0.0,79472.0,"New York City West Ward, New York, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S_Johnson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
305,['Isaac Clawson'],Isaac Clawson,1,['Isaac Clason'],12,5143.0,2621.0,71591.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Claason&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
304,['Isaac Bronson'],Isaac Bronson,1,['Isaac Bronson'],8,0.0,0.0,68998.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Bronson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
694,['Richard Platt'],Richard Platt,1,['Richard Platt'],20,71624.0,31776.0,67443.0,"New York City Out Ward, New York, New York",9.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Platt&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
293,"['Herman LeRoy', 'William Bayard']",William Bayard,2,['Le Roy and Bayard'],14,0.0,0.0,67012.0,"New York City East Ward, New York, New York",15.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Bayard&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
478,['John Julius Angerstein'],John Julius Angerstein,1,['John Julius Angerstein'],1,0.0,0.0,61984.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John Julius_Angerstein&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
860,['William Rogers'],William Rogers,1,['William Rogers'],22,6356.0,693.0,60296.0,,,,No Match,Too Many Potential Matches Found (4),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Rogers&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
1,"[""H and S Johnson '""]",H and S Johnson ',1,['H and S Johnson and Co'],32,0.0,0.0,59338.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S Johnson_'&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
0,"[""H and S Johnson '"", 'William I Johnston']",William I Johnston,2,['H and S Johnson and Co'],32,0.0,0.0,59338.0,"New York City West Ward, New York, New York",5.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=H and S_Johnson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
313,['Isaac Whippo'],Isaac Whippo,1,['Isaac Whippo'],22,54722.0,1499.0,58005.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Whippo&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
662,['Peter Godfroyte'],Peter Godfroyte,1,['Peter Godfroyte'],1,0.0,0.0,52386.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Godfroyte&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
784,['Thomas Eddy'],Thomas Eddy,1,['Thomas Eddy'],23,0.0,0.0,49480.0,"New York City Montgomery Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Eddy&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
153,['Daniel Penfield'],Daniel Penfield,1,['Daniel Penfield'],26,14505.0,7354.0,49435.0,"New York City East Ward, New York, New York",10.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Penfield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
250,['George Scriba'],George Scriba,1,['George Scriba'],6,17525.0,5009.0,49217.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Scriba&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
795,['Thomas Law'],Thomas Law,1,['Thomas Law'],6,0.0,0.0,44025.0,"Canaan, Columbia, New York",4.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Law&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
643,['Nicholas Low'],Nicholas Low,1,['Nicholas Low'],27,65522.0,43166.0,42110.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Low&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
251,['George Seible'],George Seible,1,['Jacob Sebor'],33,0.0,0.0,40628.0,"Rensselaerville, Albany, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Sebor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
120,['Charles Shaw'],Charles Shaw,1,['Charles Shaw'],15,15574.0,7837.0,39572.0,"New York City North Ward, New York, New York",5.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Shaw&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
623,['Miller Hart'],Miller Hart,1,"['Miller Hart and Co', 'Miller Hurt and Co']",7,0.0,0.0,38183.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Miller_Hart&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
588,['Mare R Sahuguet'],Mare R Sahuguet,1,['Mare R Sahuguet'],7,0.0,0.0,37210.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mare R_Sahuguet&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
335,['Jacob Le Roy'],Jacob Le Roy,1,['Jacob Le Roy and Son'],4,0.0,0.0,36134.0,,,,No Match,Too Many Potential Matches Found (3),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob Le_Roy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
131,['Comfort Sands'],Comfort Sands,1,['Comfort Sands'],18,0.0,0.0,36064.0,"New York City East Ward, New York, New York",11.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Comfort_Sands&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
141,['Coxe and Meilan'],Coxe and Meilan,1,['Coxe and Meilan'],1,0.0,0.0,35849.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Coxe and_Meilan&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
543,['Jonathan Burrell'],Jonathan Burrell,1,['Jonathan Burrall'],10,0.0,0.0,32483.0,"Balls Town, Albany, New York",6.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Burrall&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
241,['George Eddy'],George Eddy,1,['George Eddy'],1,0.0,0.0,30000.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Eddy&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
