,Page,JPEG number,Number,Letter,Date of the Certificate: Month,Date of the Certificate: Day,Date of the Certificate: Year,First name,Last name,Title,First name 2,Last name 2,Title 2,Time when the debt became due: Month,Time when the debt became due: Day,Time when the debt became due: Year,Dollars,90th,8th,original text,Cleaning notes
0,1.0,111.0,2.0,J,2.0,5.0,1784.0,Mary,Spicer,,,,,9.0,15,1781,52.0,73.0,6.0,,
1,1.0,111.0,3.0,L,2.0,18.0,1784.0,Ebenezer,White,,,,,5.0,1,1779,119.0,30.0,,,
2,1.0,111.0,4.0,R,2.0,28.0,1784.0,George,Olney,,,,,9.0,19,1780,283.0,38.0,,,
3,1.0,111.0,5.0,P,3.0,10.0,1784.0,William,Engs,,,,,3.0,12,1782,216.0,71.0,2.0,,
4,1.0,111.0,6.0,N,5.0,19.0,1784.0,James,Wallace,,,,,10.0,31,1780,52.0,45.0,,,
5,1.0,111.0,7.0,G,5.0,20.0,1784.0,Luaco,Butler,,,,,4.0,16,1782,5.0,,,,
6,1.0,111.0,8.0,I,5.0,21.0,1784.0,Jonathan,Marsh,,,,,4.0,16,1782,5.0,,,,
7,1.0,111.0,9.0,L,5.0,21.0,1784.0,Jonathan,Marsh,,,,,4.0,16,1782,1.0,22.0,4.0,,
8,1.0,111.0,10.0,H,5.0,21.0,1784.0,Jonathan,Marsh,,,,,4.0,16,1782,1.0,22.0,4.0,,
9,1.0,111.0,11.0,N,5.0,21.0,1784.0,Jonathan,Marsh,,,,,4.0,16,1782,5.0,,,,
10,1.0,111.0,12.0,R,5.0,21.0,1784.0,Jonathan,Marsh,,,,,4.0,16,1782,5.0,,,,
11,1.0,111.0,13.0,P,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
12,1.0,111.0,14.0,B,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
13,1.0,111.0,15.0,C,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,5.0,,,,
14,1.0,111.0,16.0,A,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
15,1.0,111.0,17.0,E,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
16,1.0,111.0,18.0,D,5.0,22.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
17,1.0,111.0,19.0,D,5.0,24.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,5.0,,,,
18,1.0,111.0,20.0,C,5.0,24.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
19,2.0,112.0,21.0,A,5.0,24.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,5.0,,,,
20,2.0,112.0,22.0,E,5.0,24.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
21,2.0,112.0,23.0,G,5.0,24.0,1784.0,Enoch,Hazard,,,,,4.0,16,1782,1.0,22.0,4.0,,
22,2.0,112.0,24.0,H,5.0,25.0,1784.0,Benjamin,Ellery,Esq,,,,4.0,16,1782,5.0,,,,
23,2.0,112.0,25.0,I,5.0,25.0,1784.0,Benjamin,Ellery,Esq,,,,4.0,16,1782,1.0,22.0,4.0,,
24,2.0,112.0,26.0,R,5.0,25.0,1784.0,Benjamin,Ellery,Esq,,,,4.0,16,1782,1.0,22.0,4.0,,
25,2.0,112.0,27.0,N,5.0,25.0,1784.0,Benjamin,Ellery,Esq,,,,4.0,16,1782,1.0,22.0,4.0,,
26,2.0,112.0,28.0,P,5.0,25.0,1784.0,Benjamin,Ellery,Esq,,,,4.0,16,1782,1.0,22.0,4.0,,
27,2.0,112.0,29.0,E,5.0,26.0,1784.0,Timothy,Gladding,,,,,4.0,16,1782,1.0,22.0,4.0,,
28,2.0,112.0,30.0,G,5.0,26.0,1784.0,Dorothy,Sabin,,,,,4.0,16,1782,5.0,,,,
29,2.0,112.0,31.0,D,5.0,26.0,1784.0,Dorothy,Sabin,,,,,4.0,16,1782,625.0,,,,
30,2.0,112.0,32.0,C,5.0,27.0,1784.0,Ralph,Merry,,,,,4.0,16,1782,5.0,,,,
31,2.0,112.0,33.0,B,5.0,28.0,1784.0,Thomas,Angell,,,,,4.0,16,1782,1.0,22.0,4.0,,
32,2.0,112.0,34.0,A,5.0,28.0,1784.0,Betsey,Nightingale,,,,,4.0,16,1782,5.0,,,,
33,2.0,112.0,35.0,P,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,1.0,22.0,4.0,,
34,2.0,112.0,36.0,P,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,1.0,22.0,4.0,,
35,2.0,112.0,37.0,N,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,1.0,22.0,4.0,,
36,2.0,112.0,38.0,I,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,7.0,45.0,,,
37,2.0,112.0,39.0,H,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,1.0,22.0,4.0,,
38,2.0,112.0,40.0,L,5.0,28.0,1784.0,Clark,Nightingale,,,,,4.0,16,1782,5.0,,,,
39,2.0,112.0,41.0,E,5.0,28.0,1784.0,Betsey,Nightingale,,,,,4.0,16,1782,1.0,22.0,4.0,,
40,2.0,112.0,42.0,D,5.0,28.0,1784.0,Jack,Nightingale,,Polly,Nightingale,,4.0,16,1782,1.0,22.0,4.0,,
41,2.0,112.0,43.0,G,5.0,28.0,1784.0,Jack ,Nightingale,,Polly,Nightingale,,4.0,16,1782,1.0,22.0,4.0,,
42,2.0,112.0,44.0,B,5.0,28.0,1784.0,Henry,Alexander,,,,,4.0,16,1782,1.0,22.0,4.0,,
43,2.0,112.0,45.0,A,5.0,28.0,1784.0,Henry,Alexander,,,,,4.0,16,1782,5.0,,,,
44,3.0,113.0,46.0,L,6.0,8.0,1784.0,Matthew,Manchester,,,,,1.0,1,1782,1432.0,36.0,2.0,,
45,3.0,113.0,47.0,B,6.0,8.0,1784.0,Richard,Fenner,Jun,,,,1.0,1,1782,397.0,7.0,4.0,,
46,3.0,113.0,48.0,C,6.0,8.0,1784.0,William,Tyler,,,,,1.0,10,1782,315.0,40.0,,,
47,3.0,113.0,49.0,I,6.0,8.0,1784.0,Comfort,Slack,,,,,1.0,1,1782,305.0,31.0,2.0,,
48,3.0,113.0,50.0,L,6.0,8.0,1784.0,Abraham,Willson,,,,,1.0,1,1782,294.0,22.0,4.0,,
49,3.0,113.0,51.0,H,6.0,9.0,1784.0,Thomas,Parker,,,,,1.0,1,1782,228.0,33.0,6.0,,
50,3.0,113.0,52.0,P,6.0,9.0,1784.0,Andrew,Craige,,,,,1.0,1,1782,155.0,36.0,2.0,,
51,3.0,113.0,53.0,N,6.0,9.0,1784.0,William,Love,,,,,1.0,1,1782,143.0,82.0,4.0,,
52,3.0,113.0,54.0,R,6.0,9.0,1784.0,Samuel,Parker,,,,,1.0,1,1782,116.0,68.0,6.0,,
53,3.0,113.0,55.0,B,6.0,9.0,1784.0,Moses ,Blanchard,,,,,1.0,1,1782,75.0,48.0,6.0,,
54,3.0,113.0,56.0,C,6.0,9.0,1784.0,James,Maxwell,,,,,1.0,10,1782,48.0,35.0,,,
55,3.0,113.0,57.0,A,6.0,9.0,1784.0,Matthew,Manchester,,,,,7.0,24,1781,34.0,45.0,,,
56,3.0,113.0,58.0,D,6.0,9.0,1784.0,Matthew,Manchester,,,,,12.0,31,1781,2.0,60.0,,,
57,3.0,113.0,59.0,I,6.0,10.0,1784.0,William,Wall,,,,,12.0,2,1780,100.0,,,,
58,3.0,113.0,60.0,H,6.0,11.0,1784.0,William,Sweet,,,,,8.0,30,1780,173.0,79.0,,,
59,3.0,113.0,61.0,L,6.0,11.0,1784.0,Benjamin,Ellery,Esq,,,,10.0,27,1779,6.0,55.0,,,
60,3.0,113.0,62.0,P,6.0,11.0,1784.0,Benjamin,Ellery,Esq,,,,1.0,10,1780,20.0,68.0,,,
61,3.0,113.0,63.0,N,6.0,11.0,1784.0,Benjamin,Ellery,Esq,,,,5.0,8,1780,3.0,11.0,5.0,,
62,3.0,113.0,64.0,R,6.0,11.0,1784.0,Benjamin,Ellery,Esq,,,,8.0,29,1780,,30.0,6.0,,
63,3.0,113.0,65.0,L,6.0,25.0,1784.0,William,Presbery,,,,,11.0,15,1779,6.0,60.0,,,
64,3.0,113.0,66.0,I,6.0,25.0,1784.0,William,Presbery,,,,,12.0,3,1779,25.0,75.0,,,
65,3.0,113.0,67.0,H,6.0,25.0,1784.0,John,Waterman,Esq,,,,8.0,25,1780,14.0,81.0,,,
66,3.0,113.0,68.0,P,6.0,25.0,1784.0,Nathaniel,Gallop,,,,,2.0,29,1780,1.0,40.0,7.0,,
67,3.0,113.0,69.0,R,6.0,25.0,1784.0,Joseph,Tillinghast,,,,,1.0,1,1780,16.0,51.0,,,
68,3.0,113.0,70.0,N,6.0,25.0,1784.0,John,Capron,,,,,4.0,16,1782,1.0,22.0,4.0,,
69,3.0,113.0,71.0,C,6.0,25.0,1784.0,John,Capron,,,,,4.0,16,1782,1.0,22.0,4.0,,
70,3.0,113.0,72.0,B,6.0,25.0,1784.0,Philip,Ammidon,,,,,5.0,19,1780,11.0,35.0,,,
71,4.0,114.0,73.0,P,6.0,28.0,1784.0,Jonathan,Marsh,,,,,10.0,19,1781,3.0,77.0,,,
72,4.0,114.0,74.0,N,6.0,28.0,1784.0,Isaac,Tyler,,,,,1.0,1,1780,80.0,,,,
73,4.0,114.0,75.0,R,6.0,28.0,1784.0,Isaac,Tyler,,,,,1.0,31,1780,10.0,15.0,,,
74,4.0,114.0,76.0,A,6.0,28.0,1784.0,Chris,Roobertson,,,,,2.0,29,1780,10.0,67.0,,,
75,4.0,114.0,77.0,G,6.0,28.0,1784.0,Benjamin,Arnold,,,,,2.0,25,1778,37.0,54.0,3.0,,
76,4.0,114.0,78.0,E,6.0,28.0,1784.0,Jacob ,Vroman,,,,,2.0,1,1781,50.0,,,,
77,4.0,114.0,79.0,E,6.0,28.0,1784.0,Jack,Wendel,,,,,2.0,1,1781,50.0,,,,
78,4.0,114.0,80.0,G,6.0,28.0,1784.0,William,Charles,,,,,6.0,20,1782,106.0,,,,
79,4.0,114.0,81.0,D,6.0,28.0,1784.0,Nicholas Van,Alstine,,,,,6.0,10,1782,58.0,,,,
80,4.0,114.0,82.0,E,6.0,28.0,1784.0,Barent J:,Ten Eyck,,,,,6.0,1,1782,58.0,,,,
81,4.0,114.0,83.0,A,6.0,29.0,1784.0,Lambert,Cook,,,,,10.0,1,1782,12.0,45.0,,,
82,4.0,114.0,84.0,C,6.0,29.0,1784.0,John W.,Fryer,,,,,11.0,1,1782,51.0,78.0,6.0,,
83,4.0,114.0,85.0,G,6.0,29.0,1784.0,John,Gimsolas,,,,,12.0,10,1782,53.0,22.0,4.0,,
84,4.0,114.0,86.0,D,6.0,29.0,1784.0,John,Bingham,,,,,12.0,10,1782,169.0,60.0,,,
85,4.0,114.0,87.0,H,6.0,29.0,1784.0,William,Winne,,,,,1.0,1,1783,39.0,78.0,6.0,,
86,4.0,114.0,88.0,B,6.0,29.0,1784.0,William,Brown,,,,,1.0,1,1783,175.0,22.0,4.0,,
87,4.0,114.0,89.0,A,6.0,29.0,1784.0,Harmanus,Ten Eyck,,,,,1.0,1,1783,75.0,,,,
88,4.0,114.0,90.0,C,6.0,29.0,1784.0,Duncan M.,Carthy,,,,,1.0,1,1783,24.0,33.0,6.0,,
89,4.0,114.0,91.0,G,6.0,29.0,1784.0,William,Richardson,,,,,1.0,10,1783,49.0,56.0,2.0,,
90,4.0,114.0,92.0,H,7.0,6.0,1784.0,Jonathan,Tillinghast,,,,,4.0,16,1782,5.0,,,,
91,4.0,114.0,93.0,D,7.0,6.0,1784.0,Andrew,Angel,,,,,12.0,17,1779,1.0,59.0,5.0,,
92,4.0,114.0,94.0,E,7.0,6.0,1784.0,Andrew,Angel,,,,,8.0,24,1780,32.0,7.0,5.0,,
93,4.0,114.0,95.0,I,7.0,6.0,1784.0,Andrew,Angel,,,,,6.0,24,1780,,75.0,,,
94,4.0,114.0,96.0,L,7.0,6.0,1784.0,Seth,Simmonds,,,,,2.0,29,1780,6.0,88.0,4.0,,
95,4.0,114.0,97.0,P,7.0,6.0,1784.0,Thomas,Allen,,,,,2.0,27,1780,2.0,27.0,1.0,,
96,4.0,114.0,98.0,R,7.0,6.0,1784.0,William,Vernon,,,,,6.0,21,1780,25.0,7.0,5.0,,
97,4.0,114.0,99.0,N,7.0,6.0,1784.0,John,Young,,,,,10.0,30,1780,6.0,45.0,,,
98,4.0,114.0,100.0,B,7.0,6.0,1784.0,Jedidiah,Richardson,,,,,1.0,10,1782,921.0,25.0,,,
99,5.0,115.0,101.0,A,7.0,7.0,1784.0,Jonathan,Rogers,,,,,11.0,11,1780,43.0,6.0,1.0,,
100,5.0,115.0,102.0,C,7.0,7.0,1784.0,Nathaniel,Cary,,,,,4.0,22,1780,20.0,,,,
101,5.0,115.0,103.0,G,7.0,7.0,1784.0,Reuben,Bates,,,,,1.0,10,1782,73.0,60.0,,,
102,5.0,115.0,104.0,E,7.0,7.0,1784.0,Charles,Cahoone,,,,,1.0,10,1782,7.0,45.0,,,
103,5.0,115.0,105.0,D,7.0,7.0,1784.0,Nehemiah,Smith,,,,,2.0,29,1780,8.0,67.0,5.0,,
104,5.0,115.0,106.0,G,7.0,7.0,1784.0,Jesse,Smith,,,,,10.0,7,1779,2.0,45.0,,,
105,5.0,115.0,107.0,E,7.0,7.0,1784.0,John,Demount,,,,,10.0,31,1780,322.0,48.0,6.0,,
106,5.0,115.0,108.0,P,7.0,12.0,1784.0,Lemuel,Field,,,,,4.0,2,1779,10.0,,,,
107,5.0,115.0,109.0,D,7.0,12.0,1784.0,William,Arwen,,,,,2.0,25,1780,12.0,25.0,7.0,,
108,5.0,115.0,110.0,C,7.0,12.0,1784.0,Pardon,Tillinghast,,,,,2.0,24,1780,4.0,24.0,7.0,,
109,5.0,115.0,111.0,B,7.0,12.0,1784.0,John,Humphrey,,,,,8.0,14,1780,24.0,22.0,2.0,,
110,5.0,115.0,112.0,H,7.0,12.0,1784.0,John,Humphrey,,,,,3.0,15,1780,23.0,54.0,4.0,,
111,5.0,115.0,113.0,I,7.0,12.0,1784.0,John,Gibson,,,,,11.0,26,1780,12.0,77.0,1.0,,
112,5.0,115.0,114.0,L,7.0,12.0,1784.0,John,Gibson,,,,,5.0,19,1780,46.0,24.0,3.0,,
113,5.0,115.0,115.0,R,7.0,12.0,1784.0,Richard,Swan,,,,,5.0,19,1780,23.0,12.0,2.0,,
114,5.0,115.0,116.0,L,7.0,26.0,1784.0,John,Gibson,,,,,8.0,3,1780,17.0,84.0,5.0,,
115,5.0,115.0,117.0,I,7.0,26.0,1784.0,John,Gibson,,,,,9.0,13,1780,44.0,39.0,2.0,,
116,5.0,115.0,118.0,H,7.0,26.0,1784.0,William,Billings,,,,,4.0,16,1782,1.0,22.0,4.0,,
117,5.0,115.0,119.0,P,7.0,26.0,1784.0,Philip,Martin,,,,,8.0,5,1780,5.0,6.0,4.0,,
118,5.0,115.0,120.0,C,7.0,26.0,1784.0,Philip,Martin,,,,,11.0,13,1780,1.0,67.0,6.0,,
119,5.0,115.0,121.0,R,7.0,26.0,1784.0,Samuel,Chace,Esq,,,,8.0,5,1780,25.0,,,,
120,5.0,115.0,122.0,P,7.0,27.0,1784.0,Thomas,Russell,,,,,2.0,26,1782,10.0,,,,
121,5.0,115.0,123.0,N,7.0,27.0,1784.0,Thomas,Russell,,,,,2.0,26,1782,48.0,27.0,,,
122,5.0,115.0,124.0,R,7.0,27.0,1784.0,Samuel,Chace,Esq,,,,11.0,5,1780,13.0,62.0,7.0,,
123,5.0,115.0,125.0,A,7.0,27.0,1784.0,Henry,Bowen,,,,,11.0,10,1779,19.0,,,,
124,6.0,116.0,126.0,B,7.0,28.0,1784.0,Samuel,Young,,,,,7.0,12,1780,,79.0,7.0,,
125,6.0,116.0,127.0,B,8.0,17.0,1784.0,Samuel,Young,,,,,9.0,12,1780,7.0,37.0,4.0,,
126,6.0,116.0,128.0,A,8.0,17.0,1784.0,Samuel,Young,,,,,4.0,4,1780,1.0,50.0,5.0,,
127,6.0,116.0,129.0,E,8.0,17.0,1784.0,Benjamin,Cushing,,,,,6.0,30,1780,1.0,29.0,,,
128,6.0,116.0,130.0,D,8.0,17.0,1784.0,Dorothy,Devons,,,,,4.0,16,1782,1.0,22.0,4.0,,
129,6.0,116.0,131.0,G,8.0,17.0,1784.0,Daniel,Doggett,,,,,4.0,16,1782,5.0,,,,
130,6.0,116.0,132.0,I,8.0,17.0,1784.0,William,White,,,,,4.0,16,1782,1.0,22.0,4.0,,
