Record,Title,First Name 1 ,Last Name 1 ,First Name 2 ,Last Name 2 ,Notes
Col Pierce,Colonel,Samuel,Pierce,,,https://www.historicnewengland.org/explore/collections-access/capobject/?refd=MS023.06
Halsey,Colonel,Jeremiah,Halsey,,,https://www.geni.com/people/Col-Jeremiah-Halsey/6000000029303574121 
Dr Wetherspoon,,John,Witherspoon,,,
Lee & Jones,,,Lee,,Jones,
Clark & Nightingale,,John,Clark,Joseph,Nightingale,https://www.brown.edu/academics/public-humanities/about/history/black-labor-nightingale-brown-house
Pitts & Call,,,Pitts,,Call,
Bryant & Dennie,,,Bryant,,Dennie,
Hubbart & Greene,,Daniel,Hubbard,Mary,Greene,https://www.artic.edu/artworks/59787/mrs-daniel-hubbard-mary-greene
Hunt & Sherburne,,Thomas,Hunt,Henry,Sherburne,https://archive.org/stream/dedhamhistoricalv1dedh/dedhamhistoricalv1dedh_djvu.txt
Vose & Crocher,,,Vose ,,Crocher,
Homans & Blake,,Benjamin,Homans,,Blake,
Otis & Andrews,,Samuel Allyne,Otis,Benjamin,Andrews,David Henley became partner after Andrews died
Blake & Homans,,,Blake,Benjamin,Homans,https://en.wikipedia.org/wiki/Benjamin_Homans
Kemble & Thomas,,,Kemble,,Thomas,Thomas Gage's wife Margaret Gage's maiden name was Kemble
Parker & Eustis,,,Parker,William,Eustis,https://en.wikipedia.org/wiki/William_Eustis
Cushing & White,,,Cushing,,White,
Procter & Lowell,,,Procter ,John,Lowell,https://en.wikipedia.org/wiki/John_Lowell
Estate of General Montgomery,General,Richard,Montgomery,,,estate
Mercer and Skenk,,John Francis,Mercer,,Skenk,
Forman & Hunt,,William Gordon,Forman,,Hunt,
Ogden & Curti,,Matthias,Ogden,Joseph,Curtis,
Hendrick & Clears,,Hendrick,Fisher,,Clears,
Prior & Joy,,,Prior,,Joy,
Benezet & Backman,,Anthony,Benezet,,,
Simons & Henry,,Joseph,Simon,William,Henry,
Rotch and Jarvis,,,Rotch,Leonard,Jarvis,
Levy and Levy,,Aaron,Levy,Andrew,Levy,https://www.jstor.org/stable/pdf/43057420.pdf
Milner and Haynes,,,Milner,,Haynes,
Chalone and White,,,Chalone,,White,
Charles & White,,,Charles,,White,
Milner and Sherr,,,Milner,,Sherr,
Craig & Cummins,,,Craig,,Cummins,
Furman and Hunt,,,Furman,,Hunt,
Furman & Yard,,,Furman,,Yard,
Sam and Havard,,,Sam,,Havard,
Tramen and Hunt,,,Tramen,,Hunt,
Peter and Dumont,,,Peter,,Dumont,peter dumont?
Michael and Hohn,,,Michael,,Hohn,
Hezekiah and Hooghtalm,,,Hezekiah,,Hooghtalm,
Taylor & Alexander,,,Taylor,,Alexander,
Jayber And Mesander,,,Jayber,,Mesander,
Keph and Doryea,,,Keph,,Doryea,
Wood & Cuyler,,,Wood,,Cuyler,
Messer And Spark,,,Messer,,Spark,
Mercer & Schenk,,John Francis,Mercer,,Schenk,
Geo Mese & Co Caldwell,,,Geo Mese,,Caldwell,
Levi & Levi,,,Levi,,Levi,
VanUhsam & Clarks,,,VanUhsam,,Clarks,
Michael & Cart,,,Michael,,Cart,
Ruten of Chais,,,Ruten,,,
Samuel and Rea,,,Samuel,,Rea,
Dubois & Hutman,,Lewis,Dubois,,Hutman,
Paris Brothers and co.,,,Paris,,,Paris Brothers and co.
Peter & Henry,,,Peter,,Henry,
Meredith & Clymer,,,,George,Clymer,George Clymer's in laws were Meredith
Meredith and Plymir,,,,George,Clymer,
Meredith and Clymer,,his inlaws,george clymer,George,Clymer,
Rutter and Potts,,,,Thomas,Potts,
Ferrason and Pocy,,,Ferrason,,Pocy,
Terrason and Pory,,,Terrason,,Pory,same as Ferrason and Pocy?
North & Trescott,,,North,,Trescott,
Foulke and Hameren,,,Foulke,,Hameren,
McCulloch and Peterson,,,McCulloch,,Peterson,
Read and Gilpin,,,Read,,Gilpin,
Glan and McClay,,,Glan,,McClay,
Rogers and Cooke,,,Rogers,,Cooke,
Wallace and Davidson,,,Wallace,,Davidson,
Eastman and Neth,,,Eastman,,Neth,
Allison and Ramsey,,,Allison,,Ramsey,
Wilkins and Gassaway,,,Wilkins,,Gassaway,
Hooe and Harrisons,,,Hooe,,Harrisons,
Russell and Gilmore,,,Russell,,Gilmore,
Richard and Jennings,,,Richard,,Jennings,
Kirsley and Monrow,,,Kirsley,,Monrow,
Hec and Harrisons,,,Hec,,Harrisons,
McLure and Sterrett,,,McLure,,Sterrett,
Russell and Gilmour,,,Russell,,Gilmour,
Davis & Morris,,,Davis,,Morris,
Phripp & Bondoin,,,Phripp,,Bondoin,
Newton & Kelly,,,Newton,,Kelly,
Ker & Lyon,,,Ker,,Lyon,
Keel & Roberts,,,Keel,,Roberts,
Roulhac & Compy,,,Roulhac,,Compy,
Milner & Haynes,,,Milner,,Haynes,
Mitchell & Graham,,,Mitchell,,Graham,
Smith & Gatewood,,,Smith,,Gatewood,
Doerner & Mark,,,Doerner,,Mark,
Mitchell & Oldham,,,Mitchell,,Oldham,
