,Identifier,Identifier,Identifier,Identifier,Identifier,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
1079,Robert Morris,Robert,Morris,Constitution,yes,67275.16728999997,309.0
816,Clark John I,Clark,John I,RI,yes,57268.12261000001,126.0
1200,William Phillips,William,Phillips,MA,yes,44598.93883000001,170.0
1571,Jeremiah Wadsworth,Jeremiah,Wadsworth,CT,yes,35498.52977999993,369.0
1394,William Smith,William,Smith,SC,yes,29479.097219999985,381.0
1439,John Stevens,John,Stevens,NJ,yes,27727.495403000008,344.0
885,John Langdon,John,Langdon,Constitution,yes,26977.611679999984,112.0
813,Brown John,Brown,John,RI,yes,26084.570880000003,58.0
188,John Brown,John,Brown,NC,no,26084.570880000003,58.0
1072,William Moore,William,Moore,DE,yes,24908.04859999999,90.0
