,Identifier,Identifier,Identifier,Identifier,Identifier,Pierce Certificates Value,Pierce Certificates Value
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
1410,John Smith,John,Smith,NY,yes,29545.899999999987,241.0
1404,John K. Smith,John K.,Smith,MA,yes,25384.61999999999,207.0
1333,William Scott,William,Scott,SC,yes,15801.36,50.0
1090,William Moultrie,William,Moultrie,SC,yes,14423.6,6.0
1394,William Smith,William,Smith,SC,yes,14004.650000000005,102.0
691,William Heath,William,Heath,MA,yes,13436.74,10.0
1606,Anthony Wayne,Anthony,Wayne,PA,yes,11902.63,8.0
379,John Davis,John,Davis,MA,yes,11639.91,69.0
815,Davis John,Davis,John,RI,yes,11639.91,69.0
1153,Samuel H. Parsons,Samuel H.,Parsons,CT,yes,10840.639999999998,14.0
