,Identifier,Identifier,Identifier,Identifier,Identifier,State Certificates Dollars,State Certificates Dollars
,delegate name,First Name,Last Name,delegate_state,sign,sum,count
464,William Elliot,William,Elliot,SC,yes,57320.0,5.0
392,David Deshler,David,Deshler,PA,yes,15581.0,11.0
932,Robert R. Livingston,Robert R.,Livingston,NY,yes,10721.0,6.0
213,William Butler,William,Butler,SC,no,10622.0,1.0
554,Elbridge Gerry,Elbridge,Gerry,Constitution,no,10100.0,1.0
1517,James Thompson,James,Thompson,NC,no,8486.0,18.0
1083,James Morris,James,Morris,PA,yes,8163.0,4.0
187,William Brown,William,Brown,PA,no,7957.0,132.0
546,Thomas Gaskins,Thomas,Gaskins,VA,yes,7200.0,1.0
486,John Jacob Faesch ,John Jacob,Faesch ,NJ,yes,6488.0,11.0
