,Search Names,Location,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Family Size,Slavecount,Match Status,Match Reason,url,origin
0,"['Thos Willing', 'John Swanwick', 'Robert Morris']", Philadelphia,John Swanwick,"[[['Thomas Willing'], ['William Morris and Swanwick', 'Willing Morris and Swanwick'], ['Thomas M Willing', 'Thomas McWilling'], ['Thomas M Willing', 'Thomas McWilling'], ['William Morris and Swanwick', 'Morris and Swanwick Willing'], ['William Morris and Swanwick', 'Morris and Swanwick Willing', 'Willing Morris and Swanwick'], ['Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling'], ['Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling'], ['Willing Morries and Swanwick', 'Willing Morris and Swanwick']], [['William Morris and Swanwick', 'Willing Morris and Swanwick'], ['John Swanwick'], ['William Morris and Swanwick', 'Morris and Swanwick Willing'], ['William Morris and Swanwick', 'Morris and Swanwick Willing', 'Willing Morris and Swanwick'], ['Willing Morries and Swanwick', 'Willing Morris and Swanwick']], [['William Morris and Swanwick', 'Willing Morris and Swanwick'], ['Robert Morris'], ['William Morris and Swanwick', 'Morris and Swanwick Willing'], ['William Morris and Swanwick', 'Morris and Swanwick Willing', 'Willing Morris and Swanwick'], ['Willing Morries and Swanwick', 'Willing Morris and Swanwick']]]","['Merchants', 'Merchant', 'Esquire']",3,18,112580.0,56886.0,44532.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Swanwick&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
1,"['Ann  Willing', 'Wm Bingham', 'William Willink']",Pennsylvania,William Willink,"[[['Jan Willink'], ['Jan Ananias Willink'], ['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']], [['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']], [['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']]]","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Willink&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
2,"['Ann  Willing', 'Wm Bingham', 'William Willink']","Water Street East Side, Philadelphia, Pennsylvania",Wm Bingham,"[[['Jan Willink'], ['Jan Ananias Willink'], ['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']], [['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']], [['Wilhem and Jan Willink and William Bingham', 'William and Jan Willink and William Bingham']]]","['G. Woman', 'Esquire']",3,1,76493.0,38247.0,20902.0,15,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Bingham&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
3,"['William W Morris', 'John Delafield']",,William W Morris,"['William W Morris', 'John Delafield']",,2,1,33075.0,15419.0,1662.0,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William W_Morris&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
4,"['Uriah Forrest', 'Benjn Stoddert']","Montgomery, Maryland",Benjn Stoddert,"[[['Uriah Forrest'], ['Uriah Forrest', 'Uriah Hornett', 'Uriah Horrest']], [['Uriah Forrest and Benjamin Stoddert']]]",['Merchants'],2,2,29980.0,15039.0,51716.0,9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin_Stoddert&name_x=1_1&residence=_cecil-maryland-usa_537&residence_x=1-0_1-1,Aggregated CD debt files
5,"['Charles Wallace', 'John Muir']","Annapolis, Anne Arundel, Maryland",John Muir,"[[['Charles Wallace'], ['Wallace and Muir'], ['Wallace and Muir', 'Wallace Muir'], ['Wallace and Muir', 'Wallce and Muir']], [['John Muir'], ['Wallace and Muir'], ['Wallace and Muir', 'Wallace Muir'], ['Wallace and Muir', 'Wallce and Muir']]]",[],2,18,28789.0,11311.0,18930.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Muir&name_x=ps_ps&residence=_annapolis-anne+arundel-maryland-usa_6128&residence_x=1-0_1-1,Aggregated CD debt files
6,"['Andrew Clow', 'James Brown', 'Hugh Patton']",Pennsylvania,James Brown,"[[['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']], [['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']], [['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']]]",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,,,No Match,Too Many Potential Matches Found (26),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Brown&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
7,"['Andrew Clow', 'James Brown', 'Hugh Patton']","Washington, Pennsylvania",Hugh Patton,"[[['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']], [['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']], [['Andrew Clow and Co', 'Andrew Clow and Co Agents to James Brown', 'Andrew Clow and Co agents to James Brown Executor to the Est of Hugh Patton']]]",['Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'],3,1,14661.0,7330.0,4610.0,9,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hugh_Patton&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
8,"['Jennet Grier', 'James Riddle', 'Henry Miller']","York, York, Pennsylvania",Jennet Grier,"[[['Jennet Grier James Riddle and Co', 'Jennet Grier James Riddle and Henry Miller']], [['Jennet Grier James Riddle and Co', 'Jennet Grier James Riddle and Henry Miller']], [['Jennet Grier James Riddle and Co', 'Jennet Grier James Riddle and Henry Miller']]]",['Executers of David Grierlate Y Town'],3,2,11388.0,5694.0,7196.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jennet_Grier&name_x=ps_ps&residence=_york-york-pennsylvania-usa_15985&residence_x=1-0_1-1,Aggregated CD debt files
9,"['Thos Willing', 'Thomas Mwilling']","Philadelphia, Philadelphia, Pennsylvania",Thomas Mwilling,"[[['Thomas Willing'], ['William Morris and Swanwick', 'Willing Morris and Swanwick'], ['Thomas M Willing', 'Thomas McWilling'], ['Thomas M Willing', 'Thomas McWilling'], ['William Morris and Swanwick', 'Morris and Swanwick Willing'], ['William Morris and Swanwick', 'Morris and Swanwick Willing', 'Willing Morris and Swanwick'], ['Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling'], ['Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling'], ['Willing Morries and Swanwick', 'Willing Morris and Swanwick']], [['Thomas Mwilling', 'Thomas M Willing', 'Thomas McWilling']]]",['Esquire'],2,1,9415.0,4707.0,2705.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Mwilling&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
