,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,1003534.0,446,Connecticut,2250.08,70.05,46.65
29,merchant,73876.0,62,Connecticut,1191.55,5.16,6.49
15,farmer,72588.0,163,Connecticut,445.33,5.07,17.05
48,treasurer,41564.0,20,Connecticut,2078.2,2.9,2.09
12,esquire,39061.0,22,Connecticut,1775.5,2.73,2.3
31,"merchant, esquire",36870.0,3,Connecticut,12290.0,2.57,0.31
20,gentleman,27153.0,29,Connecticut,936.31,1.9,3.03
30,"merchant, administrator",19228.0,5,Connecticut,3845.6,1.34,0.52
3,attorney,18251.0,20,Connecticut,912.55,1.27,2.09
47,trader,17935.0,40,Connecticut,448.38,1.25,4.18
50,widow,13671.0,29,Connecticut,471.41,0.95,3.03
11,doctor,8198.0,6,Connecticut,1366.33,0.57,0.63
14,executor,8139.0,7,Connecticut,1162.71,0.57,0.73
28,mariner,7289.0,13,Connecticut,560.69,0.51,1.36
38,sadler,5397.0,1,Connecticut,5397.0,0.38,0.1
39,school master,5274.0,7,Connecticut,753.43,0.37,0.73
44,spinster,3590.0,6,Connecticut,598.33,0.25,0.63
25,"inn keeper, treasurer, executor",3032.0,3,Connecticut,1010.67,0.21,0.31
42,shoemaker,2631.0,6,Connecticut,438.5,0.18,0.63
34,physician,2372.0,3,Connecticut,790.67,0.17,0.31
22,guardian,2121.0,4,Connecticut,530.25,0.15,0.42
1,administrator,1987.0,6,Connecticut,331.17,0.14,0.63
13,"esquire, gentleman",1726.0,4,Connecticut,431.5,0.12,0.42
4,blacksmith,1489.0,3,Connecticut,496.33,0.1,0.31
40,sheriff,1232.0,3,Connecticut,410.67,0.09,0.31
35,post master,1150.0,3,Connecticut,383.33,0.08,0.31
45,tanner,1129.0,1,Connecticut,1129.0,0.08,0.1
27,leather dresser,1099.0,1,Connecticut,1099.0,0.08,0.1
19,"farmer, treasurer",1000.0,2,Connecticut,500.0,0.07,0.21
9,committee member,905.0,2,Connecticut,452.5,0.06,0.21
41,ship wright,899.0,1,Connecticut,899.0,0.06,0.1
16,"farmer, administrator",864.0,3,Connecticut,288.0,0.06,0.31
24,inn keeper,767.0,3,Connecticut,255.67,0.05,0.31
18,"farmer, school master",671.0,2,Connecticut,335.5,0.05,0.21
37,proprietors,549.0,1,Connecticut,549.0,0.04,0.1
23,hatter,512.0,1,Connecticut,512.0,0.04,0.1
7,"cashier, broker",488.0,5,Connecticut,97.6,0.03,0.52
46,taylor,484.0,1,Connecticut,484.0,0.03,0.1
17,"farmer, esquire",469.0,1,Connecticut,469.0,0.03,0.1
36,printer,423.0,2,Connecticut,211.5,0.03,0.21
33,molster,423.0,1,Connecticut,423.0,0.03,0.1
6,carpenter,363.0,1,Connecticut,363.0,0.03,0.1
10,cooper,300.0,1,Connecticut,300.0,0.02,0.1
52,yeoman,276.0,3,Connecticut,92.0,0.02,0.31
51,wife,240.0,1,Connecticut,240.0,0.02,0.1
49,"treasurer, school master",216.0,2,Connecticut,108.0,0.02,0.21
43,soldier,190.0,1,Connecticut,190.0,0.01,0.1
8,clothier,179.0,1,Connecticut,179.0,0.01,0.1
26,joiner,179.0,1,Connecticut,179.0,0.01,0.1
32,miller,176.0,1,Connecticut,176.0,0.01,0.1
2,apothecary,168.0,1,Connecticut,168.0,0.01,0.1
5,broker,160.0,1,Connecticut,160.0,0.01,0.1
21,goldsmith,133.0,1,Connecticut,133.0,0.01,0.1
