,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
0,,1329883.0,547,Maryland,2431.23,89.44,87.1
6,merchant,124406.0,47,Maryland,2646.94,8.37,7.48
3,esquire,14965.0,11,Maryland,1360.45,1.01,1.75
4,executor,10420.0,10,Maryland,1042.0,0.7,1.59
9,the estate of the late,2219.0,1,Maryland,2219.0,0.15,0.16
7,shoemaker,2014.0,2,Maryland,1007.0,0.14,0.32
1,administrator,1900.0,6,Maryland,316.67,0.13,0.96
2,doctor,466.0,1,Maryland,466.0,0.03,0.16
5,frederick,409.0,1,Maryland,409.0,0.03,0.16
8,shopkeeper,149.0,1,Maryland,149.0,0.01,0.16
10,trustee,0.0,1,Maryland,0.0,0.0,0.16
