,Occupations,6p_Total,count,cert_count,state,cert_count_avg,Average (6p),6p_Total_pct,count_pct
0,,3167699.52,1563,3068,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,,2026.68,103.01,168.43
1,accountant,3055.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,3055.0,0.1,0.11
2,administrator,33151.0,14,27,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,2367.93,1.08,1.51
3,assignee,3177.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,2.0,1588.5,0.1,0.22
4,attorney,2140.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,2140.0,0.07,0.11
5,"attorney, esquire",2095.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,1047.5,0.07,0.22
6,auctioneer,1101.0,1,3,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,3.0,1101.0,0.04,0.11
7,baker,10746.0,4,4,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.21,2686.5,0.35,0.43
8,blacksmith,4371.0,9,10,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,5.0,485.67,0.14,0.97
9,blockmaker,71.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,71.0,0.0,0.11
10,boardinghouse keeper,876.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,2.0,438.0,0.03,0.22
11,book binder,2456.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,1228.0,0.08,0.22
12,broker,118076.0,22,59,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,14.75,5367.09,3.84,2.37
13,butcher,3353.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.15,1676.5,0.11,0.22
14,cabinet maker,2457.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,2457.0,0.08,0.11
15,candlekeeper,5061.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,5061.0,0.16,0.11
16,carpenter,10300.0,5,8,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,4.0,2060.0,0.33,0.54
17,chaise maker,205.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,205.0,0.01,0.11
18,city commissioner,8095.0,2,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.08,4047.5,0.26,0.22
19,clerk,14210.0,10,19,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,9.5,1421.0,0.46,1.08
20,cloak maker,2793.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,2793.0,0.09,0.11
21,coach maker,860.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,860.0,0.03,0.11
22,conveyancer,222.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.09,222.0,0.01,0.11
23,cooper,2811.0,3,3,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,3.0,937.0,0.09,0.32
24,cordwainer,2342.0,4,4,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,4.0,585.5,0.08,0.43
25,"cordwainer, shoemaker",508.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,508.0,0.02,0.11
26,currier,6983.0,1,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.2,6983.0,0.23,0.11
27,deacon,76.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,76.0,0.0,0.11
28,distiller,1132.0,3,3,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,3.0,377.33,0.04,0.32
29,doctor,1557.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,1557.0,0.05,0.11
30,"doctor, reverend",1598.0,1,4,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,4.0,1598.0,0.05,0.11
31,doorkeeper,429.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,429.0,0.01,0.11
32,druggist,5275.0,1,1,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.0,5275.0,0.17,0.11
33,esquire,362524.0,187,251,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,251.0,1938.63,11.79,20.15
34,"esquire, gentleman",1993.0,2,5,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,5.0,996.5,0.06,0.22
35,"esquire, trader",1387.0,1,2,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,0.5,1387.0,0.05,0.11
36,"esquire, treasurer",2663.0,2,5,Rhode Island New York Pennsylvania New Hampshire New Jersey Delaware Massachusetts Vermont,1.25,1331.5,0.09,0.22
