,occupation,6p_total,# of people,% of total people,average debt per person
0,merchant,63765.000000000015,63,13.043478260869565,1012.1428571428573
1,farmer,36780.36,170,35.196687370600415,216.35505882352942
2,gentleman,16624.32,32,6.625258799171843,519.51
3,treasurer,15387.150000000001,14,2.898550724637681,1099.082142857143
4,esq,13020.089999999998,13,2.691511387163561,1001.5453846153845
5,attorney,11114.600000000002,20,4.140786749482402,555.7300000000001
6,trader,9454.13,46,9.523809523809524,205.52456521739128
7,widow,6488.11,28,5.797101449275362,231.71821428571428
8,executor,4558.25,7,1.4492753623188406,651.1785714285714
9,adminastrator,4081.0600000000004,10,2.070393374741201,408.10600000000005
10,mariner,3831.0499999999997,13,2.691511387163561,294.69615384615383
11,sadler,3524.74,1,0.2070393374741201,3524.74
12,school master,2213.75,2,0.4140786749482402,1106.875
13,doctor,1950.5500000000002,4,0.8281573498964804,487.63750000000005
14,spinster,1731.58,6,1.2422360248447204,288.59666666666664
15,shoemaker,1345.46,6,1.2422360248447204,224.24333333333334
16,guardian,1245.62,3,0.6211180124223602,415.20666666666665
17,school committee,1071.6499999999999,7,1.4492753623188406,153.09285714285713
18,committee,863.41,3,0.6211180124223602,287.80333333333334
19,blacksmith,724.7099999999999,3,0.6211180124223602,241.56999999999996
20,tanner,713.06,1,0.2070393374741201,713.06
21,post rider,676.91,3,0.6211180124223602,225.63666666666666
22,leather dresser,666.67,1,0.2070393374741201,666.67
23,shipwright,533.33,1,0.2070393374741201,533.33
24,sherriffs,512.45,3,0.6211180124223602,170.8166666666667
25,proprietors,276.9,1,0.2070393374741201,276.9
26,hatter,242.99,1,0.2070393374741201,242.99
27,carpenter,228.67000000000002,2,0.4140786749482402,114.33500000000001
28,molster,211.38,1,0.2070393374741201,211.38
29,taylor,209.81,1,0.2070393374741201,209.81
30,broker,208.55,3,0.6211180124223602,69.51666666666667
31,printer,204.78,2,0.4140786749482402,102.39
32,inn keeper,201.52999999999997,3,0.6211180124223602,67.17666666666666
33,cooper,124.76,1,0.2070393374741201,124.76
34,cashier,85.3,2,0.4140786749482402,42.65
35,soldier,78.48,1,0.2070393374741201,78.48
36,wife,63.64,1,0.2070393374741201,63.64
37,clothier,53.33,1,0.2070393374741201,53.33
38,miller,18.99,1,0.2070393374741201,18.99
39,apothecary,7.72,1,0.2070393374741201,7.72
40,goldsmith,6.82,1,0.2070393374741201,6.82
