,occupation,6p_total,# of people,% of total people,average debt per person
0,esq,61539.89,66,39.75903614457831,932.4225757575757
1,merchant,29715.409999999996,26,15.66265060240964,1142.9003846153844
2,widow,8790.45,10,6.024096385542169,879.0450000000001
3,doctor,7111.43,18,10.843373493975903,395.07944444444445
4,farmer,4175.98,13,7.83132530120482,321.22923076923075
5,gentleman,3603.0600000000004,6,3.614457831325301,600.5100000000001
6,trader,2807.2699999999995,8,4.819277108433735,350.90874999999994
7,baker,2159.04,1,0.6024096385542169,2159.04
8,goldsmith,871.32,1,0.6024096385542169,871.32
9,marniner,785.62,2,1.2048192771084338,392.81
10,shoemaker,742.05,2,1.2048192771084338,371.025
11,clerk,715.5999999999999,7,4.216867469879518,102.22857142857141
12,treasurer,149.62,1,0.6024096385542169,149.62
13,carpenter,106.61,2,1.2048192771084338,53.305
14,spinster,89.13,1,0.6024096385542169,89.13
15,blacksmith,54.88,1,0.6024096385542169,54.88
16,painter,48.61,1,0.6024096385542169,48.61
