,occupation,6p_total,# of people,% of total people,average debt per person
0,merchant,612574.61,237,57.80487804878048,2584.7029957805908
1,broker,74699.95999999999,63,15.365853658536585,1185.7136507936507
2,esq,41442.24,21,5.121951219512195,1973.4399999999998
3,executers,8787.96,7,1.707317073170732,1255.422857142857
4,attorney,8696.68,5,1.2195121951219512,1739.336
5,printer,7717.74,6,1.4634146341463417,1286.29
6,gentleman,7540.66,6,1.4634146341463417,1256.7766666666666
7,post master,7083.53,1,0.24390243902439024,7083.53
8,widow,5576.53,5,1.2195121951219512,1115.306
9,druggist,4922.43,2,0.4878048780487805,2461.215
10,guardian,4539.96,3,0.7317073170731708,1513.32
11,mariner,3906.5714000000003,5,1.2195121951219512,781.31428
12,furrier,3107.18,1,0.24390243902439024,3107.18
13,farmer,2821.87,7,1.707317073170732,403.1242857142857
14,administer,2692.48,3,0.7317073170731708,897.4933333333333
15,hatter,2291.7599999999998,3,0.7317073170731708,763.92
16,taylor,2137.3900000000003,4,0.975609756097561,534.3475000000001
17,trust,2054.64,2,0.4878048780487805,1027.32
18,estate,1979.6,2,0.4878048780487805,989.8
19,silversmith,1917.6499999999999,2,0.4878048780487805,958.8249999999999
20,clerk,1855.5800000000002,4,0.975609756097561,463.89500000000004
21,doctor,1769.01,1,0.24390243902439024,1769.01
22,inn keeper,1668.6799999999998,3,0.7317073170731708,556.2266666666666
23,ship wright,1241.76,1,0.24390243902439024,1241.76
24,tanner,1192.25,2,0.4878048780487805,596.125
25,individual,846.23,1,0.24390243902439024,846.23
26,book binder,783.07,1,0.24390243902439024,783.07
27,treasurer,714.81,1,0.24390243902439024,714.81
28,blacksmith,692.25,1,0.24390243902439024,692.25
29,shopkeeper,588.95,3,0.7317073170731708,196.3166666666667
30,spinster,528.33,1,0.24390243902439024,528.33
31,property,461.11,1,0.24390243902439024,461.11
32,cordwainder,281.25,1,0.24390243902439024,281.25
33,reverend,224.12,1,0.24390243902439024,224.12
34,goldsmith,142.22,1,0.24390243902439024,142.22
35,conveyancer,108.4,1,0.24390243902439024,108.4
36,sheriff,56.21,1,0.24390243902439024,56.21
