,occupation,6p_total,# of people,% of total people,average debt per person
0,merchant,71438.8469,155,53.44827586206896,460.89578645161293
1,planter,13322.036666666667,32,11.03448275862069,416.31364583333334
2,doctor,7971.000000000001,10,3.4482758620689653,797.1000000000001
3,blockmaker,5264.23,2,0.6896551724137931,2632.115
4,widow,4910.7,14,4.827586206896552,350.7642857142857
5,attorney,3690.9400000000005,9,3.103448275862069,410.1044444444445
6,excuetor,3120.0602,12,4.137931034482759,260.0050166666667
7,trader,2961.48,3,1.0344827586206897,987.16
8,trustee,2439.02,1,0.3448275862068966,2439.02
9,broker,2334.89,11,3.793103448275862,212.26272727272726
10,judges,2257.18,1,0.3448275862068966,2257.18
11,sheriff,2133.326666666667,2,0.6896551724137931,1066.6633333333334
12,administrator,1704.77,2,0.6896551724137931,852.385
13,clerk,1425.82,2,0.6896551724137931,712.91
14,blacksmith,1423.48,1,0.3448275862068966,1423.48
15,gentleman,474.42999999999995,2,0.6896551724137931,237.21499999999997
16,carpenter,449.02000000000004,5,1.7241379310344827,89.804
17,tanner,377.49,1,0.3448275862068966,377.49
18,spinster,364.59,1,0.3448275862068966,364.59
19,mariner,364.00469999999996,4,1.3793103448275863,91.00117499999999
20,assignee,345.02,1,0.3448275862068966,345.02
21,treasurer,262.14,2,0.6896551724137931,131.07
22,shopkeeper,190.66,4,1.3793103448275863,47.665
23,shipwright,153.54,1,0.3448275862068966,153.54
24,printer,132.72,2,0.6896551724137931,66.36
25,auctioneer,123.19000000000001,2,0.6896551724137931,61.595000000000006
26,cabinet maker,74.46,1,0.3448275862068966,74.46
27,comtroller,53.74,1,0.3448275862068966,53.74
28,esq,50.123166,2,0.6896551724137931,25.061583
29,bricklayer,37.35,1,0.3448275862068966,37.35
30,guardian,17.15,1,0.3448275862068966,17.15
31,south carolina,0.0,1,0.3448275862068966,0.0
32,hair dresser,0.0,1,0.3448275862068966,0.0
