,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url
0,0,['John Delafield'],['John Delafield'],1,Match,Full Match,"New York City East Ward, New York, New York",13,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Delafield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
1,1,['Watson and Greenleaf'],['James Greenleaf'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Greenleaf&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
2,1,['Watson and Greenleaf'],['James Watson'],1,No Match,Too Many Potential Matches Found 4,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Watson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
3,9,['Daniel Crommelin and Sons'],['Daniel Crommelin'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
4,10,['William Henderson'],['William Henderson'],1,No Match,Too Many Potential Matches Found 3,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Henderson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
5,11,['John O Conner'],['John O Conner'],1,No Match,Too Many Potential Matches Found 9,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John O_Conner&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
6,12,['Randall Son and Stenvarts'],['Thomas Randall'],1,Match,Only Location Found, New York,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Randall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
7,13,['Robert R Randall'],['Robert R'],1,Match,Full Match,"New York City Out Ward, New York, New York",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert R_Randall&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
8,14,['William Constable'],['William Constable'],1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Constable&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
9,15,['Thomas Jones'],['Thomas Jones'],1,No Match,Too Many Potential Matches Found 7,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Jones&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
