0,The Navy Board Eastern Department
1,Rev XXX on Behalf of Thomas Sander Esq deceased
2,B Merlino De S Pry
3,William Fleet Agent Long Wharf
4,Overseers of the Poor Town of Boston
5,William Dunscomb by William Somersall
6,Trustees Hopkins Legacy
7,Preston North Society
8,First Society in Stafford
9,First Society in Saybrook
10,First Society Plainfield
11,First Society in Lebanon
12,School Committee of Derbey
13,New London North Parish
14,The North Society New Fairfield
15,Fairfield Society's School
16,Plainfield First Society
17,Litchfield First Society's Committee
18,Greenwich west society
19,First Society in Branford
20,Heirs of Joseph Conklin
21,Great Mill Society in Derby
22,Estate of General Montgomery
23,Trustees of Kingston
24,Administrator of Jacob Vancys
25,Garrett John Blauvelt
26,Cornelius John Blauvelt
27,Middew John Phillips
28,Trustus of Queens Colledge
29,James Caldwell The Alove is part of Moore Furnanis Warr for 700000 dol dim full
30,Isaac Wood for A prize see
31,Thomas Platt for A prize in the Lottery 3rd Class
32,Mary Hewes t for A prize in the Lottery 3rd Class
33,Mary Crolwer A prize in Lottery 3rd Class
34,Nah Beeks A Prize in Lottery
35,George Ely for A Prize in Lottery 3rd Class
36,Ex of the estate of R Gerraty
37,Est to the estate of...
38,Justus New Jersey College
39,Estate of George Cunningham for Anna his Daughter
40,Nath Donnell for the estate og Gorge Cuntingham for Anna Dav
41,Thomas Lawrence for the est of Thomas Lawrence Dec
42,Trustees of the college of N Gersey
43,Ecr of Jn Gaston
44,John Morton Ex of Sam Morton
45,William Allison for John Blackley
46,William Allison for Matthew Allen
47,Mark Glenn for estate of J Gleen
48,Estate of Rob Catten dead
49,Anna Margarritta Marbourgh
50,missing page
51,Nathan Donnel For Thestah Off Fummingham For His Daughter
52,John Walles for Cath McWater
53,Estate of Martha Pearnis
54,William Rigdense ex to Josiah Moore
55,George Young Gerardia for Anna Painter
56,Geo Seller Ex The Estate of Leon Anshach
57,William Munns for Mac Croken
58,William Meeum Adm. To House Lambson
59,John Baron Dekalb
60,James Wilson administrator To Samuel Allen
61,Caspar Peter Guardian to A. Peter
62,The Estate of Ebenezer Kennedy
63,Geo Miller for Estate of Dewald Ent
64,Philip Sidler Eva Bilman Ex of Jacob Bilman
65,Ja Gamiel Dowdel Ex to the Estate of the craig
66,James Ganeal Davidal Ex of thomas Craig
67,Thomas Haslip Guardian to Richard Jarvill
68,Simeon Dreisback Adm for the Estate of Philip Fox detd
69,The Estate of John Eijhster
70,George Kline Erc to the Estate of John Isaac Kline dtd
71,Peter Breenner Ex to the Estate of Jn Trappagan
72,Jun Abraham Lent for new Hachinach Church
73,Michele Shubert For the German Society
74,Michael Shubert Es to Est of Dertrik Pecse dtd
75,Michel Shubart Exchange of Dutrich Reese
76,Sebastian Miller Ad to Fred Fearing dec
77,Ruten of Chais
78,Munth de Morgen Steirne
79,Mess Guilleaume
80,The Trustees of Academy at Newark
81,Justus of the academy of New York
82,Michael Shutart for the German Society
83,Ernest Klinger Ex to Jn Klinger
84,Ernest Klinger Esq of John Klinger
85,Will Rigden jr Middletown Esq of Joshua Moore
86,Ex of Jacob Detwiter
87,Mich Shubart for Doc Russ
88,Michael Shabach for the Estate of Detrick Ruser
89,William Haztelon for the son of John Wilhinson
90,M Shubart for The German Society
91,Newark Academy
92,Edward Bancroft at Paris
93,Foster Bascomb Bermuda
94,Darrell Laringston Bermuda
95,Joseph Beall of Ninian
96,Thomas Rutland of Edward
97,John Beall of Ninian
98,Daniel Scott of Aquila
99,Est Newman B Barnes
100,Jno Price Posey
101,Janus Keel
102,Jno H Cocke Ex Of William Ruffin dec'd
103,John Ashton Jr
104,Joel Ancoram
105,John Seward Jr
106,Nathaniel Saunders
107,Exrs Philip L Lee
108,Philip L Lee Est
109,Richmond Allen
110,Moss Armistead
111,Hay Taliaferro
112,Garrett Vanmeter
113,Abram Inskeep
114,Est of Presley Thorton
115,William Armistead Jr
116,Francis Lightfoot Lee
117,Leroy Peachy
118,John How
119,Feudal Sutherland
120,Robt B Chew
121,Theod Bland
122,Est of Margaret Taylor
123,Fielding Lewis
124,Samuel Temple
125,Trustees of Arch McPherson
126,Wills Cowper
127,Wells Cowper
128,James Holt's Est
129,Est of William Lightfoot
130,Preeson Bondoin
131,Edwrd Doughty
132,Nathaniel L Savage
133,John Carter Jr
134,Thurmer Hoggard
135,William Nimmo(s)
136,Cary Wilkinson
137,Sir John Peyton
138,Est Lockley Collier
139,Nicholas Flood's Adm
140,Erasmus Jones
141,Howell Lewis
142,Dinah Tatum
143,William Parke's Exs
144,Thomas Lord Fairfax
145,Price Davis
146,Benjamin Ruffin Jr
147,William Hickman Jr
148,Ests of Randolph Price
149,Abram Beachum
150,Dr Mathew Pope
151,Pembroke Godin
152,Barthom Taylor
153,Jno P Custis
154,Fras Anderson
155,Est Putnam Clements
156,Robt Drentis
157,Whitehead Lester
158,Ex Philip L Lee
159,Est Honble Philip L Lee
160,Michl Stump
161,Captn C Mossby
162,Fras Hobday
163,Peter B Whiting
