,first name,last name,state,sign?,full name 1,full name 2
0,William Samuel,Johnson,Connecticut, yes,William Samuel Johnson,
1,Roger,Sherman,Connecticut, yes,Roger Sherman,
2,Oliver,Ellsworth,Connecticut,no,Oliver Ellsworth,
3,George,Read,Delaware, yes,George Read,
4,Gunning,Bedford Jr.,Delaware, yes,Gunning Bedford Jr.,
5,John,Dickinson,Delaware, yes,John Dickinson,
6,Richard,Bassett,Delaware, yes,Richard Bassett,
7,Jacob,Broom,Delaware, yes,Jacob Broom,
8,William,Few,Georgia, yes,William Few,
9,Abraham,Baldwin,Georgia, yes,Abraham Baldwin,
10,William,Houstoun,Georgia, no,William Houstoun,
11,William L.,Pierce,Georgia, no,William L. Pierce,
12,James,McHenry,Maryland, yes,James McHenry,
13,Daniel of St. Thomas,Jenifer,Maryland, yes,Daniel of St. Thomas Jenifer,
14,Daniel,Carroll,Maryland, yes,Daniel Carroll,
15,Luther,Martin,Maryland, no,Luther Martin,
16,John F.,Mercer,Maryland, no,John F. Mercer,
17,Nathaniel,Gorham,Massachusetts, yes,Nathaniel Gorham,
18,Rufus,King,Massachusetts, yes,Rufus King,
19,Elbridge,Gerry,Massachusetts, no,Elbridge Gerry,
20,Caleb,Strong,Massachusetts, no,Caleb Strong,
21,John,Langdon,New Hampshire, yes,John Langdon,
22,Nicholas,Gilman,New Hampshire, yes,Nicholas Gilman,
23,William,Livingston,New Jersey, yes,William Livingston,
24,David,Brearly,New Jersey, yes,David Brearly,
25,William,Paterson,New Jersey, yes,William Paterson,
26,Jonathan,Dayton,New Jersey, yes,Jonathan Dayton,
27,William C.,Houston,New Jersey, no,William C. Houston,
28,Alexander,Hamilton,New York, yes,Alexander Hamilton,
29,John,Lansing Jr.,New York, no,John Lansing Jr.,
30,Robert,Yates,New York, no,Robert Yates,
31,William,Blount,North Carolina, yes,William Blount,
32,Richard Dobbs,Spaight,North Carolina, yes,Richard Dobbs Spaight,
33,Hugh,Williamson,North Carolina, yes,Hugh Williamson,
34,William R.,Davie,North Carolina, no,William R. Davie,
35,Alexander,Martin,North Carolina, no,Alexander Martin,
36,Benjamin,Franklin,Pennsylvania, yes,Benjamin Franklin,
37,Thomas,Mifflin,Pennsylvania, yes,Thomas Mifflin,
38,Robert,Morris,Pennsylvania, yes,Robert Morris,
39,George,Clymer,Pennsylvania, yes,George Clymer,
40,Thomas,Fitzsimons,Pennsylvania, yes,Thomas Fitzsimons,
41,Jared,Ingersoll,Pennsylvania, yes,Jared Ingersoll,
42,James,Wilson,Pennsylvania, yes,James Wilson,
43,Gouverneur,Morris,Pennsylvania, yes,Gouverneur Morris,
44,John,Rutledge,South Carolina, yes,John Rutledge,
45,Charles,Cotesworth Pinckney,South Carolina, yes,Charles Cotesworth Pinckney,
46,Charles,Pinckney,South Carolina, yes,Charles Pinckney,
47,Pierce,Butler,South Carolina, yes,Pierce Butler,
48,John,Blair,Virginia, yes,John Blair,
49,James,Madison Jr.,Virginia, yes,James Madison Jr.,
50,George,Washington,Virginia, yes,George Washington,
51,George,Mason,Virginia, no,George Mason,
52,James,McClurg,Virginia, no,James McClurg,
53,Edmund J.,Randolph,Virginia, no,Edmund J. Randolph,
54,George,Wythe,Virginia, no,George Wythe,
