,Delegates,Loan Matches,Scores
0,William Samuel Johnson,William Johnson,95.0
2,William Samuel Johnson,Samuel Johnson,90.0
100,Roger Sherman,Roger Sherman,100.0
101,Oliver Ellsworth,Oliver Ellsworth,100.0
103,George Read,George Read,100.0
154,Gunning Bedford Jr.,Gunning Bedford,95.0
155,John Dickinson,John Dickinson,100.0
257,Jacob Broom,Jacob Broom,100.0
414,William L. Pierce,William Pierce,95.0
556,Luther Martin,Luther Martin,100.0
561,John F. Mercer,John Mercer,95.0
677,Elbridge Gerry,Elbridge Gerry,100.0
678,Caleb Strong,Caleb Strong,100.0
680,John Langdon,John Langdon,100.0
777,Nicholas Gilman,Nicholas Gilman,100.0
778,Nicholas Gilman,Nichols Gilman,97.0
782,William Livingston,William Livingston,100.0
882,David Brearly,David Brearley,96.0
886,William Paterson,William Palterson,97.0
887,William Paterson,William Patterson,97.0
954,William C. Houston,William C. Huston,97.0
1185,William Blount,William Blunt,96.0
1350,Benjamin Franklin,Benjamin Franklin,100.0
1355,Thomas Mifflin,Thomas Mifflin,100.0
1361,Robert Morris,Robert Morris,100.0
1372,George Clymer,George Clymer,100.0
1463,James Wilson,James Wilson,100.0
1464,James Wilson,James Willson,96.0
1812,George Washington,George Washington,100.0
1814,George Washington,George Washington Esqr,95.0
1815,George Washington,George Washington Trustees,90.0
1902,James McClurg,James McClurg,100.0
2056,Oliver Elsworth,Oliver Ellsworth,97.0
2058,David Brearley,David Brearley,100.0
2068,William Patterson,William Patterson,100.0
272,Richard Bassett,Richard Bassett,100.0
387,Abraham Baldwin,Abraham Baldwine,97.0
589,Luther Martin,Martin Luther,95.0
907,William Paterson,William Paterson,100.0
983,Jonathan Dayton,Jonathan Dayton,100.0
1017,William C. Houston,William Huston,88.0
1128,John Lansing Jr.,John Lansing,95.0
1436,William R. Davie,William Davies,87.0
1450,Alexander Martin,Alexander Martin,100.0
1819,Charles Pinckney,Charles C Pinckney,95.0
1832,John Blair,John Blair,100.0
1833,John Blair,John Blaire,95.0
2123,George Mason,George Mason,100.0
2252,William Patterson,William Paterson,97.0
226,Jeremiah Wadsworth,Jeremiah Wadsworth,100.0
237,Elisha Pitkin,Elisha Pitkin,100.0
239,John Watson,John Watson,100.0
273,Samuel Canfield,Samuel Canfield,100.0
275,Daniel Everitt,Daniel Everitt,100.0
279,Joseph Mosely,Joseph Mosely,100.0
280,Wait Goodrich,Wait Goodrich,100.0
281,John Curtiss,John Curtis,96.0
287,John Chester,John Chester,100.0
297,Daniel Holbrook,Daniel Holbrook,100.0
300,Gideon Buckingham,Gideon Buckingham,100.0
309,Samuel Huntington,Samuel Huntington,100.0
313,Jedediah Huntington,Jeddediah Huntington,97.0
333,Charles Phelps,Charles Phelps,100.0
350,"John Davenport, Jun.",John Davenport,95.0
439,Simeon Smith,Simeon Smith,100.0
443,Asa Witter,Asa Witter,100.0
451,William Williams,Elias Williams,80.0
459,Charles Burrall,Charles Burrall,100.0
463,Nathan Hale,Nathan Hale,100.0
466,Daniel Miles,Daniel Miles,100.0
470,John  Whittlesey,John Whittlesey,97.0
499,Asher Miller,Asher Miller,100.0
500,Samuel H. Parsons,Samuel H Parsons,97.0
508,Jabez Chapman,Jabez Chapman,100.0
509,Cornelius Higgins,Cornelius Higgins,100.0
512,Hezekiah Lane,Hezekiah Lane,100.0
524,Ephraim Root,Ephraim Root,100.0
527,John Phelps,John Phelps,100.0
529,Isaac Foot,Isaac Foot,100.0
534,Seth Crocker,Seth Crocker,100.0
536,Hezekiah Holcomb,Hezekiah Holcomb,100.0
538,David Todd,David Todd,100.0
554,Daniel Hall,Daniel Hall,100.0
726,William Morris,William Morris,100.0
1100,William White,William White,100.0
1213,John Williams,John Williams,100.0
1270,John  Allen,John Allen,95.0
1433,Peter Vandevoort,Peter Vandervoort,97.0
1552,John Smith,John Smith,100.0
1636,Jonathan Roberts,Jonathan Roberts,100.0
1787,Thomas Jones,Thomas Jones,100.0
2015,Ephraim Williams,Ephraim Williams,100.0
2177,Joshua Whitney,Joshua Whitney,100.0
2219,John K. Smith,John Smith,95.0
2571,Samuel Smith,Samuel Smith,100.0
2806,John Thomas,John Thomas,100.0
2839,William Kennedy,William Mc Kenney,88.0
2902,Samuel Taylor,Samuel Taylor,100.0
2998,Williams John,John Williams,95.0
3079,John Allen,John Allen,100.0
3158,John Thompson,John Thomson,96.0
3218,John Baker,John Baker,100.0
3485,John Skinner,John Skinner,100.0
3556,James Thompson,James Thompson,100.0
296,Elbridge Gerry,Eldbridge Gerry,97.0
407,David Brearly,Honorable David Brearley,86.0
423,Jonathan Dayton,Jonathan I Dayton,95.0
764,David Brearley,Honorable David Brearley,90.0
218,William Few,William Mc Williams,86.0
106,William Houstoun,William Houston,97.0
197,William C. Houston,William Houston,95.0
691,Alexander Hamilton,Alexander Hamilton,100.0
886,James Wilson,Jn and James Willson,86.0
142,William Hall,William Hall,100.0
185,Joseph Barker,Joseph Barker,100.0
236,James Maxwell,James Maxwell,100.0
549,William Williams,William Billings,81.0
608,Ebenezer White,Ebenezer White,100.0
662,Samuel Davenport,Samuel Davenport,100.0
671,Ephraim Carpenter,Ephraim Carpenter,100.0
848,William Richardson,William Richardson,100.0
883,James Martin,James Martin,100.0
1478,Thomas Allen,Thomas Allen,100.0
1485,John Evans,John Evans,100.0
1608,Thomas Lewis,Lewis Thomas,95.0
2207,William Brown,William Brown,100.0
2291,Thomas Russel,Thomas Russell,96.0
2634,John Davis,John Davis,100.0
2644,William Shaw,William Shaw,100.0
2705,James Williams,James Williams,100.0
2819,John Taylor,John Spencer Taylor,86.0
2884,William Jones,William Jones,100.0
2911,Elisha Carpenter,Elisha Carpenter,100.0
3292,Samuel Warren,Samuel Warren,100.0
3685,John Cook,John Wanton Cook,86.0
3754,Stephen Smith,Stephen Smith,100.0
3770,Champlin George,George Champlain,92.0
3772,Clarke Peleg,Peleg Clarke,95.0
3774,Sears George,George Sears,95.0
3775,Sears George,George Hall  Sears,86.0
3777,Bourne Benjamin,Benjamin Bourne,95.0
3780,Barton William,William Barton,95.0
3789,Durfree Job,Job Durfee,90.0
3790,Slocum Giles,Giles Slocum,95.0
3791,Barker Peter,Peter Barker,95.0
3795,Arnold Benjamin,Benjamin Arnold,95.0
3802,Sands Ray,Ray Sands,95.0
3803,Congdon William,Willam Congdon,92.0
3839,Greene Job,Job Greene,95.0
3841,Reynolds Joseph,Joseph Reynolds,95.0
3845,Barker Joshua,Joshua Barker,95.0
3850,Bradford William,William Bradford,95.0
