,,,Value,Value
,,,sum,count
delegate name,delegate_state,sign,,
Aaron Hall,NH,yes,67.2,2
Aaron Wood,MA,no,120.6,2
Abraham Baldwin,Constitution,yes,3746.75,6
Abraham Smith,MA,no,290.2,5
Abraham Stout,PA,yes,2014.4999999999998,5
Albert Baker,NY,no,53.3,1
Alexander King,CT,no,50.0,1
Alexander Martin,Constitution,no,396.89,7
Alexander Watson,NC,no,65.5,1
Alexander White,VA,yes,333.90000000000003,5
Allen Samuel,RI,yes,1319.02,24
Allen Thomas,RI,yes,9.05,1
Andrew Lee,CT,yes,2025.8100000000002,5
Andrew Love,SC,no,92.75,3
Andrew Moore,VA,yes,16.6,1
Anthony Wayne,PA,yes,11902.630000000001,8
Barton William,RI,yes,3137.33,4
Benjamin Adams,MA,no,9.4,1
Benjamin Edwards,MD,yes,288.69,7
Benjamin Hall,MD,yes,121.38,2
Benjamin Harrison,MD,no,147.82999999999998,3
Benjamin Hawkins,NC,yes,161.23,2
Benjamin Hicks,SC,yes,6195.32,13
Benjamin Jones,NC,no,759.9900000000001,14
Benjamin Morse,MA,no,239.21,4
Benjamin Perry,NC,yes,493.01,7
Benjamin Randall,MA,no,309.40999999999997,4
Benjamin Smith,SC,yes,1693.61,33
Benjamin Stone,NH,no,155.39,3
Benjamin Temple,VA,no,5524.129999999999,8
Benjamin Thomas,MA,no,40.6,1
Benjamin Thurston,NH,yes,177.2,3
Bradford William,RI,yes,4.63,1
Brown Elisha,RI,no,268.71999999999997,6
Brown John,RI,yes,6729.770000000002,110
Charles Gerrard,NC,yes,2056.86,5
Charles Jarvis,MA,yes,80.0,1
Charles Pinckney,Constitution,yes,3903.02,4
Charles Turner,MA,yes,161.7,4
Constant Southworth,CT,no,155.39,3
Daniel Bassett,CT,no,129.3,2
Daniel Hall,CT,no,350.17,7
Daniel Howard,MA,yes,30.0,1
Daniel Humphry,CT,no,2.6,1
Daniel Perkins,CT,no,314.65999999999997,8
Daniel Shute,MA,yes,3274.68,6
Daniel Smith,NC,yes,2455.87,28
Daniel Stevens,SC,yes,562.09,11
David Brooks,CT,no,49.7,1
David Brown,MA,no,862.13,14
David Hopkins,NY,no,6193.72,7
David Jameson,NC,yes,143.6,3
David Murray,MA,no,153.89999999999998,3
David Page,NH,no,471.19,9
David Potter,NJ,yes,250.76000000000002,6
David Shepard,MA,yes,108.1,1
David Smith,CT,yes,5127.150000000001,34
David Stone,NC,yes,259.96,4
David Turner,NC,yes,261.53,9
