,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value,State Certificates Dollars,State Certificates Dollars,State Certificates 90th,State Certificates 90th,Marine Certificates Dollars,Marine Certificates Dollars,Marine Certificates 90th,Marine Certificates 90th,Pierce Certificates Value,Pierce Certificates Value
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,,,
John  Fox,John, Fox,MA,yes,18400.0,32.0,4401.06109,32.0,42.0,2.0,28.0,2.0,,,,,368.03000000000003,11.0
William Abbott,William,Abbott,NH,yes,500.0,2.0,317.71111,2.0,770.0,2.0,0,0.0,,,,,310.71000000000004,6.0
Henry Abbott,Henry,Abbott,NC,yes,,,,,,,,,,,,,251.56,4.0
Barker Abraham,Barker,Abraham,RI,yes,,,,,,,,,,,,,,
Robert Adam,Robert,Adam,NC,yes,2800.0,4.0,70.0,4.0,,,,,,,,,,
Daniel Adams,Daniel,Adams,MA,no,,,,,779.0,4.0,85.0,3.0,,,,,,
Benjamin Adams,Benjamin,Adams,NH,yes,,,,,,,,,,,,,,
Mark Adams,Mark,Adams,MA,no,,,,,,,,,,,,,,
Benjamin Adams,Benjamin,Adams,MA,no,,,,,,,,,,,,,9.4,1.0
Samuel Adams,Samuel,Adams,MA,yes,500.0,1.0,34.07639,1.0,33.0,1.0,30.0,1.0,,,,,8090.45,35.0
Matthew Adgate,Matthew,Adgate,NY,no,700.0,3.0,166.788922,3.0,,,,,,,,,,
Jonathan Akin,Jonathan,Akin,NY,no,,,,,,,,,,,,,,
Noah Alden,Noah,Alden,MA,no,,,,,,,,,,,,,,
Robert Alexander,Robert,Alexander,NC,no,,,,,,,,,,,,,,
Robert Alexander,Robert,Alexander,VA,no,5000.0,1.0,634.2361,1.0,61.0,1.0,18,1.0,,,,,50.0,1.0
Thomas Allen,Thomas,Allen,VA,no,6000.0,8.0,839.119604,8.0,4.0,3.0,71.0,3.0,,,,,9.05,1.0
John  Allen,John ,Allen,VA,yes,13900.0,16.0,884.794326,16.0,417.0,11.0,223.0,6.0,,,,,2074.8399999999997,35.0
John Allen,John,Allen,NC,yes,13900.0,16.0,884.794326,16.0,959.0,13.0,285.0,8.0,,,,,2079.2,36.0
Shadrick Allen,Shadrick,Allen,NC,yes,,,,,,,,,,,,,,
Josiah Allis,Josiah,Allis,MA,no,,,,,,,,,,,,,,
John Allison,John,Allison,NC,yes,,,,,,,,,,,,,,
John Allison,John,Allison,PA,yes,200.0,1.0,9.85,1.0,32.0,2.0,39.0,2.0,,,,,505.0,6.0
Thomas Allston,Thomas,Allston,SC,yes,,,,,,,,,,,,,,
Lamuel James Allston,Lamuel James,Allston,SC,yes,,,,,,,,,,,,,,
William Allston,William,Allston,SC,yes,,,,,,,,,,,,,,
William Almy,William,Almy,MA,yes,,,,,,,,,,,,,,
Moses Ames,Moses,Ames,MA,no,,,,,,,,,,,,,,
Fisher Ames,Fisher,Ames,MA,yes,,,,,,,,,,,,,,
Thomas Anderson,Thomas,Anderson,NJ,yes,1100.0,3.0,89.52222,3.0,402.0,6.0,380.0,6.0,,,,,5101.27,22.0
James Anderson,James,Anderson,NC,yes,1800.0,4.0,98.86945,4.0,120.0,6.0,128.0,4.0,,,,,3096.1200000000003,18.0
John Anderson,John,Anderson,NC,yes,2300.0,4.0,518.63611,4.0,338.0,4.0,165,3.0,,,,,4672.120000000001,33.0
Geo Anderson,Geo,Anderson,NJ,yes,,,,,,,,,,,,,,
Waterman Andrew,Waterman,Andrew,RI,no,,,,,,,,,,,,,,
Robert Andrews,Robert,Andrews,VA,yes,5000.0,11.0,584.9305699999999,11.0,28.0,1.0,0,0.0,,,,,,
Consider Arms,Consider,Arms,MA,no,,,,,,,,,,,,,,
James Armstrong,James,Armstrong,NC,yes,3200.0,4.0,150.904176,4.0,37.0,4.0,132.0,4.0,,,,,9010.48,18.0
John Arndt,John,Arndt,PA,yes,1100.0,3.0,105.52083,3.0,,,,,,,,,,
Silas W. Arnett,Silas W.,Arnett,NC,yes,,,,,,,,,,,,,,
Thomas Arthur,Thomas,Arthur,VA,no,,,,,,,,,,,,,180.6,2.0
John Ashley,John,Ashley,MA,yes,7600.0,6.0,1231.2000400000002,6.0,62.0,1.0,0,0.0,,,,,337.56,4.0
Samuel Ashmead,Samuel,Ashmead,PA,yes,4800.0,10.0,1219.5166600000002,10.0,,,,,,,,,,
Burdet Ashton,Burdet,Ashton,VA,yes,,,,,,,,,,,,,,
Joshua Atherton,Joshua,Atherton,NH,no,,,,,,,,,,,,,,
Nathaniel Atwood,Nathaniel,Atwood,CT,no,,,,,,,,,,,,,,
Aaron Austin,Aaron,Austin,CT,yes,3700.0,3.0,180.06667,3.0,,,,,,,,,,
Nicholas Austin,Nicholas,Austin,NH,no,,,,,,,,,,,,,,
Isaac Backus,Isaac,Backus,MA,yes,,,,,,,,,,,,,,
Joseph Badger,Joseph,Badger,NH,no,7200.0,5.0,1144.64438,5.0,,,,,,,,,,
William Bailey ,William,Bailey ,NC,yes,9700.0,13.0,1024.4861399999998,13.0,5.0,1.0,56.0,1.0,,,,,3201.1800000000003,15.0
John Baird,John,Baird,PA,no,2600.0,5.0,1605.1027000000001,5.0,70.0,1.0,0,0.0,,,,,,
John Baker,John,Baker,NC,yes,32700.0,51.0,7787.109810000005,51.0,270.0,7.0,113.0,4.0,,,,,3748.7699999999995,60.0
T.M. Baker,T.M.,Baker,MA,no,,,,,,,,,,,,,,
Samuel Baker,Samuel,Baker,MA,yes,5200.0,10.0,1723.2943800000003,10.0,613.0,9.0,220.0,5.0,,,,,1022.29,18.0
Albert Baker,Albert,Baker,NY,no,,,,,28.0,1.0,0,0.0,,,,,53.3,1.0
Hilary Baker,Hilary,Baker,PA,yes,,,,,,,,,,,,,,
Henry Baker,Henry,Baker,NC,yes,600.0,1.0,50.00833,1.0,641.0,5.0,195.0,4.0,,,,,1655.8899999999999,5.0
Abraham Baldwin,Abraham,Baldwin,Constitution,yes,,,,,,,,,,,,,3746.75,6.0
Stephen Balliott,Stephen,Balliott,PA,yes,,,,,,,,,,,,,,
Abraham Bancker,Abraham,Bancker,NY,yes,,,,,,,,,,,,,,
Thomas Banks,Thomas,Banks,NC,yes,,,,,,,,,,,,,,
John Baptista Ashe,John,Baptista Ashe,NC,yes,,,,,,,,,,,,,402.43,8.0
John Barclay,John,Barclay,PA,yes,5200.0,4.0,2293.5111399999996,4.0,,,,,,,,,1912.83,6.0
Richardson Bard,Richardson,Bard,PA,no,,,,,,,,,,,,,,
Joseph Barker,Joseph,Barker,DE,yes,1300.0,3.0,838.97222,3.0,126.0,9.0,361.0,9.0,,,,,374.42,8.0
Elias Barnes,Elias,Barnes,NC,yes,,,,,,,,,,,,,2.1,1.0
Richard Barnes,Richard,Barnes,MD,yes,6500.0,8.0,2960.55132,8.0,21.0,1.0,50,1.0,,,,,153.9,3.0
Asa Barns,Asa,Barns,CT,yes,,,,,,,,,,,,,,
John Barnwell,John,Barnwell,SC,yes,,,,,,,,,,,,,,
Robert Barnwell,Robert,Barnwell,SC,yes,,,,,,,,,,,,,,
Nathaniel Barrell,Nathaniel,Barrell,MA,no,,,,,,,,,,,,,,
Charles Barrett,Charles,Barrett,NH,no,,,,,,,,,,,,,80.0,1.0
Anthony Barrington,Anthony,Barrington,RI,yes,,,,,,,,,,,,,,
Josiah Bartlett,Josiah,Bartlett,NH,yes,600.0,3.0,296.36661999999995,3.0,,,,,,,,,,
Bailey Bartlett,Bailey,Bartlett,MA,yes,,,,,,,,,,,,,,
Thomas Bartlett,Thomas,Bartlett,NH,yes,,,,,,,,,,,,,,
Moses Bascum,Moses,Bascum,MA,no,,,,,,,,,,,,,,
Andrew Baskins,Andrew,Baskins,SC,no,,,,,,,,,,,,,,
Richard Bassett,Richard,Bassett,Constitution,yes,,,,,,,,,,,,,354.15,3.0
Richard Bassett,Richard,Bassett,DE,yes,,,,,,,,,,,,,,
Daniel Bassett,Daniel,Bassett,CT,no,,,,,,,,,,,,,129.3,2.0
Burwell Bassett,Burwell,Bassett,VA,yes,,,,,,,,,,,,,,
John Baxter,John,Baxter,MA,yes,200.0,1.0,23.044439999999998,1.0,,,,,,,,,151.7,3.0
John Bay,John,Bay,NY,no,,,,,291.0,2.0,100,2.0,,,,,,
William Baylies,William,Baylies,MA,yes,,,,,304.0,2.0,80.0,2.0,,,,,125.6,2.0
Samuel Beach,Samuel,Beach,CT,yes,,,,,,,,,,,,,1815.18,6.0
John Beach,John,Beach,CT,yes,,,,,979.0,3.0,90.0,2.0,,,,,252.3,3.0
Zachary Beal,Zachary,Beal,MA,no,,,,,,,,,,,,,,
Joshua Bean,Joshua,Bean,MA,no,,,,,,,,,,,,,,
Nathaniel Bean,Nathaniel,Bean,NH,no,,,,,,,,,,,,,79.51,2.0
Nehemiah Beardsley,Nehemiah,Beardsley,CT,yes,300.0,1.0,300.0,1.0,,,,,,,,,,
John Beatty,John,Beatty,NJ,yes,5600.0,13.0,766.3112000000001,13.0,400.0,5.0,178.0,4.0,,,,,305.79999999999995,5.0
Daniel Bedee,Daniel,Bedee,NH,yes,,,,,,,,,,,,,,
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,9300.0,24.0,401.83887,24.0,106.0,6.0,217.0,6.0,,,,,,
Thomas Bee,Thomas,Bee,SC,yes,,,,,,,,,,,,,,
David Bell,David,Bell,VA,no,,,,,,,,,108.0,1.0,14.0,1.0,,
Benjamin Bell,Benjamin,Bell,NC,yes,,,,,,,,,,,,,,
Malachi Bell,Malachi,Bell,NC,yes,,,,,,,,,,,,,,
Edmond Bellinger,Edmond,Bellinger,SC,no,,,,,,,,,,,,,,
Benjamin Bellows,Benjamin,Bellows,NH,yes,6400.0,11.0,5006.7001,11.0,156.0,1.0,22.0,1.0,,,,,,
John M. Benford,John M.,Benford,NC,yes,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,no,,,,,,,,,,,,,,
Bosworth Benjamin,Bosworth,Benjamin,RI,yes,,,,,,,,,,,,,,
Arnold Benjamin,Arnold,Benjamin,RI,yes,,,,,37.0,1.0,54.0,1.0,,,,,,
Remington Benjamin,Remington,Benjamin,RI,yes,,,,,,,,,,,,,,
Bourne Benjamin,Bourne,Benjamin,RI,yes,,,,,14.0,6.0,88.0,4.0,,,,,4.09,1.0
Peter Bennett,Peter,Bennett,NC,no,,,,,,,,,,,,,68.58,1.0
Samuel Benton,Samuel,Benton,NC,yes,,,,,,,,,,,,,,
