,,,,,Value,Value
,,,,,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,
A. Fisher,A.,Fisher,MA,yes,199.1,2
Aaron Hall,Aaron,Hall,NH,yes,67.2,2
Aaron Wood,Aaron,Wood,MA,no,120.6,2
Abraham Baldwin,Abraham,Baldwin,Constitution,yes,3746.75,6
Abraham Smith,Abraham,Smith,MA,no,290.2,5
Abraham Stout,Abraham,Stout,PA,yes,2014.4999999999998,5
Albert Baker,Albert,Baker,NY,no,53.3,1
Alexander King,Alexander,King,CT,no,50.0,1
Alexander Martin,Alexander,Martin,Constitution,no,396.89,7
Alexander Watson,Alexander,Watson,NC,no,65.5,1
Alexander White,Alexander,White,VA,yes,333.90000000000003,5
Allen Samuel,Allen,Samuel,RI,yes,1595.3399999999997,29
Allen Thomas,Allen,Thomas,RI,yes,9.05,1
Andrew Lee,Andrew,Lee,CT,yes,2025.8100000000002,5
Andrew Love,Andrew,Love,SC,no,92.75,3
Andrew Moore,Andrew,Moore,VA,yes,16.6,1
Anthony Wayne,Anthony,Wayne,PA,yes,11902.630000000001,8
Archelaus Temple,Archelaus,Temple,NH,yes,43.5,1
Barker Peter,Barker,Peter,RI,yes,21.04,1
Barton William,Barton,William,RI,yes,3137.33,4
Benjamin Adams,Benjamin,Adams,MA,no,9.4,1
Benjamin Browne,Benjamin,Browne,MA,yes,714.61,14
Benjamin Clough,Benjamin,Clough,NH,no,183.8,3
Benjamin Edwards,Benjamin,Edwards,MD,yes,288.69,7
Benjamin Hall,Benjamin,Hall,MD,yes,121.38,2
Benjamin Harrison,Benjamin,Harrison,MD,no,147.82999999999998,3
Benjamin Harrison V,Benjamin,Harrison V,VA,no,147.82999999999998,3
Benjamin Hawkins,Benjamin,Hawkins,NC,yes,161.23,2
Benjamin Hicks,Benjamin,Hicks,SC,yes,6195.32,13
Benjamin Jones,Benjamin,Jones,NC,no,819.9900000000001,15
Benjamin Morse,Benjamin,Morse,MA,no,239.21,4
Benjamin Perry,Benjamin,Perry,NC,yes,493.01,7
Benjamin Randall,Benjamin,Randall,MA,no,309.40999999999997,4
Benjamin Smith,Benjamin,Smith,SC,yes,1826.7300000000002,38
Benjamin Stone,Benjamin,Stone,NH,no,155.39,3
Benjamin Temple,Benjamin,Temple,VA,no,5524.129999999999,8
Benjamin Thomas,Benjamin,Thomas,MA,no,40.6,1
Benjamin Thurston,Benjamin,Thurston,NH,yes,177.2,3
Benjamin Wilson,Benjamin,Wilson,VA,yes,188.75,3
Bourne Benjamin,Bourne,Benjamin,RI,yes,4.09,1
Bowen Jabez,Bowen,Jabez,RI,yes,156.56,4
Bradford William,Bradford,William,RI,yes,4.63,1
Brown Elisha,Brown,Elisha,RI,no,268.71999999999997,6
Brown John,Brown,John,RI,yes,9563.78,123
Caleb Curtiss,Caleb,Curtiss,MA,no,17.71,1
Charles Barrett,Charles,Barrett,NH,no,80.0,1
Charles Gerrard,Charles,Gerrard,NC,yes,2056.86,5
Charles Grahame,Charles,Grahame,MD,yes,2403.65,4
Charles Jarvis,Charles,Jarvis,MA,yes,80.0,1
Charles Pinckney,Charles,Pinckney,Constitution,yes,3903.02,4
Charles Turner,Charles,Turner,MA,yes,161.7,4
Clark John I,Clark,John I,RI,yes,6273.500000000001,66
Constant Southworth,Constant,Southworth,CT,no,155.39,3
Daniel Bassett,Daniel,Bassett,CT,no,129.3,2
Daniel Hall,Daniel,Hall,CT,no,350.17,7
Daniel Howard,Daniel,Howard,MA,yes,30.0,1
Daniel Humphry,Daniel,Humphry,CT,no,2.6,1
Daniel Perkins,Daniel,Perkins,CT,no,314.65999999999997,8
Daniel Rodgers,Daniel,Rodgers,MA,yes,80.8,3
Daniel Shute,Daniel,Shute,MA,yes,3274.68,6
Daniel Smith,Daniel,Smith,NC,yes,2455.87,28
Daniel Stevens,Daniel,Stevens,SC,yes,562.09,11
David Brooks,David,Brooks,CT,no,74.18,2
David Brown,David,Brown,MA,no,862.13,14
David Crane ,David,Crane ,NJ,yes,304.73,5
David Hopkins,David,Hopkins,NY,no,6193.72,7
David Jameson,David,Jameson,NC,yes,143.6,3
David Murray,David,Murray,MA,no,153.89999999999998,3
David Page,David,Page,NH,no,471.19,9
David Potter,David,Potter,NJ,yes,250.76000000000002,6
David Shepard,David,Shepard,MA,yes,108.1,1
David Smith,David,Smith,CT,yes,5127.150000000001,34
David Stone,David,Stone,NC,yes,259.96,4
David Turner,David,Turner,NC,yes,261.53,9
David Wilson,David,Wilson,NC,yes,382.34999999999997,7
Davis John,Davis,John,RI,yes,11639.91,69
Dexter John S,Dexter,John S,RI,yes,546.0699999999999,4
E. Brooks,E.,Brooks,MA,yes,8.5,1
Ebenezer Clark,Ebenezer,Clark,NY,no,401.56999999999994,8
Ebenezer Cummings,Ebenezer,Cummings,NH,no,80.0,1
Ebenezer James,Ebenezer,James,MA,yes,154.62,3
Ebenezer Smith,Ebenezer,Smith,NH,did not vote,7127.49,25
Ebenezer Wales,Ebenezer,Wales,MA,yes,1761.27,5
Ebenezer Webster,Ebenezer,Webster,NH,did not vote,227.46,6
Edward Blake,Edward,Blake,SC,yes,3920.49,19
Edward Lloyd,Edward,Lloyd,MD,yes,1977.8799999999999,2
Edward Ward,Edward,Ward,NC,yes,332.56,6
Edward White,Edward,White,DE,yes,2757.99,14
Edward Williams,Edward,Williams,NC,yes,328.5,6
Elias Barnes,Elias,Barnes,NC,yes,2.1,1
Elisha Mitchell,Elisha,Mitchell,MA,yes,252.26999999999998,3
Ephraim Fitch,Ephraim,Fitch,MA,no,268.08,3
George Carrington,George,Carrington,VA,no,2321.2200000000003,4
George Clinton,George,Clinton,NY,did not vote,283.3,4
George Doherty,George,Doherty,NC,yes,3391.86,4
George Gray,George,Gray,PA,yes,40.0,1
George Handley,George,Handley,GA,yes,4713.95,7
George Houser,George,Houser,NC,yes,272.53,3
George Mason,George,Mason,Constitution,no,4.64,1
George Matthews,George,Matthews,GA,yes,4500.0,2
George Mitchell,George,Mitchell,NC,yes,160.5,4
George Parker,George,Parker,VA,yes,610.28,10
George Read,George,Read,Constitution,yes,30.0,1
Gideon Buckingham,Gideon,Buckingham,CT,yes,157.9,5
Greene Christopher,Greene,Christopher,RI,yes,25.25,1
Gustavus Richard Brown,Gustavus Richard,Brown,MD,yes,169.63,4
Hardy Holmes,Hardy,Holmes,NC,no,2013.3,5
Hardy Murfee,Hardy,Murfee,NC,yes,4165.0599999999995,4
Henry Abbott,Henry,Abbott,NC,yes,251.56,4
Henry Baker,Henry,Baker,NC,yes,1655.8899999999999,5
Henry Dickenson,Henry,Dickenson,VA,No,76.6,1
Henry Hill,Henry,Hill,NC,no,376.71999999999997,7
Henry Lee,Henry,Lee,VA,no,7624.74,4
Henry Lee III,Henry,Lee III,VA,yes,7624.74,4
Henry Wisner,Henry,Wisner,NY,no,214.05,3
Hezekiah Rogers,Hezekiah,Rogers,CT,yes,3288.24,5
Howard William,Howard,William,RI,no,123.73000000000002,5
Hugh White,Hugh,White,SC,no,6.67,1
Isaac Clarke,Isaac,Clarke,NC,no,286.58,5
Isaac Cooper,Isaac,Cooper,DE,yes,266.14,4
Isaac Foot,Isaac,Foot,CT,yes,256.5,4
Isaac Guion,Isaac,Guion,NC,yes,1419.1800000000003,6
Isaac Harleston,Isaac,Harleston,SC,yes,3450.0,4
Isaac Parker,Isaac,Parker,SC,yes,399.15,7
Isaac Patterson,Isaac,Patterson,NH,yes,130.4,3
Isaac Snow,Isaac,Snow,MA,yes,50.6,1
Isaac Thompson,Isaac,Thompson,MA,yes,125.12,2
Israel Clark,Israel,Clark,MA,yes,131.39,3
Jacob Bradbury,Jacob,Bradbury,MA,yes,86.97999999999999,3
Jacob Brown,Jacob,Brown,SC,no,2562.08,12
Jacob Johnston,Jacob,Johnston,NC,yes,830.36,15
James Anderson,James,Anderson,NC,yes,3096.1200000000003,18
James Armstrong,James,Armstrong,NC,yes,9010.48,18
James Black,James,Black,DE,yes,137.89999999999998,3
James Bradford,James,Bradford,CT,yes,2637.71,7
James Campbell,James,Campbell,PA,did not vote,5611.870000000002,34
James Carr,James,Carr,MA,no,4161.960000000001,13
James Clinton,James,Clinton,NY,no,9942.029999999999,11
James Craig,James,Craig,SC,no,429.8,8
James Davenport,James,Davenport,CT,yes,295.83,3
James Edgar,James,Edgar,PA,no,33.3,1
James G. Hunt,James G.,Hunt,SC,no,147.7,3
James Gillespie,James,Gillespie,NC,no,60.6,1
James Gordon,James,Gordon,VA,yes,94.67999999999999,3
James Gordon Heron,James Gordon,Heron,MD,yes,94.67999999999999,3
James Gray,James,Gray,NH,yes,4586.33,28
James Handley,James,Handley,NC,yes,227.4,4
James Johnson,James,Johnson,VA,yes,3512.82,32
James Jordan,James,Jordan,SC,no,262.2,3
James Marshall,James,Marshall,PA,no,156.0,2
James Martin,James,Martin,MD,yes,2532.02,15
James Maxwell,James,Maxwell,GA,yes,577.03,10
James Montgomery,James,Montgomery,VA,no,251.7,4
James Moore,James,Moore,NC,no,9634.52,41
James Morris,James,Morris,PA,yes,3275.9300000000007,15
James Neal,James,Neal,MA,no,247.3,4
James Pettigrew,James,Pettigrew,SC,yes,2355.96,8
James Porter,James,Porter,NC,no,359.78,6
James Potter,James,Potter,CT,yes,321.79,5
James Shaw,James,Shaw,MD,yes,36.6,1
James Stewart,James,Stewart,SC,yes,2839.8,16
James Sykes,James,Sykes,DE,yes,76.6,1
James Taylor,James,Taylor,VA,yes,777.89,14
James Thomas,James,Thomas,RI,no,1305.3,20
James Thompson,James,Thompson,NC,no,1203.7199999999996,29
James Turner,James,Turner,NC,yes,866.5600000000001,15
James Watson,James,Watson,NC,yes,5.53,1
James Webb,James,Webb,VA,yes,53.63,1
James White,James,White,NC,yes,676.7200000000001,13
James Williams,James,Williams,MA,no,4673.35,31
James Wilson,James,Wilson,Constitution,yes,3630.64,35
Jeremiah Eldredge,Jeremiah,Eldredge,NJ,yes,320.91,4
Jeremiah Fogg,Jeremiah,Fogg,NH,yes,2859.39,7
Jeremiah Townley Chase,Jeremiah Townley,Chase,MD,no,164.72,2
Jeremiah West,Jeremiah,West,CT,yes,132.65,1
Jesse Gilbert,Jesse,Gilbert,NC,yes,253.83,6
Jesse Reed,Jesse,Reed,MA,yes,3045.34,8
Joel Lane,Joel,Lane,NC,yes,111.17,3
Joel Rice,Joel,Rice,NC,yes,31.27,1
John  Allen,John ,Allen,VA,yes,2074.8399999999997,35
John  Fox,John, Fox,MA,yes,368.03000000000003,11
John A. Campbell,John A.,Campbell,NC,no,5672.87,33
John Allen,John,Allen,NC,yes,2079.2,36
John Allison,John,Allison,PA,yes,505.0,6
John Anderson,John,Anderson,NC,yes,4672.120000000001,33
John Andre Hanna,John Andre,Hanna,PA,no,295.05,4
John Ashley,John,Ashley,MA,yes,337.56,4
John Baker,John,Baker,NC,yes,3748.7699999999995,60
John Baptista Ashe,John,Baptista Ashe,NC,yes,402.43,8
John Barclay,John,Barclay,PA,yes,1912.83,6
John Baxter,John,Baxter,MA,yes,151.7,3
John Beach,John,Beach,CT,yes,252.3,3
John Beatty,John,Beatty,NJ,yes,305.79999999999995,5
John Bishop,John,Bishop,PA,no,2367.31,20
John Black,John,Black,PA,yes,225.53000000000003,4
John Blair,John,Blair,Constitution,yes,3093.8500000000004,18
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,2943.6100000000006,17
John Blake,John,Blake,SC,yes,687.3399999999999,16
John Bowman,John,Bowman,SC,no,404.75,4
John Boyd,John,Boyd,PA,yes,2121.0299999999997,12
John Brooks,John,Brooks,MA,yes,7418.64,13
John Brown,John,Brown,NC,no,9531.93,122
John Budd,John,Budd,SC,yes,2112.7799999999997,2
John Burgess,John,Burgess,SC,no,797.4800000000002,18
John Burnham,John,Burnham,MA,yes,4368.17,10
John Carson,John,Carson,NC,yes,846.1899999999999,9
John Carter Littlepage,John Carter,Littlepage,VA,no,952.7900000000001,17
John Chester,John,Chester,CT,yes,537.3,9
John Cochran,John,Cochran,NH,no,4735.450000000001,15
John Collins,John,Collins,SC,yes,2311.7299999999996,37
John Cook,John,Cook,SC,no,1439.7099999999998,25
John Coulter,John,Coulter,MD,yes,595.8,10
John Cowan,John,Cowan,NC,yes,234.0,1
John Cragin,John,Cragin,NH,no,53.3,1
John Curtiss,John,Curtiss,CT,yes,935.1099999999999,13
John Davis,John,Davis,MA,yes,11639.91,69
John Dawson,John,Dawson,VA,no,254.51999999999998,5
John DeWitt,John,DeWitt,NY,yes,365.58,5
John Drew,John,Drew,NC,yes,2514.5,4
John Dunlap,John,Dunlap,MA,yes,72.6,2
John Early,John,Early,VA,no,33.3,1
John Easton,John,Easton,NC,yes,412.03999999999996,9
John Edwards,John,Edwards,SC,yes,1487.7199999999998,23
John Elliot,John,Elliot,GA,yes,872.6800000000001,7
John Evans,John,Evans,VA,no,1253.1200000000001,17
John F. Mercer,John F.,Mercer,Constitution,no,80.0,1
John Fowler,John,Fowler,VA,no,1149.98,10
John Francis Mercer,John Francis,Mercer,MD,no,428.09000000000003,9
John Fulford,John,Fulford,NC,yes,398.89000000000004,8
John Fuller,John,Fuller,MA,no,4335.91,22
John Gale,John,Gale,MD,yes,3988.52,6
John Glover,John,Glover,MA,yes,59.1,2
John Graves,John,Graves,NC,no,315.85,5
John H. Bryan,John H.,Bryan,NC,yes,756.8699999999999,13
John Hall,John,Hall,NC,yes,1273.28,21
John Hamilton,John,Hamilton,MA,no,8037.140000000001,30
John Hampton,John,Hampton,SC,no,428.59,5
John Hancock,John,Hancock,MA,yes,615.49,12
John Haring,John,Haring,NY,no,529.6,8
John Harris,John,Harris,PA,no,4341.969999999999,44
John Howell Briggs,John Howell,Briggs,VA,no,3289.12,8
John Hunt,John,Hunt,NC,yes,94.47,2
John Hunter,John,Hunter,SC,yes,314.65000000000003,5
John Ingersoll,John,Ingersoll,MA,yes,87.89999999999999,3
John Jennings,John,Jennings,MA,no,246.96,5
John Johnston,John,Johnston,NC,yes,7550.390000000004,89
John Jones,John,Jones,DE,yes,7726.33,70
John Joyner,John,Joyner,SC,yes,19.1,1
John K. Smith,John K.,Smith,MA,yes,25384.619999999988,207
John King,John,King,GA,yes,1361.42,22
John Lansing Jr.,John,Lansing Jr.,Constitution,no,53.3,1
"John Lansing, Jun. ",John,"Lansing, Jun. ",NY,no,53.3,1
John Lewis Bourquin,John Lewis,Bourquin,SC,no,342.27,6
John Lewis Gervias,John Lewis,Gervias,SC,no,342.27,6
John Lindsey,John,Lindsey,SC,no,88.34,3
John Linton,John,Linton,SC,no,2409.06,4
John Lloyd,John,Lloyd,SC,yes,407.65000000000003,7
John Love,John,Love,MD,no,326.6,5
John Low,John,Low,MA,yes,33.78,1
John Lowry,John,Lowry,SC,no,336.1,5
John Ludwig,John,Ludwig,PA,no,142.0,1
John Marshall,John,Marshall,VA,yes,3401.14,13
John Matthews,John,Matthews,SC,yes,1076.8000000000002,19
John Miller,John,Miller,VA,no,2870.2699999999995,46
John Montgomery,John,Montgomery,SC,no,614.72,9
John Moore,John,Moore,NC,yes,4192.0,68
John Neilson,John,Neilson,NJ,yes,6515.25,16
John Nevill,John,Nevill,PA,yes,41.6,1
John Overton,John,Overton,NC,yes,2796.57,6
John Palmer,John,Palmer,SC,yes,152.51,4
John Parker,John,Parker,SC,yes,974.88,18
John Phelps,John,Phelps,CT,yes,248.24,6
John Pickering,John,Pickering,NH,yes,269.36,5
