,,,,,CD_6p_Dollar,CD_6p_Dollar,CD_6p_Cents,CD_6p_Cents,CD_6p_def_Dollar,CD_6p_def_Dollar,CD_6p_def_Cents,CD_6p_def_Cents,CD_3p_Dollar,CD_3p_Dollar,CD_3p_Cents,CD_3p_Cents
,,,,,sum,count,sum,count,sum,count,sum,count,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,,,,,,,,,
John Allen,John,Allen,NC,yes,116.0,1,31.0,1,58.0,1,15.0,1,122.0,1,2.0,1
John  Allen,John ,Allen,VA,yes,116.0,1,31.0,1,58.0,1,15.0,1,122.0,1,2.0,1
Thomas Allen,Thomas,Allen,VA,no,357.0,1,38.0,1,178.0,1,69.0,1,291.0,1,4.0,1
Thomas Anderson,Thomas,Anderson,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,64.0,2,90.0,2
James Anderson,James,Anderson,NC,yes,32.0,1,48.0,1,16.0,1,25.0,1,878.0,2,126.0,2
Robert Andrews,Robert,Andrews,VA,yes,4566.0,18,600.0,18,2280.0,18,600.0,18,1143.0,18,972.0,18
John Ashley,John,Ashley,MA,yes,4668.0,4,72.0,3,2334.0,4,42.0,3,19629.0,4,92.0,4
Samuel Ashmead,Samuel,Ashmead,PA,yes,916.0,1,11.0,1,458.0,1,6.0,1,0.0,0,0.0,0
Joseph Badger,Joseph,Badger,NH,no,763.0,1,11.0,1,381.0,1,55.0,1,251.0,1,1.0,1
John Baird,John,Baird,PA,no,711.0,1,33.0,1,355.0,1,67.0,1,210.0,1,3.0,1
John Baker,John,Baker,NC,yes,8.0,1,77.0,1,4.0,1,39.0,1,7220.0,2,143.0,2
Samuel Baker,Samuel,Baker,MA,yes,0.0,0,0.0,0,0.0,0,0.0,0,167.0,3,100.0,2
Henry Baker,Henry,Baker,NC,yes,0.0,0,0.0,0,0.0,0,0.0,0,7.0,1,20.0,1
John Barclay,John,Barclay,PA,yes,9636.0,1,48.0,1,4818.0,1,24.0,1,0.0,0,0.0,0
Joseph Barker,Joseph,Barker,DE,yes,58.0,1,64.0,1,29.0,1,32.0,1,21.0,1,12.0,1
Josiah Bartlett,Josiah,Bartlett,NH,yes,398.0,1,93.0,1,199.0,1,46.0,1,161.0,1,10.0,1
Samuel Beach,Samuel,Beach,CT,yes,0.0,0,0.0,0,0.0,0,0.0,0,136.0,1,56.0,1
John Beatty,John,Beatty,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,265.0,1,95.0,1
Gunning Bedford Jr.,Gunning,Bedford Jr.,Constitution,yes,0.0,0,0.0,0,667.0,1,35.0,1,0.0,0,0.0,0
"Gunning Bedford, Jr.",Gunning,"Bedford, Jr.",DE,yes,0.0,0,0.0,0,667.0,1,35.0,1,0.0,0,0.0,0
"Gunning Bedford, Sr.",Gunning,"Bedford, Sr.",DE,yes,0.0,0,0.0,0,667.0,1,35.0,1,0.0,0,0.0,0
Bourne Benjamin,Bourne,Benjamin,RI,yes,41.0,1,43.0,1,20.0,1,71.0,1,36.0,1,43.0,1
John Black,John,Black,MA,no,0.0,0,0.0,0,0.0,0,0.0,0,1621.0,4,158.0,4
John Black,John,Black,PA,yes,0.0,0,0.0,0,0.0,0,0.0,0,1621.0,4,158.0,4
John Blair,John,Blair,NC,yes,25632.0,48,1992.0,48,5388.0,48,2076.0,48,10448.0,48,2048.0,32
John Blair,John,Blair,Constitution,yes,25632.0,48,1992.0,48,5388.0,48,2076.0,48,10448.0,48,2048.0,32
"John Blair, Jun.",John,"Blair, Jun.",VA,yes,25632.0,48,1992.0,48,5388.0,48,2076.0,48,10448.0,48,2048.0,32
Edward Blake,Edward,Blake,SC,yes,2738.0,1,49.0,1,1369.0,1,25.0,1,1476.0,1,34.0,1
Thomas Blount,Thomas,Blount,NC,yes,254.0,1,73.0,1,127.0,1,36.0,1,179.0,1,20.0,1
John Lewis Bourquin,John Lewis,Bourquin,SC,no,345.0,1,50.0,1,172.0,1,75.0,1,248.0,1,76.0,1
John Boyd,John,Boyd,PA,yes,0.0,0,0.0,0,0.0,0,0.0,0,33.0,1,89.0,1
Hezekiah Brainard,Hezekiah,Brainard,CT,yes,3710.0,4,252.0,4,1854.0,4,226.0,4,5664.0,4,256.0,4
Humphrey Brooke,Humphrey,Brooke,VA,yes,0.0,0,0.0,0,16.0,1,40.0,1,0.0,0,0.0,0
William Brown,William,Brown,NC,yes,443.0,1,81.0,1,221.0,1,90.0,1,200.0,3,140.0,3
David Brown,David,Brown,MA,no,12.0,1,22.0,1,0.0,0,0.0,0,39.0,2,7.0,1
Jacob Brown,Jacob,Brown,SC,no,582.0,1,35.0,1,291.0,1,18.0,1,218.0,1,85.0,1
Joseph Brown,Joseph,Brown,SC,no,66.0,1,40.0,1,33.0,1,20.0,1,0.0,0,0.0,0
John Brown,John,Brown,NC,no,36139.0,82,3392.0,66,17221.0,82,3118.0,62,18532.0,82,3735.0,82
William Brown,William,Brown,PA,no,443.0,1,81.0,1,221.0,1,90.0,1,200.0,3,140.0,3
Benjamin Browne,Benjamin,Browne,MA,yes,643.0,1,34.0,1,321.0,1,67.0,1,198.0,1,0.0,0
Gideon Buckingham,Gideon,Buckingham,CT,yes,303.0,1,15.0,1,151.0,1,58.0,1,89.0,1,25.0,1
Thomas Bull,Thomas,Bull,PA,yes,92.0,2,107.0,2,45.0,2,153.0,2,0.0,0,0.0,0
Thaddeus Burr,Thaddeus,Burr,CT,yes,7356.0,18,912.0,18,3672.0,18,1056.0,18,3290.0,19,940.0,19
William Cabell,William,Cabell,VA,no,139.0,1,86.0,1,69.0,1,93.0,1,0.0,0,0.0,0
David Caldwell,David,Caldwell,NC,yes,533.0,1,77.0,1,266.0,1,88.0,1,0.0,0,0.0,0
John A. Campbell,John A.,Campbell,NC,no,14.0,1,94.0,1,7.0,1,47.0,1,399.0,1,54.0,1
James Campbell,James,Campbell,PA,did not vote,445.0,1,71.0,1,222.0,1,85.0,1,0.0,0,0.0,0
Samuel Canfield,Samuel,Canfield,CT,yes,496.0,1,75.0,1,248.0,1,38.0,1,494.0,1,7.0,1
Daniel Cannon,Daniel,Cannon,SC,yes,181.0,1,22.0,1,90.0,1,61.0,1,0.0,0,0.0,0
Ephraim Carpenter,Ephraim,Carpenter,CT,no,58.0,1,67.0,1,29.0,1,33.0,1,39.0,1,57.0,1
George Carrington,George,Carrington,VA,no,1525.0,1,34.0,1,762.0,1,68.0,1,549.0,1,11.0,1
Daniel Carroll,Daniel,Carroll,Constitution,yes,151.0,1,4.0,1,75.0,1,52.0,1,0.0,0,0.0,0
Samuel Carver,Samuel,Carver,CT,yes,73.0,1,28.0,1,36.0,1,65.0,1,66.0,1,58.0,1
John Chesnut,John,Chesnut,SC,yes,883.0,1,33.0,1,441.0,1,67.0,1,636.0,1,0.0,0
John Chetwood,John,Chetwood,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,60.0,1,72.0,1
Charles Chilton,Charles,Chilton,MD,yes,275.0,1,32.0,1,937.0,2,65.0,1,803.0,2,38.0,2
Jonathan Clark,Jonathan,Clark,SC,yes,2793.0,1,22.0,1,1396.0,1,62.0,1,1471.0,1,83.0,1
Moses Cleveland,Moses,Cleveland,CT,yes,16.0,1,42.0,1,8.0,1,21.0,1,338.0,1,15.0,1
James Clinton,James,Clinton,NY,no,0.0,0,0.0,0,0.0,0,0.0,0,675.0,1,0.0,1
George Clinton,George,Clinton,NY,did not vote,0.0,0,0.0,0,0.0,0,0.0,0,384.0,1,27.0,1
George Clymer,George,Clymer,Constitution,yes,6265.0,1,18.0,1,3132.0,1,59.0,1,0.0,0,0.0,0
Wheeler Coit,Wheeler,Coit,CT,yes,5447.0,2,26.0,1,4000.0,2,0.0,0,8790.0,3,0.0,1
John Collins,John,Collins,SC,yes,0.0,0,0.0,0,0.0,0,0.0,0,1764.0,2,36.0,2
John Cook,John,Cook,SC,no,1651.0,2,117.0,2,825.0,2,109.0,2,26.0,1,28.0,1
James Craig,James,Craig,SC,no,31080.0,9,345.0,9,15537.0,9,471.0,9,0.0,0,0.0,0
David Crane ,David,Crane ,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,133.0,1,13.0,1
William Crawford ,William,Crawford ,NJ,yes,984.0,1,40.0,1,492.0,1,20.0,1,0.0,0,0.0,0
William Cushing,William,Cushing,MA,yes,0.0,0,0.0,0,0.0,0,0.0,0,12.0,1,0.0,0
Edward Darrell,Edward,Darrell,SC,yes,2540.0,8,196.0,4,1268.0,8,300.0,4,2232.0,8,316.0,8
James Davenport,James,Davenport,CT,yes,2760.0,12,600.0,12,1374.0,12,900.0,12,1652.0,16,1007.0,16
"John Davenport, Jun.",John,"Davenport, Jun.",CT,yes,19776.0,64,2336.0,48,9888.0,64,1168.0,48,15182.0,70,2149.0,54
William Richardson Davie,William Richardson,Davie,NC,yes,1052.0,8,120.0,8,524.0,8,260.0,8,1028.0,8,328.0,8
John Davis,John,Davis,MA,yes,174.0,2,132.0,2,86.0,2,167.0,2,14.0,1,2.0,1
Thomas Davis,Thomas,Davis,MA,yes,5680.0,10,344.0,6,2841.0,10,407.0,6,5112.0,8,120.0,8
Jonathan Dayton,Jonathan,Dayton,Constitution,yes,136480.0,8,656.0,8,68240.0,8,320.0,8,19809.0,10,571.0,10
"William Deakins, Jun.",William,"Deakins, Jun.",MD,yes,6240.0,2,182.0,2,3120.0,2,90.0,2,3433.0,2,98.0,2
John Dickinson,John,Dickinson,Constitution,yes,10004.0,16,568.0,16,5024.0,16,992.0,16,6792.0,16,1232.0,16
Glen Drayton,Glen,Drayton,SC,yes,46.0,1,2.0,1,23.0,1,1.0,1,45.0,1,1.0,1
Eliphalet Dyer,Eliphalet,Dyer,CT,yes,274.0,1,10.0,1,137.0,1,5.0,1,669.0,1,47.0,1
Samuel Eddy,Samuel,Eddy,MA,no,0.0,0,0.0,0,182.0,1,61.0,1,0.0,0,0.0,0
Thomas Edmunds,Thomas,Edmunds,VA,no,0.0,0,0.0,0,16.0,1,72.0,1,0.0,0,0.0,0
Enoch Edwards,Enoch,Edwards,PA,yes,1567.0,1,75.0,1,783.0,1,87.0,1,0.0,0,0.0,0
Brown Elisha,Brown,Elisha,RI,no,1764.0,8,292.0,8,880.0,8,340.0,8,820.0,8,460.0,8
William Elliot,William,Elliot,SC,yes,2990.0,4,262.0,4,1494.0,4,234.0,4,0.0,0,0.0,0
John Evans,John,Evans,VA,no,24.0,1,10.0,1,12.0,1,6.0,1,0.0,0,0.0,0
John Fell,John,Fell,NJ,yes,0.0,0,0.0,0,0.0,0,0.0,0,591.0,1,63.0,1
William Few,William,Few,Constitution,yes,0.0,0,0.0,0,0.0,0,0.0,0,1651.0,1,20.0,1
William Few,William,Few,GA,yes,0.0,0,0.0,0,0.0,0,0.0,0,1651.0,1,20.0,1
William  Findley,William ,Findley,PA,no,2180.0,1,5.0,1,1090.0,1,3.0,1,0.0,0,0.0,0
Daniel Fisher,Daniel,Fisher,VA,yes,251.0,1,40.0,1,125.0,1,71.0,1,65.0,1,30.0,1
