,,,,,Loan Office Certificates Face Value,Loan Office Certificates Face Value,Loan Office Certificates Specie Value,Loan Office Certificates Specie Value
,,,,,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,
Aaron Austin,Aaron,Austin,CT,yes,3700,3,180.06667,3
Aaron Wood,Aaron,Wood,MA,no,600,1,66.725,1
Abraham Faw,Abraham,Faw,MD,yes,400,1,35.53889,1
Abraham Holmes,Abraham,Holmes,MA,no,13200,8,527.525,8
Abraham Smith,Abraham,Smith,MA,no,300,1,123.4917,1
Abraham White,Abraham,White,MA,no,200,1,6.386111,1
Alexander Robertson,Alexander,Robertson,VA,no,16400,17,12895.422579999999,17
Allen Samuel,Allen,Samuel,RI,yes,10000,26,2983.4804299999983,26
Allen Thomas,Allen,Thomas,RI,yes,6000,8,839.119604,8
Amos Singletary,Amos,Singletary,MA,no,1000,2,625.0278,2
Andrew Lee,Andrew,Lee,CT,yes,1100,3,269.59028,3
Andrew Woodrow,Andrew,Woodrow,VA,yes,500,2,22.69444,2
Anthony Ten Eyck,Anthony,Ten Eyck,NY,did not vote,4300,4,1107.20417,4
Anthony Wibird,Anthony,Wibird,MA,yes,1700,3,1051.1055299999998,3
Azor Orne,Azor,Orne,MA,yes,11400,29,5219.4000000000015,29
Barton William,Barton,William,RI,yes,400,1,39.87222,1
Benjamin Bellows,Benjamin,Bellows,NH,yes,6400,11,5006.7001,11
Benjamin Blaney,Benjamin,Blaney,MA,yes,700,2,79.71110999999999,2
Benjamin Browne,Benjamin,Browne,MA,yes,16600,40,3937.206760000002,40
Benjamin Dow,Benjamin,Dow,CT,yes,300,1,32.52917,1
Benjamin Edwards,Benjamin,Edwards,MD,yes,300,1,26.7375,1
Benjamin Elliott,Benjamin,Elliott,PA,yes,1700,4,526.79162,4
Benjamin Ely,Benjamin,Ely,MA,no,800,2,66.46666,2
Benjamin Franklin,Benjamin,Franklin,Constitution,yes,8100,27,8100.0,27
Benjamin Greenleaf,Benjamin,Greenleaf,MA,yes,2400,8,2400.0,8
Benjamin Hall,Benjamin,Hall,MD,yes,600,2,58.09167,2
Benjamin Hicks,Benjamin,Hicks,SC,yes,1000,5,57.16665,5
Benjamin Hinma,Benjamin,Hinma,CT,yes,800,2,525.3778,2
Benjamin Jones,Benjamin,Jones,NC,no,3000,7,265.64444000000003,7
Benjamin Lincoln,Benjamin,Lincoln,MA,yes,600,1,71.26666999999999,1
Benjamin Rush,Benjamin,Rush,PA,yes,3800,8,3800.0,8
Benjamin Smith,Benjamin,Smith,SC,yes,1400,5,244.17079999999999,5
