,,,,,Dollars,Dollars,90th,90th
,,,,,sum,count,sum,count
delegate name,First Name,Last Name,delegate_state,sign,,,,
Abraham Smith,Abraham,Smith,MA,no,4.0,1,0,0
Abraham Stout,Abraham,Stout,PA,yes,14.0,2,136.0,2
Albert Baker,Albert,Baker,NY,no,28.0,1,0,0
Alexander Hamilton,Alexander,Hamilton,Constitution,yes,160.0,1,0,0
Alexander Martin,Alexander,Martin,Constitution,no,124.0,2,110.0,2
Allen McLane,Allen,McLane,DE,yes,15.0,1,68.0,1
Allen Samuel,Allen,Samuel,RI,yes,18.0,4,67.0,2
Allen Thomas,Allen,Thomas,RI,yes,4.0,3,71.0,3
Andrew Moore,Andrew,Moore,VA,yes,95.0,1,21.0,1
Anthony Ten Eyck,Anthony,Ten Eyck,NY,did not vote,8.0,1,22,1
Arnold Benjamin,Arnold,Benjamin,RI,yes,37.0,1,54.0,1
Asa Witter,Asa,Witter,CT,yes,1.0,1,22.0,1
Asher Miller,Asher,Miller,CT,yes,41.0,4,135.0,3
Barker Joshua,Barker,Joshua,RI,yes,40.0,1,0,0
Barker Peter,Barker,Peter,RI,yes,1.0,1,86.0,1
Barton William,Barton,William,RI,yes,46.0,2,89.0,2
Benjamin Bellows,Benjamin,Bellows,NH,yes,156.0,1,22.0,1
Benjamin Browne,Benjamin,Browne,MA,yes,20.0,2,0,0
Benjamin Elliott,Benjamin,Elliott,PA,yes,43.0,2,79.0,2
Benjamin Hicks,Benjamin,Hicks,SC,yes,5.0,1,5,1
Benjamin Jones,Benjamin,Jones,NC,no,97.0,2,84.0,2
Benjamin Manning ,Benjamin,Manning ,NJ,yes,254.0,2,64.0,2
Benjamin Morse,Benjamin,Morse,MA,no,184.0,1,0,0
Benjamin Sheldon,Benjamin,Sheldon,MA,yes,52.0,1,72.0,1
Benjamin Smith,Benjamin,Smith,SC,yes,1160.0,14,243.0,6
Benjamin Temple,Benjamin,Temple,VA,no,781.0,4,144.0,4
Benjamin Thurston,Benjamin,Thurston,NH,yes,24.0,1,26,1
Bourne Benjamin,Bourne,Benjamin,RI,yes,14.0,6,88.0,4
Bradford William,Bradford,William,RI,yes,184.0,5,164.0,3
Brown Elisha,Brown,Elisha,RI,no,13.0,3,121.0,3
Brown John,Brown,John,RI,yes,1204.0,13,379.0,10
Champlin George,Champlin,George,RI,yes,16.0,4,22.0,1
Charles Burrall,Charles,Burrall,CT,yes,25.0,1,34.0,1
Charles Johnson,Charles,Johnson,NC,yes,0.0,0,0,0
Charles Phelps,Charles,Phelps,CT,yes,10.0,1,0,0
