,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
13,Jedediah,Norton,Berlin,Hartford County,CT,Jedidiah Norton,"Farmington, Hartford, Connecticut",35,1
40,John,Dow,Plainfield,Windham County,CT,John Day,"Killingley, Windham, Connecticut",97,0
43,John,Hale,Coventry,Tolland County,CT,Jno Hall,"Ellington, Tolland, Connecticut",103,0
44,John,Hale,Coventry,Tolland County,CT,Jona Hall,"Hebron, Tolland, Connecticut",104,0
49,Willam F,Miller,Farmington,Hartford County,CT,William Miller,"Glastonbury, Hartford, Connecticut",113,1
50,Willam F,Miller,Farmington,Hartford County,CT,William Miller Junior,"Glastonbury, Hartford, Connecticut",114,1
51,William Fowler,Miller,Farmington,Hartford County,CT,William Miller,"Glastonbury, Hartford, Connecticut",113,1
52,William Fowler,Miller,Farmington,Hartford County,CT,William Miller Junior,"Glastonbury, Hartford, Connecticut",114,1
156,Hezekiah,Wyllys,Hartford,Hartford County,CT,Hezekiah Wells,"East Windsor, Hartford, Connecticut",365,0
157,Hezekiah,Wyllys,Hartford,Hartford County,CT,Hezekiah Wells,"Wethersfield, Hartford, Connecticut",366,0
200,John,Stannard,Old Saybrook,Middlesex County,CT,Jno Stannard,"Saybrook, Middlesex, Connecticut",478,1
201,John,Stannard,Old Saybrook,Middlesex County,CT,"Jno, 2d Stannard II | Jno Stanmore II","Saybrook, Middlesex, Connecticut",479,1
224,William F,Miller,Farmington,Hartford County,CT,William Miller,"Glastonbury, Hartford, Connecticut",113,1
225,William F,Miller,Farmington,Hartford County,CT,William Miller Junior,"Glastonbury, Hartford, Connecticut",114,1
234,John,Howard,Hampton,Windham County,CT,Simon Howard | John Myrley,"Thompson, Windham, Connecticut",578,0
250,Samuel,Canfield,Sharon,Litchfield County,CT,Danl Canfield | Saml Camfield,"Litchfield, Litchfield, Connecticut",602,1
261,Isaac,Bronson,Suffield,Hartford County,CT,Isaac Brunson | Isaac Brown,"Southington, Hartford, Connecticut",630,0
262,Isaac,Bronson,Suffield,Hartford County,CT,Isaac Brunson,"Hartford, Hartford, Connecticut",631,0
282,Ebenezer,Bernard,Hartford,Hartford County,CT,Ebenezer Barnard,"Simsbury, Hartford, Connecticut",672,1
283,Nathaniel,Buell,Salisbury,Hillsborough County,NH,Nathl Ball | Nathl Bale,"Temple, Hillsborough, New Hampshire",684,0
284,Nathaniel,Buell,Salisbury,Hillsborough County,NH,Nathl Ball Junior,"Temple, Hillsborough, New Hampshire",685,0
288,William,Hyslop,Boston,Suffolk County,MA,Willm Hyslop,"Brookline, Suffolk, Massachusetts",694,1
289,William,Hyslop,Boston,Suffolk County,MA,Willm Hyslop Junior | Willm Hyslo Junior,"Brookline, Suffolk, Massachusetts",695,1
