,First Name,Last Name,Search Town,Search County,Search State,Name,"Home in 1790 (City, County, State)",index_new,valid
26,Eliphalet,Lester,Old Saybrook,Middlesex County,CT,Eliphalet Leister | Eliphalet Fuster,"Saybrook, Middlesex, Connecticut",38,1
75,William,Hart,Old Saybrook,Middlesex County,CT,"Willm, Esqr Hart Junior | Willm Kurt Junior","Saybrook, Middlesex, Connecticut",120,1
101,Elijah,House,Coventry,Tolland County,CT,Elijah Housie,"Hebron, Tolland, Connecticut",167,1
187,Ann,Dimon,Fairfield,Fairfield County,CT,John Dimon | John Demon,"Weston, Fairfield, Connecticut",304,0
212,William,Williams,Torrington,Litchfield County,CT,William William,"Litchfield, Litchfield, Connecticut",331,0
213,Ashbel,Steele,Hartford,Hartford County,CT,Ashbel Stiles | Ishbel Hiles,"Windsor, Hartford, Connecticut",335,0
225,Selah,Benton,Shelton,Fairfield County,CT,Sealey Benton| Selah,"Huntington, Fairfield, Connecticut",353,1
287,William,Taylor,Milford,New Haven County,CT,William Tyler | William Tylor,"Branford, New Haven, Connecticut",445,1
318,John,Mackay,Greenwich,Fairfield County,CT,John McKay | John McHay,"Norwalk and Stamford, Fairfield, Connecticut",492,1
323,Timothy,Starkey,Old Saybrook,Middlesex County,CT,"Timothy, Esqr Starkey Esquire","Saybrook, Middlesex, Connecticut",502,1
326,David,Sage,East Hampton,Middlesex County,CT,"David, Esqr Sage | David, Esqr Eug","Chatham, Middlesex, Connecticut",507,1
331,David,Lowrey,Newington,Hartford County,CT,David Lowry,"Wethersfield, Hartford, Connecticut",518,1
332,Jonathan,Fuller,Mansfield Center,Tolland County,CT,Jona Fuller| Jonathon | Josiah Fuller,"Coventry, Tolland, Connecticut",522,1
355,Abigail,Keyes,Hartford,Hartford County,CT,Joseph A Case | Joseph Bidwell,"Simsbury, Hartford, Connecticut",546,0
356,John,Shipman,Old Saybrook,Middlesex County,CT,Jno Shipman,"Saybrook, Middlesex, Connecticut",547,1
365,James,Burr,Hartford,Hartford County,CT,Amos Burr,"Windsor, Hartford, Connecticut",561,0
373,William,Mitchell,Old Saybrook,Middlesex County,CT,Wm Mitchell | Wm Michele,"Saybrook, Middlesex, Connecticut",571,1
380,William,Hill,Old Saybrook,Middlesex County,CT,Willm Hill,"Saybrook, Middlesex, Connecticut",582,1
426,Benajah,Douglass,Canaan,Litchfield County,CT,Benajah Dugliss | Benajah Lugliss,"Litchfield, Litchfield, Connecticut",666,1
517,John Paul,Grimke,Charleston,Charleston County,SC,John F Grimkie | John F Grimkee | John F Grimke,"St Phillips and St Michaels, Charleston, South Carolina",805,1
519,John Faucheraud,Grimke,Charleston,Charleston County,SC,John F Grimkie | John F Grimkee | John F Grimke,"St Phillips and St Michaels, Charleston, South Carolina",805,1
534,Jeremiah,Dickinson,Charleston,Charleston County,SC,Jeremiah Dickenson,"St Phillips and St Michaels, Charleston, South Carolina",832,1
543,Adam,Gilchrist,Charleston,Charleston County,SC,Adam Gilcrist,"St Phillips and St Michaels, Charleston, South Carolina",854,1
609,Josiah Carvell,Hall,Baltimore,Baltimore County,MD,Josias Carvel Hall,"Patapsco Lower Hundred, Baltimore, Maryland",971,1
