,full_name,state,amount_total
0,Aaron Wood,ma,666.725
1,Abraham Faw,md,435.53889
2,Abraham Stout,pa,14.0
3,Abraham White,ma,206.386111
4,Albert Baker,ny,28.0
5,Amos Singletary,ma,1625.0277999999998
6,Andrew Lee,ct,1330.60139
7,Anthony Ten Eyck,ny,3415.20417
8,Anthony Wibird,ma,2751.10553
9,Asa Witter,ct,1.0
10,Asher Miller,ct,41.0
11,Azor Orne,ma,12081.8
12,Benjamin Bellows,nh,6209.9112000000005
13,Benjamin Blaney,ma,779.71111
14,Benjamin Browne,ma,322.8625
15,Benjamin Dow,ct,332.52917
16,Benjamin Elliott,pa,10.0
17,Benjamin Ely,ma,833.23333
18,Benjamin Greenleaf,ma,3300.0
19,Benjamin Hall,md,658.09167
20,Benjamin Lincoln,ma,671.26667
21,Benjamin Rush,pa,5500.0
22,Benjamin Sheldon,ma,52.0
23,Caleb Davis,ma,3231.58334
24,Caleb Strong,ma,412.416666
25,Charles Burrall,ct,25.0
26,Charles Chilton,md,2184.15
27,Charles Phelps,ct,974.6556
28,Charles Ridgely,md,6570.0833999999995
29,Charles Turner,ma,2910.02778
30,Charles Whitman,ma,324.84583
31,Comstock Betts,ma,35.0
32,Cornelius Higgins,ct,1.0
33,Cotton Tufts,ma,334.04583
34,Daniel Everitt,ct,1.0
35,Daniel Foot,ct,420.2083
36,Daniel Hall,ct,5.0
37,Daniel Holbrook,ct,16.0
38,Daniel Miles,ct,2952.41665
39,Daniel Shute,ma,2677.6180400000003
40,Daniel Whitney,ma,18.0
41,David Brearley,nj,331.71667
42,David Deshler,pa,77317.45693
43,David Gilmore,ma,2077.47779
44,David Grier,pa,196.0
45,David Hopkins,ny,161.0
46,David Todd,ct,37.0
47,Dirck Wynkoop,ny,2123.5583
48,Ebenezer Clark,ny,18.0
49,Ebenezer Nash,ct,467.25
50,Ebenezer Wales,ma,374.04167
51,Ebenezer Warren,ma,477.62080000000003
52,Ebenezer White,ct,1093.05003
53,Eliphalet Dyer,ct,16829.040269999998
54,Elisha Lawrence,nj,393.0
55,Elisha Mills,ct,18762.2529
56,Elisha Pitkin,ct,1.0
57,Enoch Edwards,pa,40.0
58,Ephraim Root,ct,7.0
59,Ezra Green,nh,222.81110999999999
60,Francis Dana,ma,4840.4445
61,Frederick A. Muhlenberg,pa,410.0
62,George Clinton,ny,57017.89452
63,George Gray,pa,4.0
64,George Payson,ma,11.0
65,Gideon Buckingham,ct,435.4917
66,Henry Slagle,pa,870.51388
67,Henry Wisner,ny,3117.0
68,Henry Wynkoop,pa,4079.08333
69,Hezekiah Brainard,ct,430.97778
70,Hezekiah Holcomb,ct,8.0
71,Hezekiah Lane,ct,8.0
72,Ichabod Warner,ct,9766.638893
73,Isaac Foot,ct,957.4417000000001
74,Isaac Lee,ct,270.98333
75,Isaac Perkins,md,2735.45
76,Isaac Roosevelt,ny,4500.0
77,Israel Clark,ma,326.48333
78,Jabez Chapman,ct,15.0
79,Jabez Fitch,ct,327.69583
80,Jacob Willard,ma,1389.2639
81,Jacobus Swartwout,ny,282.0
82,James Black,de,7287.999970000001
83,James Campbell,pa,12070.71531
84,James Clinton,ny,788.0
85,James Duane,ny,288.0
86,James Marshall,pa,2054.84722
87,James Martin,pa,36.0
88,James Morris,pa,10403.43333
89,James Wilson,pa,7233.91531
90,Jasper Yeates,pa,1387.4375
91,Jedediah Huntington,ct,29026.711139
92,Jeremiah Fogg,nh,2655.38889
93,Jeremiah Halsey,ct,1517.56111
94,Jeremiah Wadsworth,ct,76795.09859
95,Jesse Johnson,nh,3750.33333
96,Jesse Woodhull,ny,4880.0
97,John Allison,pa,241.85
98,John Arndt,pa,1205.52083
99,John Ashley,ma,62.0
100,John Baird,pa,70.0
101,John Baxter,ma,223.04444
102,John Bay,ny,291.0
103,John Bishop,pa,4072.5
104,John Black,pa,5616.63889
105,John Boyd,pa,6156.0875
106,John Brooks,ma,3879.40273
107,John Burnham,ma,228.50278
108,John Calfe,nh,442.28889000000004
109,John Cantine,ny,32.0
110,John Chester,ct,7.0
111,John Chetwood,nj,3139.0
112,John Coffin Jones,ma,10346.9041
113,John Coulter,md,1446.75
114,John Davis,ma,1.0
115,John Done,md,1688.7944400000001
116,John Dunlap,ma,208.188889
117,John Elliot,ct,2400.0
118,John Fell,nj,3304.8417
119,John Frey,ny,35.0
120,John Frye,ma,967.7125
121,John Fuller,ma,1009.654167
122,John Glover,ma,20696.38476
123,John Hannum,pa,25.0
124,John Haring,ny,1190.0
125,John Harris,pa,11951.88887
126,John Holbrook,ct,452.31111
127,John Hubley,pa,540.75
128,John Hunn,pa,14087.59305
129,John Jay,ny,9220.3542
130,John Jones,de,31559.6528
131,John Langdon,nh,46994.93344
132,John Ludwig,pa,1039.5
133,John Minot,ma,10752.295839999999
134,John Neilson,nj,2876.21528
135,John Nevill,pa,776.0
136,John Parnham,md,216.45833
137,John Phelps,ct,2005.0
138,John Pratt,ma,2493.02218
139,John Reynolds,pa,671.0
140,John Richards,pa,3642.76666
141,John Smith,ny,3913.63889
142,John Sprague,ma,41403.355563
143,John Stevens,md,649.85
144,John Stevens,nj,383181.240243
145,John Stewart,md,422.01944
146,John Taylor,ma,15524.912400000001
147,John Taylor Gilman,nh,12306.61111
148,John Watson,ct,11.0
149,John Weeks,nh,331.38889
150,John Whitehill,pa,221.76944
151,John Williams,ny,918.66666
152,John Winn,ny,255.0
153,John Winthrop,ma,6409.9542
154,John Wood,ny,399.90139
155,Jonathan Chase,nh,4694.9111
156,Jonathan Cogswell,ma,4455.37916
