,title_org,title_new,first_name_org,last_name_org,first_name_new,last_name_new,cleaning case,file_loc,org_index
0,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,491
1,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,492
2,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,493
3,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,494
4,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,495
5,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,496
6,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,497
7,,,Henry Wisner & Co,nan,Henry,Wisner,2,liquidated_debt_certificates_NY.xlsx,498
8,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,731
9,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,732
10,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,733
11,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,734
12,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,735
13,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,736
14,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,737
15,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,738
16,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,739
17,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,740
18,,,James Vernon & Co,nan,James,Vernon,2,liquidated_debt_certificates_NY.xlsx,741
19,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,742
20,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,743
21,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,744
22,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,745
23,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,746
24,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,747
25,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,748
26,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,749
27,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,750
28,,,John Taylor & Co,nan,John,Taylor,2,liquidated_debt_certificates_NY.xlsx,751
29,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,752
30,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,753
31,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,754
32,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,755
33,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,756
34,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,757
35,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,758
36,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,759
37,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,760
38,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,761
39,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,762
40,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,763
41,,,Richard Lush & co,nan,Richard,Lush,2,liquidated_debt_certificates_NY.xlsx,764
42,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,777
43,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,778
44,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,779
45,,,James Satta & Co,nan,James,Satta,2,liquidated_debt_certificates_NY.xlsx,804
46,,,Daniel Hudson & Co,nan,Daniel,Hudson,2,liquidated_debt_certificates_NY.xlsx,951
47,,,Lewis Dubois & Co,nan,Lewis,Dubois,2,liquidated_debt_certificates_NY.xlsx,1019
48,,,Isaac Lefever & Co,nan,Isaac,Lefever,2,liquidated_debt_certificates_NY.xlsx,1020
49,,,Benjamin Frier & Co,nan,Benjamin,Frier,2,liquidated_debt_certificates_NY.xlsx,1021
50,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1730
51,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1731
52,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1732
53,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1733
54,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1734
55,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1735
56,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1736
57,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1737
58,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1738
59,,,Cornelius Glen & Co,nan,Cornelius,Glen,2,liquidated_debt_certificates_NY.xlsx,1739
60,,,Thomas Sickels & Co,nan,Thomas,Sickels,2,liquidated_debt_certificates_NY.xlsx,1740
61,,,Eli Arnold & co,nan,Eli,Arnold,2,liquidated_debt_certificates_NY.xlsx,1844
62,,,Cornelius Wendell & co,nan,Cornelius,Wendell,2,liquidated_debt_certificates_NY.xlsx,1964
