,index,city,county,state,country,population
0,0,Bristol,Bristol,Rhode Island,USA ,253
1,1,Hartford,Hartford,Connecticut,USA ,666
2,2,North Scituate,Providence,Rhode Island,USA ,NR
3,3,New Haven,New Haven,Connecticut,USA ,919
4,4,Portsmouth,Rockingham,New Hampshire,USA ,893
5,5,Killingworth,Middlesex,Connecticut,USA ,390
6,6,Charleston,Charleston,South Carolina,USA ,NR
7,7,Providence,Providence,Rhode Island,USA ,1131
8,8,East Hartford,Hartford,Connecticut,USA ,473
9,9,Philadelphia,Philadelphia,Pennsylvania,USA ,NR
10,10,New Milford,Litchfield,Connecticut,USA ,555
11,11,Woodstock,Windham,Connecticut,USA ,40970
12,12,Sharon,Litchfield,Connecticut,USA ,NR
13,13,Durham,Middlesex,Connecticut,USA ,NR
14,14,Derby,New Haven,Connecticut,USA ,562
15,15,Canterbury,Rockingham,New Hampshire,USA ,NR
16,16,Windsor,Hartford,Connecticut,USA ,456
17,17,Colchester,New London,Connecticut,USA ,NR
18,18,Rowley,Essex,Massachusetts,USA ,328
19,19,Wethersfield,Hartford,Connecticut,USA ,685
20,20,Thompson,Windham,Connecticut,USA ,352
21,21,New York City,New York,New York,USA ,NR
22,22,Middletown,Middlesex,Connecticut,USA ,943
23,23,Wallingford,New Haven,Connecticut,USA ,656
24,24,East Hampton,Middlesex,Connecticut,USA ,NR
25,25,Waterbury,New Haven,Connecticut,USA ,553
26,26,Tiverton,Newport,Rhode Island,USA ,407
27,27,Whitehall,Northampton,Pennsylvania,USA ,203
28,28,Stratford,Fairfield,Connecticut,USA ,548
29,29,Woodstock,Ulster,New York,USA ,169
30,30,Windsor,York,Pennsylvania,USA ,254
31,31,Pittsburgh,Allegheny,Pennsylvania,USA ,77
32,32,Amenia,Dutchess,New York,USA ,441
33,33,Foster,Providence,Rhode Island,USA ,363
34,34,Abbeville,Abbeville,South Carolina,USA ,NR
35,35,Middle Paxton Township,Dauphin,Pennsylvania,USA ,NR
36,36,Lancaster Borough,Lancaster,Pennsylvania,USA ,680
37,37,Reading,Berks,Pennsylvania,USA ,435
38,38,Tyringham,Berkshire,Massachusetts,USA ,237
39,39,Baltimore,Baltimore,Maryland,USA ,NR
40,40,Westfield,Washington,New York,USA ,NR
41,41,Warwick,Orange,New York,USA ,571
42,42,Chanceford,York,Pennsylvania,USA ,296
43,43,Windham,Windham,Connecticut,USA ,414
44,44,Schachticoke,Albany,New York,USA ,NR
45,45,Bullskin,Fayette,Pennsylvania,USA ,159
46,46,Farmington,Hartford,Connecticut,USA ,443
47,47,Bolton,Tolland,Connecticut,USA ,228
48,48,Lebanon,Windham,Connecticut,USA ,574
49,49,Coventry,Kent,Rhode Island,USA ,395
50,50,Preston,New London,Connecticut,USA ,NR
51,51,Johnston,Providence,Rhode Island,USA ,NR
52,52,Warwick,Kent,Rhode Island,USA ,11323
53,53,New Hartford,Litchfield,Connecticut,USA ,NR
54,54,Pelham,Hillsborough,New Hampshire,USA ,NR
55,55,Alstead,Cheshire,New Hampshire,USA ,191
56,56,East Haddam,Middlesex,Connecticut,USA ,830
57,57,Lancaster Township,Lancaster,Pennsylvania,USA ,54
58,58,Newport,Newport,Rhode Island,USA ,1243
59,59,Fairfield,Fairfield,Connecticut,USA ,707
60,60,Sutton,Worcester,Massachusetts,USA ,448
61,61,Norwich,New London,Connecticut,USA ,NR
62,62,Bushwick,Kings,New York,USA ,NR
63,63,Smithfield,Providence,Rhode Island,USA ,494
64,64,Johns Island,Charleston,South Carolina,USA ,NR
65,65,Georgetown,Georgetown,South Carolina,USA ,NR
66,66,Annapolis,Anne Arundel,Maryland,USA ,NR
67,67,Fishkill,Dutchess,New York,USA ,888
68,68,Stamford,Fairfield,Connecticut,USA ,1840
69,69,East Lyme,New London,Connecticut,USA ,NR
70,70,Plainfield,Windham,Connecticut,USA ,239
71,71,Watervliet,Albany,New York,USA ,1097
72,72,Lower Saucon,Northampton,Pennsylvania,USA ,179
73,73,Rensselaerwick,Albany,New York,USA ,NR
74,74,Coxsackie,Albany,New York,USA ,NR
75,75,East Greenwich,Kent,Rhode Island,USA ,296
76,76,Portion Taken From Washington,Allegheny,Pennsylvania,USA ,1077
77,77,Norfolk,Litchfield,Connecticut,USA ,NR
78,78,Milford,New Haven,Connecticut,USA ,446
79,79,Weathersfield,Windsor,Vermont,USA ,207
80,80,Canaan,Litchfield,Connecticut,USA ,NR
81,81,Rehoboth,Bristol,Massachusetts,USA ,832
82,82,Suffield,Hartford,Connecticut,USA ,407
83,83,Hudson,Columbia,New York,USA ,382
84,84,Amherst,Hillsborough,New Hampshire,USA ,384
85,85,Guilford,New Haven,Connecticut,USA ,731
86,86,Wakefield,Carroll,New Hampshire,USA ,NR
87,87,Bern,Berks,Pennsylvania,USA ,379
88,88,Halifax,Halifax,North Carolina,USA ,52790
89,89,New London,New London,Connecticut,USA ,NR
90,90,Shelton,Fairfield,Connecticut,USA ,NR
91,91,Groton,New London,Connecticut,USA ,NR
92,92,Warren,Bristol,Rhode Island,USA ,200
93,93,Wells,York,Massachusetts,USA ,NR
94,94,Minisink,Orange,New York,USA ,370
95,95,Coventry,Tolland,Connecticut,USA ,336
96,96,Voluntown,New London,Connecticut,USA ,NR
97,97,West Greenwich,Kent,Rhode Island,USA ,300
98,98,Barrington,Strafford,New Hampshire,USA ,420
99,99,Southbury,New Haven,Connecticut,USA ,NR
100,100,North Hampton,Rockingham,New Hampshire,USA ,NR
101,101,Charlestown,Washington,Rhode Island,USA ,NR
102,102,Norwalk,Fairfield,Connecticut,USA ,1840
103,103,Andover,Essex,Massachusetts,USA ,573
104,104,Patapsco Lower Hundred,Baltimore,Maryland,USA ,NR
105,105,Little Compton,Kent,Rhode Island,USA ,NR
106,106,Kensington,Rockingham,New Hampshire,USA ,146
107,107,Georgetown,Cecil,Maryland,USA ,NR
108,108,Ashford,Windham,Connecticut,USA ,393
109,109,Litchfield,Litchfield,Connecticut,USA ,3368
110,110,Bozrah,New London,Connecticut,USA ,NR
111,111,Dover,Strafford,New Hampshire,USA ,318
112,112,Catskill,Albany,New York,USA ,NR
113,113,Schenectady,Albany,New York,USA ,NR
114,114,North Providence,Providence,Rhode Island,USA ,183
115,115,Gloucester,Providence,Rhode Island,USA ,NR
116,116,Exeter,Washington,Rhode Island,USA ,425
117,117,North Kingston,Washington,Rhode Island,USA ,NR
118,118,Chesterfield,Hampshire,Massachusetts,USA ,190
119,119,Lancaster,Lancaster,Pennsylvania,USA ,734
120,120,New Bern,Craven,North Carolina,USA ,NR
121,121,Hoosick,Albany,New York,USA ,NR
122,122,Sudbury,Middlesex,Massachusetts,USA ,384
123,123,East Nantmill,Chester,Pennsylvania,USA ,319
124,124,York,York,Pennsylvania,USA ,641
125,125,Cranston,Providence,Rhode Island,USA ,315
126,126,New Germantown,Perry,Pennsylvania,USA ,NR
127,127,Kittery,York,Massachusetts,USA ,NR
128,128,Unknown Township,St Marys,Maryland,USA ,1550
129,129,North Kingstown,Washington,Rhode Island,USA ,NR
130,130,Elizabeth,Lancaster,Pennsylvania,USA ,86
131,131,Hopewell,Newton,Tyborn and Westpensboro,Cumberland,3020
132,132,Stonington,New London,Connecticut,USA ,NR
133,133,Springfield,Hampshire,Massachusetts,USA ,650
134,134,Palatine,Montgomery,New York,USA ,474
135,135,Heidelberg,Berks,Pennsylvania,USA ,362
136,136,Swansea,Bristol,Massachusetts,USA ,NR
137,137,Hampton,Rockingham,New Hampshire,USA ,154
138,138,Exeter,Rockingham,New Hampshire,USA ,287
139,139,Lebanon,Grafton,New Hampshire,USA ,225
140,140,Kingston,Ulster,New York,USA ,536
141,141,Livingston,Columbia,New York,USA ,744
142,142,Albany Ward 3,Albany,New York,USA ,NR
143,143,Bristol,Hartford,Connecticut,USA ,441
144,144,Sandwich,Carroll,New Hampshire,USA ,NR
145,145,Hebron,Tolland,Connecticut,USA ,345
146,146,Willistown,Chester,Pennsylvania,USA ,125
147,147,Baltimore Town,Baltimore,Maryland,USA ,NR
148,148,Tolland,Tolland,Connecticut,USA ,40970
149,149,Hollis,Hillsborough,New Hampshire,USA ,242
150,150,Concord,Grafton,New Hampshire,USA ,NR
151,151,Boston,Suffolk,Massachusetts,USA ,3358
152,152,Huntington,Suffolk,New York,USA ,582
153,153,Branford,New Haven,Connecticut,USA ,391
154,154,Stoughton,Norfolk,Massachusetts,USA ,NR
155,155,Keene,Cheshire,New Hampshire,USA ,208
156,156,Pawling,Dutchess,New York,USA ,677
157,157,Attleboro,Bristol,Massachusetts,USA ,NR
158,158,Greenwich,Fairfield,Connecticut,USA ,321
159,159,Worcester,Worcester,Massachusetts,USA ,325
160,160,Ipswich,Essex,Massachusetts,USA ,881
161,161,Weston,Fairfield,Connecticut,USA ,437
162,162,Mansfield Center,Tolland,Connecticut,USA ,NR
163,163,Cambridge,Albany,New York,USA ,NR
164,164,East Windsor,Hartford,Connecticut,USA ,481
165,165,Tamworth,Carroll,New Hampshire,USA ,NR
166,166,Montville,New London,Connecticut,USA ,NR
167,167,York Township,York,Pennsylvania,USA ,NR
168,168,Bedford,Westchester,New York,USA ,420
169,169,North Castle,Westchester,New York,USA ,400
170,170,Haverhill,Essex,Massachusetts,USA ,434
171,171,Charlestown,Chester,Pennsylvania,USA ,211
172,172,Newington,Hartford,Connecticut,USA ,NR
173,173,Haverstraw,Orange,New York,USA ,NR
174,174,York,York,Massachusetts,USA ,NR
175,175,Stephen Town,Albany,New York,USA ,NR
176,176,Rensselaerville,Albany,New York,USA ,499
177,177,Torrington,Litchfield,Connecticut,USA ,NR
178,178,Glastonbury,Hartford,Connecticut,USA ,468
179,179,Durham,Strafford,New Hampshire,USA ,230
180,180,Littleton,Middlesex,Massachusetts,USA ,158
181,181,Newbury,Hillsborough,New Hampshire,USA ,NR
182,182,Claverack,Columbia,New York,USA ,471
183,183,Herkimer,Montgomery,New York,USA ,NR
184,184,Cambridge,Middlesex,Massachusetts,USA ,372
185,185,Salem,Rockingham,New Hampshire,USA ,207
186,186,South Hampton,Suffolk,New York,USA ,NR
187,187,Willington,Tolland,Connecticut,USA ,208
188,188,Mount Pleasant,Westchester,New York,USA ,303
189,189,Old Saybrook,Middlesex,Connecticut,USA ,560
190,190,Cumberland,Providence,Rhode Island,USA ,313
191,191,Barrington,Bristol,Rhode Island,USA ,115
192,192,Hopkinton,Hillsborough,New Hampshire,USA ,NR
193,193,Gloucester,Essex,Massachusetts,USA ,1007
194,194,Newburyport,Essex,Massachusetts,USA ,940
195,195,Carlisle,Cumberland,Pennsylvania,USA ,NR
196,196,Canterbury,Windham,Connecticut,USA ,288
197,197,Goshen,Litchfield,Connecticut,USA ,NR
198,198,Newton,Rockingham,New Hampshire,USA ,NR
199,199,Mixed Township,York,Pennsylvania,USA ,2567
200,200,New Windsor,Ulster,New York,USA ,NR
201,201,German Flatts,Montgomery,New York,USA ,NR
202,202,Kingston,Washington,Rhode Island,USA ,658
203,203,Unity,Westmoreland,Pennsylvania,USA ,205
204,204,Greenland,Rockingham,New Hampshire,USA ,105
205,205,Manor of Moreland,Montgomery,Pennsylvania,USA ,224
206,206,Newburgh,Ulster,New York,USA ,NR
207,207,Norton,Bristol,Massachusetts,USA ,246
208,208,Springfield,Delaware,Pennsylvania,USA ,67
209,209,Londonderry,Rockingham,New Hampshire,USA ,422
210,210,Tulpehocken,Berks,Pennsylvania,USA ,390
211,211,Albany Ward 2,Albany,New York,USA ,NR
212,212,Cambridge,Dorchester,Maryland,USA ,NR
213,213,Goshen,Orange,New York,USA ,343
214,214,Hempfield,Westmoreland,Pennsylvania,USA ,NR
215,215,Murfreesboro,Hertford,North Carolina,USA ,NR
216,216,Cornwall,Litchfield,Connecticut,USA ,256
217,217,Canaan,Columbia,New York,USA ,1020
