,town,state,new_town,county,new_state,country,name_type
0,Hartford,CT,Hartford,Hartford County,CT,US,town
1,Bolton,CT,Bolton,Tolland County,CT,US,town
2,Rhode Island,RI,,,RI,US,state
3,Wethersfield,CT,Wethersfield,Hartford County,CT,US,town
4,Lyme,CT,East Lyme,New London County,CT,US,town
5,New Haven,CT,New Haven,New Haven County,CT,US,town
6,Farmington,CT,Farmington,Hartford County,CT,US,town
7,New London,CT,New London,New London County,CT,US,town
8,Cornwall,CT,Cornwall,Litchfield County,CT,US,town
9,Stamford,CT,Stamford,Fairfield County,CT,US,town
10,East Hartford,CT,East Hartford,Hartford County,CT,US,town
11,Bristol,CT,Bristol,Hartford County,CT,US,town
12,Lebanon,CT,Lebanon,Windham County,CT,US,town
13,Windsor,CT,Windsor,Hartford County,CT,US,town
14,Southhampton,CT,Southampton,Windham County,CT,US,town
15,Suffield,CT,Suffield,Hartford County,CT,US,town
16,Chatham,CT,East Hampton,Middlesex County,CT,US,town
17,Berlin,CT,Berlin,Hartford County,CT,US,town
18,Glastonbury,CT,Glastonbury,Hartford County,CT,US,town
19,Saybrook,CT,Old Saybrook,Middlesex County,CT,US,town
20,Stafford,CT,Stafford,Tolland County,CT,US,town
21,Hebron,CT,Hebron,Tolland County,CT,US,town
22,Middletown,CT,Middletown,Middlesex County,CT,US,town
23,,CT,,,CT,US,state
24,East Windsor,CT,East Windsor,Hartford County,CT,US,town
25,Boston,MA,Boston,Suffolk County,MA,US,town
26,Norwich,CT,Norwich,New London County,CT,US,town
27,Springfield,MA,Springfield,Hampshire County,MA,US,town
28,Preston,CT,Preston,New London County,CT,US,town
29,Sharon,CT,Sharon,Litchfield County,CT,US,town
30,Somers,CT,Somers,Tolland County,CT,US,town
31,Goshen,CT,Goshen,Litchfield County,CT,US,town
32,Torrington,CT,Torrington,Litchfield County,CT,US,town
33,Watertown,CT,Watertown,Litchfield County,CT,US,town
34,Stonington,CT,Stonington,New London County,CT,US,town
35,Colchester,CT,Colchester,New London County,CT,US,town
36,Fairfield,CT,Fairfield,Fairfield County,CT,US,town
37,Guilford,CT,Guilford,New Haven County,CT,US,town
38,Enfield,CT,Enfield,Hartford County,CT,US,town
39,Plainfield,CT,Plainfield,Windham County,CT,US,town
40,Coventry,CT,Coventry,Tolland County,CT,US,town
41,State of New York,NY,,,NY,US,state
42,Groton,CT,Groton,New London County,CT,US,town
43,Mansfield,CT,Mansfield Center,Tolland County,CT,US,town
44,Bozrah,CT,Bozrah,New London County,CT,US,town
45,Derby,CT,Derby,New Haven County,CT,US,town
46,Huntington,CT,Shelton,Fairfield County,CT,US,town
47,Woodstock,CT,Woodstock,Windham County,CT,US,town
48,Windham,CT,Windham,Windham County,CT,US,town
49,Stratford,CT,Stratford,Fairfield County,CT,US,town
50,Brooklyn,CT,Brooklyn,Windham County,CT,US,town
51,State of Vermont,VT,,,VT,US,state
52,Haddam,CT,Haddam,Middlesex County,CT,US,town
53,Tolland,CT,Tolland,Tolland County,CT,US,town
54,Danbury,CT,Danbury,Fairfield County,CT,US,town
55,Newington,CT,Newington,Hartford County,CT,US,town
56,Litchfield,CT,Litchfield,Litchfield County,CT,US,town
57,Tyringham MA,MA,Tyringham,Berkshire County,MA,US,town
58,Milford,CT,Milford,New Haven County,CT,US,town
59,Pomfret,CT,Pomfret,Windham County,CT,US,town
60,Killingworth,CT,Killingworth,Middlesex County,CT,US,town
61,Sturbridge MA,MA,Sturbridge,Worcester County,MA,US,town
62,Newport State of Rhode Island,RI,Newport,Newport County,RI,US,town
63,Granby,CT,Granby,Hartford County,CT,US,town
64,Roxbury,CT,Roxbury,Litchfield County,CT,US,town
65,New Hartford,CT,New Hartford,Litchfield County,CT,US,town
66,Northampton,CT,Hampton,Windham County,CT,US,town
67,East Haddam,CT,East Haddam,Middlesex County,CT,US,town
68,Greenwich,CT,Greenwich,Fairfield County,CT,US,town
69,New Milford,CT,New Milford,Litchfield County,CT,US,town
70,Canaan,CT,Canaan,Litchfield County,CT,US,town
71,Montville,CT,Montville,New London County,CT,US,town
72,Norwalk,CT,Norwalk,Fairfield County,CT,US,town
73,Providence,RI,Providence,Providence County,RI,US,town
74,City of New York,NY,New York City,New York County,NY,US,town
75,Tyringham Massachusetts,MA,Tyringham,Berkshire County,MA,US,town
76,Canterbury,CT,Canterbury,Windham County,CT,US,town
77,Charleston State of New Hampshire,NH,Charlestown,Sullivan County,NH,US,town
78,New York,NY,,,NY,US,state
79,Branford,CT,Branford,New Haven County,CT,US,town
80,Ashford,CT,Ashford,Windham County,CT,US,town
81,Willington,CT,Willington,Tolland County,CT,US,town
82,Hadley Massachusetts,MA,Hadley,Hampshire County,MA,US,town
83,Southbury,CT,Southbury,New Haven County,CT,US,town
84,Reading,CT,Redding,Fairfield County,CT,US,town
85,Boston state Massachusetts,MA,Boston,Suffolk County,MA,US,town
86,Worcester State Massachusetts,MA,Worcester,Worcester County,MA,US,town
87,North Haven,CT,North Haven,New Haven County,CT,US,town
88,Symsbury,CT,Simsbury,Hartford County,CT,US,town
89,Woodbury,CT,Woodbury,Litchfield County,CT,US,town
90,State Vermont,VT,,,VT,US,state
91,Vermont,CT,,,VT,US,state
