,old,new,type,state
526,"{'Milford', 'Miford'}",Milford,town,CT
799,"{'Norwich', 'Nowich'}",Norwich,town,CT
526,"{'Milford', 'Miford'}",Milford,town,CT
799,"{'Norwich', 'Nowich'}",Norwich,town,CT
14,"{'Carlisle Pennsylvania', 'Carlisle'}",Carlisle Pennsylvania,town,PA
39,"{'Connecticut', 'Conecticutt'}",Connecticut,town,PA
40,"{'Newcastle Delaware', 'New Castle Delaware'}",New Castle Delaware,town,PA
113,"{'Philadelphia', 'Philadelphia County'}",Philadelphia County,town,PA
131,"{'State of Delaware', 'State of Delawere'}",State of Delaware,town,PA
210,"{'Connecticut', 'Connecticutt'}",Connecticutt,town,PA
221,"{'Bucks County Pennsylvania', 'Bucks County'}",Bucks County Pennsylvania,town,PA
267,"{'Reading', 'Reading Berks County'}",Reading Berks County,town,PA
276,"{'Reading Berks County', 'Reading Pennsylvania'}",Reading Berks County,town,PA
293,"{'Northumb Country', 'Northumberland'}",Northumb Country,town,PA
300,"{'Lancaster', 'Philadelphia'}",Philadelphia,town,PA
473,"{'Yorktown', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
477,"{'Pennsylvania', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
485,"{'Allegan County Pennsylvania', 'Allegheny County Pennsylvania'}",Allegheny County Pennsylvania,town,PA
506,"{'Philadelphia', 'The N Lib of Philadelphia'}",The N Lib of Philadelphia,town,PA
508,"{'Pennsylvania Berks County', 'Berks County Pennsylvania'}",Pennsylvania Berks County,town,PA
510,"{'Pennsylvania Montgomery County', 'Montgomery County Pennsylvania'}",Pennsylvania Montgomery County,town,PA
513,"{'Pennsylvania Franklin County', 'Franklin County Pennsylvania'}",Pennsylvania Franklin County,town,PA
517,"{'Dauphin County Pennsylvania', 'Dauphin County'}",Dauphin County Pennsylvania,town,PA
522,"{'Charleston South Carolina', 'Charles Town'}",Charleston South Carolina,town,PA
523,"{'Lancaster', 'Lancaster Pennsylvania'}",Lancaster Pennsylvania,town,PA
528,"{'Pittsburgh', 'Pittsburgh Pennsylvania'}",Pittsburgh Pennsylvania,town,PA
530,"{'Lancaster County Pennsylvania', 'Lancaster County'}",Lancaster County Pennsylvania,town,PA
535,"{'New Jersey', 'Brunswick New Jersey'}",Brunswick New Jersey,town,PA
539,"{'St Eustatia', 'St Eustalia'}",St Eustatia,town,PA
541,"{'Berks County', 'Berks County Pennsylvania'}",Berks County Pennsylvania,town,PA
550,"{'Lancaster', 'Lancaster County Pennsylvania'}",Lancaster County Pennsylvania,town,PA
552,"{'Berks County', 'Bucks County Pennsylvania'}",Bucks County Pennsylvania,town,PA
563,"{'Berks County', 'Philadelphia'}",Berks County,town,PA
569,"{'Lancaster County Pennsylvania', 'Lancaster Co'}",Lancaster County Pennsylvania,town,PA
