original text,Last Name 1 ,Last Name 2
,,
Lee & Jones,Lee,Jones
Clark & Nightingale,Clark,Nightingale
Pitts & Call,Pitts,Call
Pitts & Call,Pitts ,Call
Bryant & Dennie,Bryant,Dennie
Hubbart & Greene,Hubbart,Greene
Hunt & Sherburne,Hunt,Sherburne
Vose & Crocher,Vose ,Crocher
Homans & Blake,Homans ,Blake
Otis & Andrews,Otis,Andrews
Blake & Homans,Blake ,Homans
Kemble & Thomas,Kemble ,Thomas
Parker & Eustis,Parker,Eustis
Cushing & White,Cushing,White
Procter & Lowell,Procter ,Lowell
,Pierce,
,Halsey,
Estate of General Montgomery,Montgomery,
Mercer and Skenk,Mercer,Skenk
,Wetherspoon,
Forman & Hunt,Forman,Hunt
Ogden & Curti,Ogden,Curti
Forman and Hunt,Forman,Hunt
Hendrick & Clears,Hendrick,Clears
Prior & Joy,Prior,Joy
Benezet & Backman,Benezet,Backman
Simons & Henry,Simons,Henry
Rotch and Jarvis,Rotch,Jarvis
Levy and Levy,Levy,Levy
Milner and Haynes,Milner,Haynes
Chalone and White,Chalone,White
Charles & White,Charles,White
Milner and Sherr,Milner,Sherr
Craig & Cummins,Craig,Cummins
Furman and Hunt,Furman,Hunt
Furman & Yard,Furman,Yard
Sam and Havard,Sam,Havard
Tramen and Hunt,Tramen,Hunt
Peter and Dumont,Peter,Dumont
Michael and Hohn,Michael,Hohn
Hezekiah and Hooghtalm,Hezekiah,Hooghtalm
Taylor & Alexander,Taylor,Alexander
Jayber And Mesander,Jayber,Mesander
Keph and Doryea,Keph,Doryea
Wood & Cuyler,Wood,Cuyler
Messer And Spark,Messer,Spark
Mercer & Schenk,Mercer,Schenk
Geo Mese & Co Caldwell,Geo Mese  Co,Caldwell
Levi & Levi,Levi,Levi
VanUhsam & Clarks,VanUhsam,Clarks
Michael & Cart,Michael,Cart
Ruten of Chais,Ruten,
Samuel and Rea,Samuel,Rea
Dubois & Hutman,Dubois,Hutman
Paris Brothers and co.,Paris,
Peter & Henry,Peter,Henry
Meredith & Clymer,Meredith,Clymer
Meredith and Plymir,Meredith,Plymir
Meredith and Clymer,Meredith,Clymer
Rutter and Potts,Rutter,Potts
Ferrason and Pocy,Ferrason,Pocy
Terrason and Pory,Terrason,Pory
North & Trescott,North,Trescott
Foulke and Hameren,Foulke,Hameren
McCulloch and Peterson,McCulloch,Peterson
Read and Gilpin,Read,Gilpin
Glan and McClay,Glan,McClay
Rogers and Cooke,Rogers,Cooke
Wallace and Davidson,Wallace,Davidson
Eastman and Neth,Eastman,Neth
Allison and Ramsey,Allison,Ramsey
Wilkins and Gassaway,Wilkins,Gassaway
Hooe and Harrisons,Hooe,Harrisons
Russell and Gilmore,Russell,Gilmore
Richard and Jennings,Richard,Jennings
Kirsley and Monrow,Kirsley,Monrow
Hec and Harrisons,Hec,Harrisons
McLure and Sterrett,McLure,Sterrett
Russell and Gilmour,Russell,Gilmour
Davis & Morris,Davis,Morris
Phripp & Bondoin,Phripp,Bondoin
Newton & Kelly,Newton,Kelly
Ker & Lyon,Ker,Lyon
Keel & Roberts,Keel,Roberts
Roulhac & Compy,Roulhac,Compy
Milner & Haynes,Milner,Haynes
Mitchell & Graham,Mitchell,Graham
Smith & Gatewood,Smith,Gatewood
Doerner & Mark,Doerner,Mark
Mitchell & Oldham,Mitchell,Oldham
