,delegate name,First Name,Last Name,delegate_state,sign,Dollars_sum,Dollars_count,90th_sum,90th_count,Total_assets,sign_coded
2,Aaron Austin,Aaron,Austin,CT,yes,3700,3,180.06667,3,3702.000740777778,1.0
3,Aaron Wood,Aaron,Wood,MA,no,600,1,66.725,1,600.7413888888889,0.0
4,Abraham Faw,Abraham,Faw,MD,yes,400,1,35.53889,1,400.3948765555556,1.0
5,Abraham Holmes,Abraham,Holmes,MA,no,13200,8,527.525,8,13205.861388888889,0.0
6,Abraham Smith,Abraham,Smith,MA,no,300,1,123.4917,1,301.37213,0.0
7,Abraham White,Abraham,White,MA,no,200,1,6.386111,1,200.07095678888888,0.0
8,Alexander Robertson,Alexander,Robertson,VA,no,16400,17,12895.422579999999,17,16543.28247311111,0.0
9,Allen Samuel,Allen,Samuel,RI,yes,10000,26,2983.4804299999983,26,10033.149782555556,1.0
10,Allen Thomas,Allen,Thomas,RI,yes,6000,8,839.119604,8,6009.323551155556,1.0
11,Amos Singletary,Amos,Singletary,MA,no,1000,2,625.0278,2,1006.9447533333333,0.0
12,Andrew Lee,Andrew,Lee,CT,yes,1100,3,269.59028,3,1102.9954475555555,1.0
13,Andrew Woodrow,Andrew,Woodrow,VA,yes,500,2,22.69444,2,500.2521604444444,1.0
14,Anthony Ten Eyck,Anthony,Ten Eyck,NY,did not vote,4300,4,1107.20417,4,4312.302268555555,0.0
15,Anthony Wibird,Anthony,Wibird,MA,yes,1700,3,1051.1055299999998,3,1711.6789503333334,1.0
16,Azor Orne,Azor,Orne,MA,yes,11400,29,5219.4000000000015,29,11457.993333333334,1.0
17,Barton William,Barton,William,RI,yes,400,1,39.87222,1,400.44302466666664,1.0
18,Benjamin Bellows,Benjamin,Bellows,NH,yes,6400,11,5006.7001,11,6455.630001111111,1.0
19,Benjamin Blaney,Benjamin,Blaney,MA,yes,700,2,79.71110999999999,2,700.885679,1.0
20,Benjamin Browne,Benjamin,Browne,MA,yes,16600,40,3937.206760000002,40,16643.746741777777,1.0
21,Benjamin Dow,Benjamin,Dow,CT,yes,300,1,32.52917,1,300.3614352222222,1.0
